Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
t11,0.0,-1599.9999851288007,-856.8579806065783,-759.999978605765,1929.9997681259645,-2.2825884442545175e-5,1123.0605333848823,-785.8171341651472,5498.624076463289,4299.999951643552,-990.139814586718,6949.999942436711,5935.8092972856675,2579.999358501607,64.00122588269757,-1000.421080119952,-599.9999470553565
t12,0.0,-1599.99998535635,-856.8579799088358,-759.9999785719666,1929.9997698584968,-2.20065855744795e-5,1172.539351434099,-906.6132509387506,5529.035942419921,4299.999957177541,-1492.2203468410532,6949.999948457323,6466.525103721131,2232.26886649455,0.0002587430611095223,-1221.5866060284095,-599.9999489055288
t13,0.0,-1599.9999759205616,-856.857941431949,-759.999929887246,1929.9997863201872,-1.955119006142568e-5,1146.3594389316452,-913.55464869711,5699.392243904773,4299.999957307458,-1491.9318726384038,6949.999948204726,6201.859391971336,2519.1410455362843,0.00023119205993480155,-993.0394961940909,-599.9999495926379
t14,0.0,-1599.9999761693482,-856.8579769782538,-759.9999255412554,1929.999770200824,-2.060077958861842e-5,1154.6734137749245,-801.3365463530465,5681.318937303446,4299.99963273869,-1491.4272142920775,6937.691372702914,6046.692101370447,2579.999956593272,349.9999542196459,-604.4283374881741,-599.9999496621643
t15,0.0,-1599.999975205639,-856.8579747649665,-759.9999261150734,1929.9997930075115,-2.1899025098824194e-5,1089.977082313725,-795.0864770175721,5455.90480199759,4299.999598125689,-1491.6021794961002,6578.3732369335285,5368.549157388865,2579.999962723691,349.99996195377327,-597.0721937326722,-599.9999496417497
t16,0.0,-1599.999975375847,-856.8579741183049,-759.9999311098444,1929.999774227412,-2.430565651761355e-5,1078.4380000445854,-698.4282378200094,5078.176442974708,4299.999592947866,-1488.3316699678523,5676.776882765569,4419.058926229304,2579.9999593602943,349.9999593751359,-663.0202560043077,-599.9999493332958
t17,0.0,-1599.9999607767722,-856.857955207149,-759.9999344161408,1929.9999396867893,-84.04138544105055,1059.648804651912,-789.9891397255221,3633.5107312671776,4299.999611343898,-1509.99993114116,4944.518202063572,3918.233536395217,2579.9998650720468,349.9998479315948,-799.0035910933224,-599.9999471669665
t18,0.0,-6.642704306221178e-5,4.505755179544704e-5,0.00010474547692938375,1683.396821072096,-999.9999882117297,819.3092987085346,-746.3105477034618,33.06031468619122,4299.999723570098,-1509.9999893947254,3364.6654741544153,3169.406412308819,2530.4103757048956,0.00016970508204886963,-6.347289772411655e-5,-599.9999719105147
t19,0.0,-4.183011719180108e-5,4.442954047555813e-5,0.00010688124238420347,1629.9221185324482,-999.9999874410283,677.1941885753812,-740.4468557864147,108.05027250063583,4299.999708931421,-1509.9999895160297,3480.5072306666807,3315.378922819501,2528.947952522215,0.00017760889945787805,-6.875323132761403e-5,-599.9999723052899
t20,0.0,-4.213205935821391e-5,5.90247122356784e-5,0.0001296000634498995,1626.2099884167806,-999.9999889210804,753.9051010359998,-732.4476245327819,209.49716241164072,4299.999696855657,-1509.9999907910365,3591.270253190497,3469.2821655816724,2518.6126806648967,0.0001632324305394815,-6.395843573815934e-5,-599.9999723746398
t21,0.0,-4.54161173540865e-5,3.666141928772507e-5,9.583807047719423e-5,1676.8204112088192,-999.9999881272026,787.6367460904378,-805.9999334562845,971.7169233394143,4299.99969710039,-1509.9999895865842,4359.503405704904,4299.7833063501885,2495.4554365308777,0.00014973523393433096,-5.177113649387938e-5,-599.9999721486191
t22,0.0,-1599.9998682013656,-216.13937203982715,-0.0001324338464595247,1133.9793877964091,7.189496646914308e-5,75.86413782140954,-1003.8296542638274,1114.320016869395,4299.999722709794,-3.882983439941082e-5,2951.9750053557586,2858.8202890355064,2431.25734011412,0.00014438837191698063,-9.246924770388819e-5,-549.0131164002199
t23,0.0,-1.932156417708404e-5,4.012922493309249e-5,9.586403960547798e-5,1769.218191972302,-999.9999885237394,992.3707035046045,-850.6106975094291,1748.664587471371,4299.999682883088,-1509.9999902847187,5257.778474026695,5570.972990684574,2335.117654960796,0.00014125135964168715,-6.782677888155918e-5,-599.9999720178178
t24,0.0,-2.808536020486025e-5,3.70228842656582e-5,9.383787395406919e-5,1793.962579295049,-999.9999874362234,1081.9950582969982,-914.4073805678902,1854.3648245006502,4299.999679820955,-1509.9999898595916,5431.0871528110665,5980.404176569542,2217.283915105863,0.00015264415834910053,-7.921185841730036e-5,-599.999971733805
t25,0.0,1.0101639813922199e-5,6.587985905699051e-5,0.00015741825459017895,1828.8792601122814,-999.9999887852309,1211.1379848569215,-773.5843042058198,769.6544205006232,4299.999675926521,-1509.9999909642313,4438.2481700435055,5341.900978291034,2006.0896204233277,0.00016802728669291445,-5.494385538792494e-5,-599.999972736779
t26,0.0,-4.439947142154759e-6,4.4534427942483625e-5,0.00010052828983092736,1835.692588319437,-999.9999813926947,1271.6867467493958,-527.1002094576174,400.5573095181704,4299.999661405315,-1509.9999894531677,3711.1814005028014,4850.006712055125,1860.4067470551147,0.0001619220494537796,-2.2141367433705427e-5,-599.9999717908021
t27,0.0,-1.879899649343496e-5,3.959329546344978e-5,9.995225410307686e-5,1784.9997078089802,-998.9391467540164,1299.9999884152123,-553.2153187307966,693.398327734168,4299.999653887254,-1509.9999892027645,3492.048865882968,4888.485696223179,1720.050833925002,0.00016107800875459865,-1.2222148731826933e-5,-599.9999711353436
t28,0.0,-44.90802431748471,-1.8117344835435325e-5,1.3373981372059468e-5,1750.0840055639542,-969.2888899879786,1299.9999878227247,-439.3738549288043,692.1884943065762,4299.999644754267,-1509.9999891898158,3296.4428817826633,4722.0799511788055,1714.252032911664,0.0001605988789653616,25.279527215771484,-599.9999713404623
