Resource,NENG_Rest_hydroelectric_pumped_storage_1,NY_Z_A_hydroelectric_pumped_storage_1,NY_Z_F_hydroelectric_pumped_storage_1,PJM_EMAC_hydroelectric_pumped_storage_1,PJM_Rest_hydroelectric_pumped_storage_1,NENG_Rest_battery_moderate_0,NY_Z_A_battery_moderate_0,NY_Z_B_battery_moderate_0,NY_Z_C&E_battery_moderate_0,NY_Z_D_battery_moderate_0,NY_Z_F_battery_moderate_0,NY_Z_G-I_battery_moderate_0,NY_Z_J_battery_moderate_0,NY_Z_K_battery_moderate_0,PJM_EMAC_battery_moderate_0,PJM_Rest_battery_moderate_0,NENG_Rest_conventional_hydroelectric_1,NY_Z_A_conventional_hydroelectric_1,NY_Z_B_conventional_hydroelectric_1,NY_Z_C&E_conventional_hydroelectric_1,NY_Z_D_conventional_hydroelectric_1,NY_Z_F_conventional_hydroelectric_1,PJM_EMAC_conventional_hydroelectric_1,PJM_Rest_conventional_hydroelectric_1,NY_Z_A_res_water_heat_1,NY_Z_B_res_water_heat_1,NY_Z_C&E_res_water_heat_1,NY_Z_D_res_water_heat_1,NY_Z_F_res_water_heat_1,NY_Z_G-I_res_water_heat_1,NY_Z_J_res_water_heat_1,NY_Z_K_res_water_heat_1,PJM_EMAC_res_water_heat_1,PJM_Rest_res_water_heat_1,NENG_Rest_res_water_heat_1,NY_Z_A_trans_light_duty_1,NY_Z_B_trans_light_duty_1,NY_Z_C&E_trans_light_duty_1,NY_Z_D_trans_light_duty_1,NY_Z_F_trans_light_duty_1,NY_Z_G-I_trans_light_duty_1,NY_Z_J_trans_light_duty_1,NY_Z_K_trans_light_duty_1,PJM_EMAC_trans_light_duty_1,PJM_Rest_trans_light_duty_1,NENG_Rest_trans_light_duty_1,Total
t10,22302.26917745351,2046.3688587303661,10459.880436410345,18267.510314580777,42546.781422044536,0.005104675764429676,0.0024076530972315167,0.002483695937971926,0.0009357589276369296,0.0028169970807288064,0.0009405252540799727,0.0009069896391845588,0.0008153920739165357,0.0012787997085343889,5378.479202132117,0.0009456638168803521,549.1988818595519,1903.848314997382,0.0,28.82049368069032,630.5974709882358,148.97050372507832,407.25155119253,481.5055392997744,10.004266543350367,7.554204902695373,15.0064258771248,1.7353569741895745,9.187569360333763,16.946043288987802,60.84272849580778,20.723202840819795,72.47951328928214,748.2067582163684,116.79011932216069,172.56408747314973,130.75207230434876,258.77434663196556,29.886059722318475,158.12384017624566,292.540053885773,1047.9577433353525,357.1259291757563,1221.6089871632153,10384.893244420753,2012.1462888888782,122297.34964553508
t11,21230.21574594349,2046.3688837345883,10459.880447261536,18267.5103304655,42560.9981355377,0.005081966368395712,0.044201725269570086,1511.4956220523618,0.0017238264495294242,2600.227224310866,0.0017115784992987949,0.0015686253996054903,0.0013568991932412983,0.002480353807328899,5378.47921334012,2857.184085991982,583.6150972305287,1992.482221332444,0.0,30.684287220227958,691.20651382692,159.56922322261516,410.61353811244453,554.5722667816683,4.995961244733207,3.761200820256766,7.475819534221089,0.8613507991083266,4.575223362160008,8.431375276489646,29.814274516111126,10.333401518686038,52.59190041436398,385.99102064593757,57.10117920462469,130.00853445598645,98.02147735213394,198.16060584101336,22.04449356726978,118.98393773885269,224.97753189921553,859.7749795456656,280.31806839914555,1409.1731863641633,12287.516995182496,2504.903303276198,130034.97678229879
t12,20294.16151576614,2046.3689073863954,10459.880453930693,18267.510356638923,42576.89673503809,0.005060732502607103,0.07149603492157983,2759.25791136941,0.0022312009062939665,5187.686620332538,0.0021865284010677065,0.001979464272119184,0.001689765566800099,0.003208969895624337,5378.479221500918,5717.622341283717,647.6778856529306,2166.1694840505743,0.0,35.96252868485833,807.4387236145511,179.33869429739786,413.7440174712774,734.0321850096261,3.9597098615633413,2.9837373875721593,5.923916680468517,0.6825764266111205,3.626506310836933,6.701729817593679,24.072865113744626,8.216108238852707,57.986785270004965,276.55808060705687,53.64926238185631,120.45999928367625,90.7217182719752,186.9512514870255,20.380102663904186,113.27422303673018,226.20821033832166,1100.2886853364764,277.90024237336416,1711.9472494446059,10882.460126148622,3225.070305351512,136072.33882655686
t13,19964.00732809419,2046.368929600549,10459.880461995683,18267.510374444315,42593.13085582879,0.005036768434651851,0.08809055601836652,3775.483822746862,0.002567158799236362,7704.445137587793,0.0025069495392847346,0.002256535967372867,0.001916531952433606,0.003701603643407532,5378.479230629101,8577.936003488194,721.6866862133732,2386.881066563143,0.0,43.39893998255083,969.0275481367912,203.31919846091205,416.3567392586616,957.0761883237981,3.3602371113445777,2.544755925552956,5.040991759245228,0.5807457136895153,3.0883326949767227,5.717701925317772,20.87045108730325,6.990663368458316,52.86516925531235,227.61148223800095,46.97500827333078,118.11928799234656,88.39414628280464,188.11966259784452,19.88404713616,114.90969628320192,240.54245303151833,1354.0597344764026,291.17580251779367,1866.416922739517,7468.941406869978,3629.354765304119,140220.65805204332
t14,19730.07888794656,2046.3689506218054,10459.880472522891,18267.510391056323,42609.3150468983,0.005011701802399673,0.10278223054767796,5640.878203660667,0.002854378829353751,10398.47613836287,0.002808407833182207,0.0025159730692095347,0.002126915572364988,0.004180396570611199,5378.479232104222,11438.186685306402,805.5805742933704,2643.613202684967,0.0,51.65514040299807,1131.2608786539024,230.14887226007966,418.56177995213415,1182.4433710477156,2.8188092781318623,2.156254754227445,4.239380931273504,0.4907595386041755,2.5960500971677476,4.79356628648643,17.38937987442184,5.8100782682643715,47.02574010659414,188.4570414824536,40.40040269621901,103.1231566832486,76.413094328633,164.0580299286393,17.778540860587974,100.83209500329781,212.63804600554676,1270.2521309767528,216.54707785206148,1826.427129007854,4475.220374998737,3178.548331140093,144390.57557787877
t15,19508.480907703986,2046.3689717806633,10459.880491405309,18267.510411438405,42625.551582970606,0.0049857337164167315,0.11795179136870183,7535.295922326974,0.003169589560876732,13091.229899732218,0.003132231256263939,0.0027946501369740563,0.0023550019534647948,0.004695917625979272,5378.47924101959,14298.397877176474,900.5677757923611,2891.1136438651097,0.0,58.968391783874495,1248.3421071741102,256.8605648794196,420.61880942890656,1393.2394574943276,2.2967269266670627,1.7234063623484217,3.4613951367631044,0.40242417563158756,2.12238198600577,3.8969669366431363,13.957392056455726,4.6757346119218095,46.157513009124074,148.55823996378814,38.13859597355698,73.18445552654052,55.365886096840015,106.72880182503735,12.575759789792311,67.9715873898883,134.06326499325954,593.1489161131744,105.56809168515066,1657.3185404623484,1356.699173823282,2871.468959303896,147680.529355036
t16,19316.26610348295,2046.368991158896,10459.880506089254,18267.510428780657,42640.5635947109,0.0049587338571322505,0.13880322890843969,8925.881720378818,0.0036157910217830885,15611.469773914598,0.0035977351370815275,0.003190254518136908,0.00267826964383255,0.005432938194518906,5378.479249673996,17158.08045966412,999.3273298202166,3047.9352873550706,0.0,63.29991544841919,1309.3114299754977,274.5999157915306,422.5370200972853,1507.7998578305242,1.2854497336710539e-5,1.2456645422215e-5,1.344993349414399e-5,1.0603081582959115e-5,1.2546697644909964e-5,1.3750437032865792e-5,1.5809776249837934e-5,1.3273525070893137e-5,39.20741020343608,1.6685299048135346e-5,27.30631675481186,1.860468662334038e-5,1.869402727634353e-5,1.8404964571779517e-5,1.7178679130909648e-5,1.8444544391096504e-5,1.7369572570834772e-5,1.8559388968175438e-5,1.5278625724922687e-5,1179.9469397996288,1.648338933479144e-5,1457.3099543544865,150133.24476268416
t17,19131.34412022344,2046.3687124477556,10459.880279445844,18267.51042569577,42640.56357052539,0.0049298228994867944,0.13871227699903843,8925.88162950763,0.0035478016810849234,15611.46968135273,0.003530743603872801,0.0031143188044579387,0.0026099497089240036,0.005347746394087815,5378.479241485419,17158.080381649084,1067.5998035957848,3047.935230466364,0.0,63.29985950491279,1309.3113855332672,274.5998556807461,423.3318471375153,1507.7998168271995,4.0208008917286145e-5,3.923005958444953e-5,4.203270189964671e-5,3.35647781580752e-5,3.939812229827818e-5,5.1145079474732235e-5,5.6937959129510976e-5,4.920184583315893e-5,37.54927545642574,5.22882530884748e-5,9.831701933412865e-5,5.097061365979202e-5,5.1340218771333114e-5,4.880901751994063e-5,5.3465247573860545e-5,4.941552964988434e-5,5.239212750965431e-5,5.802328751057248e-5,4.9302798136914236e-5,537.7149425694195,6.457955769139338e-5,0.0001170411296071786,147888.88294942814
t18,17018.180459084626,1769.2326873433658,9112.651839453909,18267.51041657141,42640.563448520224,0.004864122303367268,0.12571389731320537,8495.473803494102,0.0032541659048937236,14329.86631776252,0.0032383159881007725,0.002874901259395403,0.0024237329418868364,0.004916990086637893,5378.479248631043,14812.163903216246,1064.8973633075916,2991.0878782957902,0.0,61.869691675634805,1251.9309752705083,267.6872150229606,422.3921543731175,1440.7739190168156,1.593791147399146,1.2283025421495122,2.4295155082826496,0.28953562323446697,1.4973526853754922,2.701547715468461,9.398469306154547,3.2267939663250584,43.687605573416086,82.1163469320326,16.815689304282937,124.68309552417415,92.85584141097043,167.82528592766275,23.536147486490904,121.52339813080405,129.67834244584074,165.10883964026115,135.73563741488692,3406.2295753956228,10122.570211469692,1631.9639108252431,155611.60384314138
t19,14905.016780129992,1492.0966624927435,7765.423415600081,18267.510406959696,42640.56332226357,0.004795183825066098,0.11724394770539355,7526.028836080208,0.003050180292282525,11955.110548989285,0.003036643961549456,0.002707901644784821,0.0022908125395081865,0.0046230117220765286,5378.479260567895,11652.793932959084,1067.5993586890584,3047.9328446992686,0.0,63.29713786143536,1149.4166690816323,274.5970435145149,419.85953408214203,1361.4569106265772,3.300772310288489,2.496967128491362,4.948830945719521,0.6291695650940741,3.047847329789845,5.371583742257582,18.40989736289951,6.433546063702429,64.4145671747023,281.747172385893,0.0002783249230400193,220.7202066048489,163.1536829274256,310.8662791202171,40.50328262177097,229.01790243645868,215.09110806886204,351.30413271715554,241.92557687723775,5472.415116554454,19451.450036879007,4108.084940298193,160162.65330971827
