model,zone,resource_name,tech_type,planning_year,case,unit,value
USENSYS,PJME,PJME_natural_gas_fired_combined_cycle_2,Natural Gas,2050,full-base-1000,MWh,2442587
USENSYS,PJME,PJME_natural_gas_fired_combustion_turbine_1,Natural Gas,2035,full-base-1000,MWh,534
USENSYS,PJME,PJME_natural_gas_fired_combustion_turbine_1,Natural Gas,2040,full-base-1000,MWh,534
USENSYS,PJME,PJME_natural_gas_fired_combustion_turbine_2,Natural Gas,2027,full-base-1000,MWh,256163
USENSYS,PJME,PJME_natural_gas_fired_combustion_turbine_2,Natural Gas,2030,full-base-1000,MWh,122010
USENSYS,PJME,PJME_natural_gas_fired_combustion_turbine_2,Natural Gas,2035,full-base-1000,MWh,148344
USENSYS,PJME,PJME_natural_gas_fired_combustion_turbine_2,Natural Gas,2040,full-base-1000,MWh,81113
USENSYS,PJME,PJME_natural_gas_fired_combustion_turbine_2,Natural Gas,2045,full-base-1000,MWh,5320
USENSYS,PJME,PJME_natural_gas_fired_combustion_turbine_3,Natural Gas,2027,full-base-1000,MWh,108589
USENSYS,PJME,PJME_natural_gas_fired_combustion_turbine_3,Natural Gas,2030,full-base-1000,MWh,46742
USENSYS,PJME,PJME_natural_gas_fired_combustion_turbine_3,Natural Gas,2035,full-base-1000,MWh,50113
USENSYS,PJME,PJME_natural_gas_fired_combustion_turbine_3,Natural Gas,2040,full-base-1000,MWh,32172
USENSYS,PJME,PJME_natural_gas_fired_combustion_turbine_3,Natural Gas,2045,full-base-1000,MWh,3450
USENSYS,PJME,PJME_natural_gas_internal_combustion_engine_1,Natural Gas,2027,full-base-1000,MWh,493816
USENSYS,PJME,PJME_natural_gas_internal_combustion_engine_1,Natural Gas,2030,full-base-1000,MWh,106597
USENSYS,PJME,PJME_natural_gas_internal_combustion_engine_1,Natural Gas,2035,full-base-1000,MWh,55507
USENSYS,PJME,PJME_natural_gas_internal_combustion_engine_1,Natural Gas,2040,full-base-1000,MWh,23584
USENSYS,PJME,PJME_natural_gas_internal_combustion_engine_1,Natural Gas,2045,full-base-1000,MWh,5957
USENSYS,PJME,PJME_natural_gas_internal_combustion_engine_1,Natural Gas,2050,full-base-1000,MWh,446
USENSYS,PJME,PJME_natural_gas_steam_turbine_1,Natural Gas,2035,full-base-1000,MWh,178
USENSYS,PJME,PJME_natural_gas_steam_turbine_1,Natural Gas,2040,full-base-1000,MWh,178
USENSYS,PJME,PJME_nuclear_1,Nuclear,2027,full-base-1000,MWh,112056672
USENSYS,PJME,PJME_nuclear_1,Nuclear,2030,full-base-1000,MWh,107766541
USENSYS,PJME,PJME_nuclear_1,Nuclear,2035,full-base-1000,MWh,106500741
USENSYS,PJME,PJME_nuclear_1,Nuclear,2040,full-base-1000,MWh,105791414
USENSYS,PJME,PJME_nuclear_1,Nuclear,2045,full-base-1000,MWh,104081995
USENSYS,PJME,PJME_nuclear_1,Nuclear,2050,full-base-1000,MWh,100061894
USENSYS,PJME,PJME_onshore_wind_turbine_1,Wind,2027,full-base-1000,MWh,2822611
USENSYS,PJME,PJME_onshore_wind_turbine_1,Wind,2030,full-base-1000,MWh,2822611
USENSYS,PJME,PJME_onshore_wind_turbine_1,Wind,2035,full-base-1000,MWh,2600307
USENSYS,PJME,PJME_onshore_wind_turbine_1,Wind,2040,full-base-1000,MWh,1250321
USENSYS,PJME,PJME_onshore_wind_turbine_1,Wind,2045,full-base-1000,MWh,82160
USENSYS,PJME,PJME_petroleum_liquids_1,Other,2035,full-base-1000,MWh,1262
USENSYS,PJME,PJME_petroleum_liquids_1,Other,2040,full-base-1000,MWh,630
USENSYS,PJME,PJME_small_hydroelectric_1,Hydro,2027,full-base-1000,MWh,594048
USENSYS,PJME,PJME_small_hydroelectric_1,Hydro,2030,full-base-1000,MWh,594048
USENSYS,PJME,PJME_small_hydroelectric_1,Hydro,2035,full-base-1000,MWh,594048
USENSYS,PJME,PJME_small_hydroelectric_1,Hydro,2040,full-base-1000,MWh,594048
USENSYS,PJME,PJME_small_hydroelectric_1,Hydro,2045,full-base-1000,MWh,594048
USENSYS,PJME,PJME_small_hydroelectric_1,Hydro,2050,full-base-1000,MWh,594048
USENSYS,PJME,PJME_solar_photovoltaic_1,Solar,2027,full-base-1000,MWh,4165718
USENSYS,PJME,PJME_solar_photovoltaic_1,Solar,2030,full-base-1000,MWh,4153160
USENSYS,PJME,PJME_solar_photovoltaic_1,Solar,2035,full-base-1000,MWh,4152211
USENSYS,PJME,PJME_solar_photovoltaic_1,Solar,2040,full-base-1000,MWh,4041863
USENSYS,PJME,PJME_solar_photovoltaic_1,Solar,2045,full-base-1000,MWh,2937024
USENSYS,PJME,PJME_solar_photovoltaic_1,Solar,2050,full-base-1000,MWh,1477150
USENSYS,PJME,PJME_utilitypv_class1_moderate_0_anyQual_0,Solar,2030,full-base-1000,MWh,20713736
USENSYS,PJME,PJME_utilitypv_class1_moderate_0_anyQual_0,Solar,2035,full-base-1000,MWh,20707498
USENSYS,PJME,PJME_utilitypv_class1_moderate_0_anyQual_0,Solar,2040,full-base-1000,MWh,20715460
USENSYS,PJME,PJME_utilitypv_class1_moderate_0_anyQual_0,Solar,2045,full-base-1000,MWh,20715278
USENSYS,PJME,PJME_utilitypv_class1_moderate_0_anyQual_0,Solar,2050,full-base-1000,MWh,20715405
USENSYS,PJME,PJME_utilitypv_class1_moderate_1_anyQual_1,Solar,2030,full-base-1000,MWh,16058112
USENSYS,PJME,PJME_utilitypv_class1_moderate_1_anyQual_1,Solar,2035,full-base-1000,MWh,16053253
USENSYS,PJME,PJME_utilitypv_class1_moderate_1_anyQual_1,Solar,2040,full-base-1000,MWh,16059458
USENSYS,PJME,PJME_utilitypv_class1_moderate_1_anyQual_1,Solar,2045,full-base-1000,MWh,16059342
USENSYS,PJME,PJME_utilitypv_class1_moderate_1_anyQual_1,Solar,2050,full-base-1000,MWh,16059403
USENSYS,PJME,PJME_utilitypv_class1_moderate_2_anyQual_0,Solar,2030,full-base-1000,MWh,18409305
USENSYS,PJME,PJME_utilitypv_class1_moderate_2_anyQual_0,Solar,2035,full-base-1000,MWh,18402583
USENSYS,PJME,PJME_utilitypv_class1_moderate_2_anyQual_0,Solar,2040,full-base-1000,MWh,18409617
USENSYS,PJME,PJME_utilitypv_class1_moderate_2_anyQual_0,Solar,2045,full-base-1000,MWh,32013302
USENSYS,PJME,PJME_utilitypv_class1_moderate_2_anyQual_0,Solar,2050,full-base-1000,MWh,32013467
USENSYS,PJME,PJME_utilitypv_class1_moderate_3_anyQual_1,Solar,2030,full-base-1000,MWh,4799687
USENSYS,PJME,PJME_utilitypv_class1_moderate_3_anyQual_1,Solar,2035,full-base-1000,MWh,4798274
USENSYS,PJME,PJME_utilitypv_class1_moderate_3_anyQual_1,Solar,2040,full-base-1000,MWh,4800099
USENSYS,PJME,PJME_utilitypv_class1_moderate_3_anyQual_1,Solar,2045,full-base-1000,MWh,4800067
USENSYS,PJME,PJME_utilitypv_class1_moderate_3_anyQual_1,Solar,2050,full-base-1000,MWh,4800088
USENSYS,PJME,PJME_utilitypv_class1_moderate_4_anyQual_0,Solar,2050,full-base-1000,MWh,9465297
USENSYS,PJMW,PJMW_batteries_1,Battery,2027,full-base-1000,MWh,28623
USENSYS,PJMW,PJMW_batteries_1,Battery,2030,full-base-1000,MWh,23147
USENSYS,PJMW,PJMW_batteries_1,Battery,2035,full-base-1000,MWh,15545
USENSYS,PJMW,PJMW_battery_moderate_0,Battery,2045,full-base-1000,MWh,553
USENSYS,PJMW,PJMW_battery_moderate_0,Battery,2050,full-base-1000,MWh,1153
USENSYS,PJMW,PJMW_biomass_1,Other,2027,full-base-1000,MWh,279552
USENSYS,PJMW,PJMW_biomass_1,Other,2030,full-base-1000,MWh,151506
USENSYS,PJMW,PJMW_biomass_1,Other,2035,full-base-1000,MWh,152792
USENSYS,PJMW,PJMW_biomass_1,Other,2040,full-base-1000,MWh,152340
USENSYS,PJMW,PJMW_biomass_1,Other,2045,full-base-1000,MWh,97942
USENSYS,PJMW,PJMW_biomass_1,Other,2050,full-base-1000,MWh,63729
USENSYS,PJMW,PJMW_biomass_2,Other,2027,full-base-1000,MWh,43680
USENSYS,PJMW,PJMW_biomass_2,Other,2030,full-base-1000,MWh,38237
USENSYS,PJMW,PJMW_biomass_2,Other,2035,full-base-1000,MWh,38342
USENSYS,PJMW,PJMW_biomass_2,Other,2040,full-base-1000,MWh,38239
USENSYS,PJMW,PJMW_biomass_2,Other,2045,full-base-1000,MWh,37892
USENSYS,PJMW,PJMW_biomass_2,Other,2050,full-base-1000,MWh,14213
USENSYS,PJMW,PJMW_conventional_hydroelectric_1,Hydro,2027,full-base-1000,MWh,2268242
USENSYS,PJMW,PJMW_conventional_hydroelectric_1,Hydro,2030,full-base-1000,MWh,2224284
USENSYS,PJMW,PJMW_conventional_hydroelectric_1,Hydro,2035,full-base-1000,MWh,2218794
USENSYS,PJMW,PJMW_conventional_hydroelectric_1,Hydro,2040,full-base-1000,MWh,1666047
USENSYS,PJMW,PJMW_conventional_hydroelectric_1,Hydro,2045,full-base-1000,MWh,1657319
USENSYS,PJMW,PJMW_conventional_hydroelectric_1,Hydro,2050,full-base-1000,MWh,1631238
USENSYS,PJMW,PJMW_conventional_steam_coal_1,Coal,2027,full-base-1000,MWh,37943855
USENSYS,PJMW,PJMW_conventional_steam_coal_3,Coal,2027,full-base-1000,MWh,114000
USENSYS,PJMW,PJMW_distributed_generation_1,Distributed Solar,2027,full-base-1000,MWh,2546499
USENSYS,PJMW,PJMW_distributed_generation_1,Distributed Solar,2030,full-base-1000,MWh,4663109
USENSYS,PJMW,PJMW_distributed_generation_1,Distributed Solar,2035,full-base-1000,MWh,8113454
USENSYS,PJMW,PJMW_distributed_generation_1,Distributed Solar,2040,full-base-1000,MWh,10261833
USENSYS,PJMW,PJMW_distributed_generation_1,Distributed Solar,2045,full-base-1000,MWh,11655074
USENSYS,PJMW,PJMW_distributed_generation_1,Distributed Solar,2050,full-base-1000,MWh,12935722
USENSYS,PJMW,PJMW_hydroelectric_pumped_storage_1,Hydro,2027,full-base-1000,MWh,39949
USENSYS,PJMW,PJMW_hydroelectric_pumped_storage_1,Hydro,2030,full-base-1000,MWh,482247
USENSYS,PJMW,PJMW_hydroelectric_pumped_storage_1,Hydro,2035,full-base-1000,MWh,511443
USENSYS,PJMW,PJMW_hydroelectric_pumped_storage_1,Hydro,2040,full-base-1000,MWh,535388
USENSYS,PJMW,PJMW_hydroelectric_pumped_storage_1,Hydro,2045,full-base-1000,MWh,484292
USENSYS,PJMW,PJMW_hydroelectric_pumped_storage_1,Hydro,2050,full-base-1000,MWh,500293
USENSYS,PJMW,PJMW_landbasedwind_class3_moderate_0_anyQual_0,Wind,2027,full-base-1000,MWh,6812182
USENSYS,PJMW,PJMW_landbasedwind_class3_moderate_0_anyQual_0,Wind,2030,full-base-1000,MWh,6812720
USENSYS,PJMW,PJMW_landbasedwind_class3_moderate_0_anyQual_0,Wind,2035,full-base-1000,MWh,6810654
USENSYS,PJMW,PJMW_landbasedwind_class3_moderate_0_anyQual_0,Wind,2040,full-base-1000,MWh,6813375
USENSYS,PJMW,PJMW_landbasedwind_class3_moderate_0_anyQual_0,Wind,2045,full-base-1000,MWh,6813311
USENSYS,PJMW,PJMW_landbasedwind_class3_moderate_0_anyQual_0,Wind,2050,full-base-1000,MWh,6813357
USENSYS,PJMW,PJMW_landbasedwind_class3_moderate_1_anyQual_1,Wind,2027,full-base-1000,MWh,10885917
USENSYS,PJMW,PJMW_landbasedwind_class3_moderate_1_anyQual_1,Wind,2030,full-base-1000,MWh,10886931
USENSYS,PJMW,PJMW_landbasedwind_class3_moderate_1_anyQual_1,Wind,2035,full-base-1000,MWh,10883606
USENSYS,PJMW,PJMW_landbasedwind_class3_moderate_1_anyQual_1,Wind,2040,full-base-1000,MWh,10887824
USENSYS,PJMW,PJMW_landbasedwind_class3_moderate_1_anyQual_1,Wind,2045,full-base-1000,MWh,10887752
USENSYS,PJMW,PJMW_landbasedwind_class3_moderate_1_anyQual_1,Wind,2050,full-base-1000,MWh,10887785
USENSYS,PJMW,PJMW_landbasedwind_class3_moderate_2_anyQual_0,Wind,2027,full-base-1000,MWh,2595899
USENSYS,PJMW,PJMW_landbasedwind_class3_moderate_2_anyQual_0,Wind,2030,full-base-1000,MWh,2596042
USENSYS,PJMW,PJMW_landbasedwind_class3_moderate_2_anyQual_0,Wind,2035,full-base-1000,MWh,2595263
USENSYS,PJMW,PJMW_landbasedwind_class3_moderate_2_anyQual_0,Wind,2040,full-base-1000,MWh,2596290
USENSYS,PJMW,PJMW_landbasedwind_class3_moderate_2_anyQual_0,Wind,2045,full-base-1000,MWh,2596269
USENSYS,PJMW,PJMW_landbasedwind_class3_moderate_2_anyQual_0,Wind,2050,full-base-1000,MWh,2596269
USENSYS,PJMW,PJMW_landbasedwind_class3_moderate_3_anyQual_1,Wind,2027,full-base-1000,MWh,13272420
USENSYS,PJMW,PJMW_landbasedwind_class3_moderate_3_anyQual_1,Wind,2030,full-base-1000,MWh,13273421
USENSYS,PJMW,PJMW_landbasedwind_class3_moderate_3_anyQual_1,Wind,2035,full-base-1000,MWh,13274499
USENSYS,PJMW,PJMW_landbasedwind_class3_moderate_3_anyQual_1,Wind,2040,full-base-1000,MWh,13274499
USENSYS,PJMW,PJMW_landbasedwind_class3_moderate_3_anyQual_1,Wind,2045,full-base-1000,MWh,13274499
USENSYS,PJMW,PJMW_landbasedwind_class3_moderate_3_anyQual_1,Wind,2050,full-base-1000,MWh,13274499
USENSYS,PJMW,PJMW_landbasedwind_class3_moderate_4_anyQual_0,Wind,2030,full-base-1000,MWh,1414852
USENSYS,PJMW,PJMW_landbasedwind_class3_moderate_4_anyQual_0,Wind,2035,full-base-1000,MWh,1414982
USENSYS,PJMW,PJMW_landbasedwind_class3_moderate_4_anyQual_0,Wind,2040,full-base-1000,MWh,1414982
