model,zone,planning_year,case,unit,value,agg_zone,scenario,configuration,child_scenario
Switch,SRCA,2027,20-week-foresight,kg,39013223.166,SOU,base,foresight,none
Switch,SRCE,2027,20-week-foresight,kg,41439066.288,MISO,base,foresight,none
Switch,SRSE,2027,20-week-foresight,kg,55612890.549,SOU,base,foresight,none
Switch,SRSG,2027,20-week-foresight,kg,25923348.344,WECC,base,foresight,none
Switch,TRE,2027,20-week-foresight,kg,64180672.996,TRE,base,foresight,none
Switch,TREW,2027,20-week-foresight,kg,7310530.566,TRE,base,foresight,none
Switch,BASN,2030,20-week-foresight,kg,3088399.763,WECC,base,foresight,none
Switch,CANO,2030,20-week-foresight,kg,3939601.185,CA,base,foresight,none
Switch,CASO,2030,20-week-foresight,kg,6802349.384,CA,base,foresight,none
Switch,FRCC,2030,20-week-foresight,kg,11191795.904,SOU,base,foresight,none
Switch,ISNE,2030,20-week-foresight,kg,11848725.967,NE,base,foresight,none
Switch,MISC,2030,20-week-foresight,kg,4227135.706,MISO,base,foresight,none
Switch,MISE,2030,20-week-foresight,kg,2807546.252,MISO,base,foresight,none
Switch,MISS,2030,20-week-foresight,kg,13081604.012,MISO,base,foresight,none
Switch,MISW,2030,20-week-foresight,kg,6649513.419,MISO,base,foresight,none
Switch,NWPP,2030,20-week-foresight,kg,1343031.489,WECC,base,foresight,none
Switch,NYCW,2030,20-week-foresight,kg,3434979.854,NE,base,foresight,none
Switch,NYUP,2030,20-week-foresight,kg,4902182.223,NE,base,foresight,none
Switch,PJMC,2030,20-week-foresight,kg,5305383.796,PJM,base,foresight,none
Switch,PJMD,2030,20-week-foresight,kg,5120628.167,PJM,base,foresight,none
Switch,PJME,2030,20-week-foresight,kg,31403171.733,PJM,base,foresight,none
Switch,PJMW,2030,20-week-foresight,kg,14528184.985,PJM,base,foresight,none
Switch,RMRG,2030,20-week-foresight,kg,436725.922,WECC,base,foresight,none
Switch,SPPC,2030,20-week-foresight,kg,778377.547,SPP,base,foresight,none
Switch,SPPN,2030,20-week-foresight,kg,241861.649,SPP,base,foresight,none
Switch,SPPS,2030,20-week-foresight,kg,4762324.138,SPP,base,foresight,none
Switch,SRCA,2030,20-week-foresight,kg,7236777.298,SOU,base,foresight,none
Switch,SRCE,2030,20-week-foresight,kg,7980864.853,MISO,base,foresight,none
Switch,SRSE,2030,20-week-foresight,kg,9879362.117,SOU,base,foresight,none
Switch,SRSG,2030,20-week-foresight,kg,5777610.561,WECC,base,foresight,none
Switch,TRE,2030,20-week-foresight,kg,16296589.685,TRE,base,foresight,none
Switch,TREW,2030,20-week-foresight,kg,2940552.642,TRE,base,foresight,none
Switch,BASN,2035,20-week-foresight,kg,2394530.671,WECC,base,foresight,none
Switch,CANO,2035,20-week-foresight,kg,3064644.398,CA,base,foresight,none
Switch,CASO,2035,20-week-foresight,kg,4793582.757,CA,base,foresight,none
Switch,FRCC,2035,20-week-foresight,kg,9172736.881,SOU,base,foresight,none
Switch,ISNE,2035,20-week-foresight,kg,13096737.607,NE,base,foresight,none
Switch,MISC,2035,20-week-foresight,kg,3353355.605,MISO,base,foresight,none
Switch,MISE,2035,20-week-foresight,kg,2016991.918,MISO,base,foresight,none
Switch,MISS,2035,20-week-foresight,kg,7505713.094,MISO,base,foresight,none
Switch,MISW,2035,20-week-foresight,kg,5260689.744,MISO,base,foresight,none
Switch,NWPP,2035,20-week-foresight,kg,1340769.39,WECC,base,foresight,none
Switch,NYCW,2035,20-week-foresight,kg,1597550.984,NE,base,foresight,none
Switch,NYUP,2035,20-week-foresight,kg,2216432.786,NE,base,foresight,none
Switch,PJMC,2035,20-week-foresight,kg,3762950.615,PJM,base,foresight,none
Switch,PJMD,2035,20-week-foresight,kg,4245987.541,PJM,base,foresight,none
Switch,PJME,2035,20-week-foresight,kg,21345140.146,PJM,base,foresight,none
Switch,PJMW,2035,20-week-foresight,kg,11835372.017,PJM,base,foresight,none
Switch,RMRG,2035,20-week-foresight,kg,342750.234,WECC,base,foresight,none
Switch,SPPC,2035,20-week-foresight,kg,565240.377,SPP,base,foresight,none
Switch,SPPN,2035,20-week-foresight,kg,190287.078,SPP,base,foresight,none
Switch,SPPS,2035,20-week-foresight,kg,3197637.789,SPP,base,foresight,none
Switch,SRCA,2035,20-week-foresight,kg,4690626.318,SOU,base,foresight,none
Switch,SRCE,2035,20-week-foresight,kg,5252422.668,MISO,base,foresight,none
Switch,SRSE,2035,20-week-foresight,kg,7077970.305,SOU,base,foresight,none
Switch,SRSG,2035,20-week-foresight,kg,3970613.052,WECC,base,foresight,none
Switch,TRE,2035,20-week-foresight,kg,6078731.182,TRE,base,foresight,none
Switch,TREW,2035,20-week-foresight,kg,1787319.53,TRE,base,foresight,none
Switch,BASN,2040,20-week-foresight,kg,3458884.232,WECC,base,foresight,none
