model,line_name,planning_year,case,unit,value,end_value,line,start_region,dest_region
GenX,RMRG_to_SPPN,2030,20-week-foresight,MW,1543.0,,44.0,RMRG,SPPN
GenX,RMRG_to_SRSG,2030,20-week-foresight,MW,6433.0,,45.0,RMRG,SRSG
GenX,SPPC_to_SPPN,2030,20-week-foresight,MW,1.0,,46.0,SPPC,SPPN
GenX,SPPC_to_SPPS,2030,20-week-foresight,MW,3.0,,47.0,SPPC,SPPS
GenX,SPPN_to_SPPS,2030,20-week-foresight,MW,4821.0,,48.0,SPPN,SPPS
GenX,SPPS_to_SRSG,2030,20-week-foresight,MW,6193.0,,49.0,SPPS,SRSG
GenX,SPPS_to_TRE,2030,20-week-foresight,MW,9971.0,,50.0,SPPS,TRE
GenX,SPPS_to_TREW,2030,20-week-foresight,MW,1924.0,,51.0,SPPS,TREW
GenX,SRCA_to_SRCE,2030,20-week-foresight,MW,844.0,,52.0,SRCA,SRCE
GenX,SRCA_to_SRSE,2030,20-week-foresight,MW,0.0,,53.0,SRCA,SRSE
GenX,SRCE_to_SRSE,2030,20-week-foresight,MW,0.0,,54.0,SRCE,SRSE
GenX,TREW_to_TRE,2030,20-week-foresight,MW,0.0,,55.0,TREW,TRE
GenX,NWPP_to_SPPN,2030,20-week-foresight,MW,156.0,,56.0,NWPP,SPPN
GenX,SRSG_to_TRE,2030,20-week-foresight,MW,5378.0,,57.0,SRSG,TRE
GenX,BASN_to_CANO,2035,20-week-foresight,MW,164.0,,1.0,BASN,CANO
GenX,BASN_to_CASO,2035,20-week-foresight,MW,2.0,,2.0,BASN,CASO
GenX,BASN_to_NWPP,2035,20-week-foresight,MW,1.0,,3.0,BASN,NWPP
GenX,BASN_to_RMRG,2035,20-week-foresight,MW,0.0,,4.0,BASN,RMRG
GenX,BASN_to_SRSG,2035,20-week-foresight,MW,0.0,,5.0,BASN,SRSG
GenX,CANO_to_CASO,2035,20-week-foresight,MW,1.0,,6.0,CANO,CASO
GenX,CANO_to_NWPP,2035,20-week-foresight,MW,1776.0,,7.0,CANO,NWPP
GenX,CASO_to_NWPP,2035,20-week-foresight,MW,1.0,,8.0,CASO,NWPP
GenX,CASO_to_SRSG,2035,20-week-foresight,MW,8.0,,9.0,CASO,SRSG
GenX,FRCC_to_SRSE,2035,20-week-foresight,MW,8.0,,10.0,FRCC,SRSE
GenX,ISNE_to_NYCW,2035,20-week-foresight,MW,628.0,,11.0,ISNE,NYCW
GenX,ISNE_to_NYUP,2035,20-week-foresight,MW,4752.0,,12.0,ISNE,NYUP
GenX,MISC_to_MISE,2035,20-week-foresight,MW,2.0,,13.0,MISC,MISE
GenX,MISC_to_MISS,2035,20-week-foresight,MW,0.0,,14.0,MISC,MISS
GenX,MISC_to_MISW,2035,20-week-foresight,MW,0.0,,15.0,MISC,MISW
GenX,MISC_to_PJMC,2035,20-week-foresight,MW,1.0,,16.0,MISC,PJMC
GenX,MISC_to_PJMW,2035,20-week-foresight,MW,405.0,,17.0,MISC,PJMW
GenX,MISC_to_SPPC,2035,20-week-foresight,MW,16.0,,18.0,MISC,SPPC
GenX,MISC_to_SPPN,2035,20-week-foresight,MW,27.0,,19.0,MISC,SPPN
GenX,MISC_to_SPPS,2035,20-week-foresight,MW,1.0,,20.0,MISC,SPPS
GenX,MISC_to_SRCE,2035,20-week-foresight,MW,1.0,,21.0,MISC,SRCE
