case,tech_type,planning_year,agg_zone,value,min,max
20-week-foresight,Hydrogen,2030,CA,14971.5,3384.0,26559.0
20-week-foresight,Hydrogen,2030,MISO,31814.0,8067.0,55561.0
20-week-foresight,Hydrogen,2030,NE,23327.0,6354.0,40300.0
20-week-foresight,Hydrogen,2030,PJM,25909.0,6886.0,44932.0
20-week-foresight,Hydrogen,2030,SOU,18491.0,5094.0,31888.0
20-week-foresight,Hydrogen,2030,SPP,18702.5,4657.0,32748.0
20-week-foresight,Hydrogen,2030,TRE,12888.5,3059.0,22718.0
20-week-foresight,Hydrogen,2030,WECC,28213.0,6447.0,49979.0
20-week-foresight,Hydrogen,2035,CA,24115.0,22519.0,25711.0
20-week-foresight,Hydrogen,2035,MISO,56022.5,47754.0,64291.0
20-week-foresight,Hydrogen,2035,NE,40332.0,37798.0,42866.0
20-week-foresight,Hydrogen,2035,PJM,46136.5,40134.0,52139.0
20-week-foresight,Hydrogen,2035,SOU,35264.0,31360.0,39168.0
20-week-foresight,Hydrogen,2035,SPP,33426.0,29062.0,37790.0
20-week-foresight,Hydrogen,2035,TRE,22163.0,19731.0,24595.0
20-week-foresight,Hydrogen,2035,WECC,48076.5,44164.0,51989.0
20-week-foresight,Hydrogen,2040,CA,26780.0,23395.0,30165.0
20-week-foresight,Hydrogen,2040,MISO,64740.5,62177.0,67304.0
20-week-foresight,Hydrogen,2040,NE,71928.5,61582.0,82275.0
20-week-foresight,Hydrogen,2040,PJM,53630.0,49823.0,57437.0
20-week-foresight,Hydrogen,2040,SOU,43042.5,42512.0,43573.0
20-week-foresight,Hydrogen,2040,SPP,39808.0,37863.0,41753.0
20-week-foresight,Hydrogen,2040,TRE,25849.0,24485.0,27213.0
20-week-foresight,Hydrogen,2040,WECC,63832.0,56709.0,70955.0
20-week-foresight,Hydrogen,2045,CA,29413.5,20344.0,38483.0
20-week-foresight,Hydrogen,2045,MISO,69441.5,52350.0,86533.0
20-week-foresight,Hydrogen,2045,NE,76387.5,56091.0,96684.0
20-week-foresight,Hydrogen,2045,PJM,56819.5,39388.0,74251.0
20-week-foresight,Hydrogen,2045,SOU,46615.0,36260.0,56970.0
20-week-foresight,Hydrogen,2045,SPP,43040.5,31896.0,54185.0
20-week-foresight,Hydrogen,2045,TRE,27732.5,20623.0,34842.0
20-week-foresight,Hydrogen,2045,WECC,72969.5,50699.0,95240.0
20-week-foresight,Hydrogen,2050,CA,31198.5,18997.0,43400.0
20-week-foresight,Hydrogen,2050,MISO,74747.5,48183.0,101312.0
20-week-foresight,Hydrogen,2050,NE,81391.0,56418.0,106364.0
20-week-foresight,Hydrogen,2050,PJM,60201.5,35723.0,84680.0
20-week-foresight,Hydrogen,2050,SOU,50557.5,35236.0,65879.0
20-week-foresight,Hydrogen,2050,SPP,45602.5,29147.0,62058.0
20-week-foresight,Hydrogen,2050,TRE,30319.5,20463.0,40176.0
20-week-foresight,Hydrogen,2050,WECC,80098.0,47798.0,112398.0
20-week-foresight,Natural Gas CC,2027,CA,89452975.33333333,77996567.0,101181569.0
20-week-foresight,Natural Gas CC,2027,MISO,307907890.0,276320094.0,347573303.0
