case,planning_year,tech_type,agg_zone,end_value
20-week-foresight,2035,Hydro,CA,12265.3
20-week-foresight,2035,Hydro,MISO,10135.3
20-week-foresight,2035,Hydro,NE,7976.0
20-week-foresight,2035,Hydro,PJM,7586.3
20-week-foresight,2035,Hydro,SOU,9444.3
20-week-foresight,2035,Hydro,SPP,5162.0
20-week-foresight,2035,Hydro,TRE,501.0
20-week-foresight,2035,Hydro,WECC,39459.0
20-week-foresight,2035,Hydrogen,CA,13.0
20-week-foresight,2035,Hydrogen,MISO,37.5
20-week-foresight,2035,Hydrogen,NE,34.5
20-week-foresight,2035,Hydrogen,PJM,29.0
20-week-foresight,2035,Hydrogen,SOU,24.0
20-week-foresight,2035,Hydrogen,SPP,24.0
20-week-foresight,2035,Hydrogen,TRE,17.0
20-week-foresight,2035,Hydrogen,WECC,35.0
20-week-foresight,2035,Natural Gas CC,CA,21052.0
20-week-foresight,2035,Natural Gas CC,MISO,58159.7
20-week-foresight,2035,Natural Gas CC,NE,35953.3
20-week-foresight,2035,Natural Gas CC,PJM,59137.3
20-week-foresight,2035,Natural Gas CC,SOU,63790.7
20-week-foresight,2035,Natural Gas CC,SPP,11417.0
20-week-foresight,2035,Natural Gas CC,TRE,40361.3
20-week-foresight,2035,Natural Gas CC,WECC,29804.0
20-week-foresight,2035,Natural Gas CT,CA,12788.0
20-week-foresight,2035,Natural Gas CT,MISO,34767.3
20-week-foresight,2035,Natural Gas CT,NE,4054.0
20-week-foresight,2035,Natural Gas CT,PJM,31644.3
20-week-foresight,2035,Natural Gas CT,SOU,31969.0
20-week-foresight,2035,Natural Gas CT,SPP,10828.0
20-week-foresight,2035,Natural Gas CT,TRE,12376.7
20-week-foresight,2035,Natural Gas CT,WECC,9369.3
20-week-foresight,2035,Nuclear,CA,2.5
20-week-foresight,2035,Nuclear,MISO,20324.0
20-week-foresight,2035,Nuclear,NE,6717.3
20-week-foresight,2035,Nuclear,PJM,33765.7
20-week-foresight,2035,Nuclear,SOU,23928.7
20-week-foresight,2035,Nuclear,SPP,2028.0
20-week-foresight,2035,Nuclear,TRE,5122.0
20-week-foresight,2035,Nuclear,WECC,5179.3
20-week-foresight,2035,Solar,CA,46774.0
20-week-foresight,2035,Solar,MISO,85434.7
20-week-foresight,2035,Solar,NE,17662.3
20-week-foresight,2035,Solar,PJM,95314.0
20-week-foresight,2035,Solar,SOU,94175.0
20-week-foresight,2035,Solar,SPP,23095.7
20-week-foresight,2035,Solar,TRE,36715.0
20-week-foresight,2035,Solar,WECC,58883.0
20-week-foresight,2035,Wind,CA,6869.0
20-week-foresight,2035,Wind,MISO,141355.7
20-week-foresight,2035,Wind,NE,43673.7
20-week-foresight,2035,Wind,PJM,45373.0
20-week-foresight,2035,Wind,SOU,28136.0
20-week-foresight,2035,Wind,SPP,117524.0
20-week-foresight,2035,Wind,TRE,105134.7
20-week-foresight,2035,Wind,WECC,128713.0
20-week-foresight,2040,Battery,CA,1551.0
20-week-foresight,2040,Battery,MISO,239.5
20-week-foresight,2040,Battery,NE,8530.7
20-week-foresight,2040,Battery,PJM,2187.0
20-week-foresight,2040,Battery,SOU,232.0
20-week-foresight,2040,Battery,SPP,130.0
20-week-foresight,2040,Battery,TRE,125.0
20-week-foresight,2040,Battery,WECC,476.0
20-week-foresight,2040,CCS,CA,22946.7
20-week-foresight,2040,CCS,MISO,56465.7
20-week-foresight,2040,CCS,NE,
20-week-foresight,2040,CCS,PJM,59922.0
20-week-foresight,2040,CCS,SOU,52772.7
20-week-foresight,2040,CCS,SPP,157.5
20-week-foresight,2040,CCS,TRE,20580.0
20-week-foresight,2040,CCS,WECC,1066.0
20-week-foresight,2040,Coal,CA,0.0
20-week-foresight,2040,Coal,MISO,31207.7
20-week-foresight,2040,Coal,NE,0.0
20-week-foresight,2040,Coal,PJM,8856.0
20-week-foresight,2040,Coal,SOU,13676.3
20-week-foresight,2040,Coal,SPP,14468.7
20-week-foresight,2040,Coal,TRE,10731.0
20-week-foresight,2040,Coal,WECC,9700.3
20-week-foresight,2040,Distributed Solar,CA,16458.3
20-week-foresight,2040,Distributed Solar,MISO,19076.0
20-week-foresight,2040,Distributed Solar,NE,8967.0
20-week-foresight,2040,Distributed Solar,PJM,21331.7
20-week-foresight,2040,Distributed Solar,SOU,15231.0
20-week-foresight,2040,Distributed Solar,SPP,4698.7
20-week-foresight,2040,Distributed Solar,TRE,8900.3
20-week-foresight,2040,Distributed Solar,WECC,10241.7
20-week-foresight,2040,Geothermal,CA,30.7
20-week-foresight,2040,Geothermal,MISO,
20-week-foresight,2040,Geothermal,NE,
20-week-foresight,2040,Geothermal,PJM,
20-week-foresight,2040,Geothermal,SOU,
20-week-foresight,2040,Geothermal,SPP,
20-week-foresight,2040,Geothermal,TRE,
20-week-foresight,2040,Geothermal,WECC,499.7
20-week-foresight,2040,Hydro,CA,12261.7
20-week-foresight,2040,Hydro,MISO,9582.7
20-week-foresight,2040,Hydro,NE,7913.0
20-week-foresight,2040,Hydro,PJM,7319.3
20-week-foresight,2040,Hydro,SOU,9442.7
20-week-foresight,2040,Hydro,SPP,5050.7
20-week-foresight,2040,Hydro,TRE,451.3
20-week-foresight,2040,Hydro,WECC,37907.3
20-week-foresight,2040,Hydrogen,CA,13.0
20-week-foresight,2040,Hydrogen,MISO,37.5
20-week-foresight,2040,Hydrogen,NE,35.0
20-week-foresight,2040,Hydrogen,PJM,29.0
20-week-foresight,2040,Hydrogen,SOU,24.0
20-week-foresight,2040,Hydrogen,SPP,24.0
20-week-foresight,2040,Hydrogen,TRE,17.0
20-week-foresight,2040,Hydrogen,WECC,35.0
20-week-foresight,2040,Natural Gas CC,CA,20934.0
20-week-foresight,2040,Natural Gas CC,MISO,58036.0
20-week-foresight,2040,Natural Gas CC,NE,39731.7
20-week-foresight,2040,Natural Gas CC,PJM,59102.7
20-week-foresight,2040,Natural Gas CC,SOU,63304.3
20-week-foresight,2040,Natural Gas CC,SPP,11135.0
20-week-foresight,2040,Natural Gas CC,TRE,39807.3
20-week-foresight,2040,Natural Gas CC,WECC,29060.0
20-week-foresight,2040,Natural Gas CT,CA,10794.7
20-week-foresight,2040,Natural Gas CT,MISO,34088.7
