Region,Resource,Zone,Cluster,R_ID,SubsidyRevenue
NY_Z_G-I,NY_Z_G-I_naturalgas_ccs100_moderate_0,7,0,86,0.0
NY_Z_J,NY_Z_J_naturalgas_ccavgcf_moderate_0,8,0,87,0.0
NY_Z_J,NY_Z_J_naturalgas_ctavgcf_moderate_0,8,0,88,0.0
NY_Z_J,NY_Z_J_nuclear_nuclear_moderate_0,8,0,89,0.08326550886853815
NY_Z_J,NY_Z_J_naturalgas_ccs100_moderate_0,8,0,90,0.0
NY_Z_K,NY_Z_K_naturalgas_ccavgcf_moderate_0,9,0,91,0.0
NY_Z_K,NY_Z_K_naturalgas_ctavgcf_moderate_0,9,0,92,0.0
NY_Z_K,NY_Z_K_nuclear_nuclear_moderate_0,9,0,93,0.08430865369051452
NY_Z_K,NY_Z_K_naturalgas_ccs100_moderate_0,9,0,94,0.0
PJM_EMAC,PJM_EMAC_naturalgas_ccavgcf_moderate_0,10,0,95,0.0
PJM_EMAC,PJM_EMAC_naturalgas_ctavgcf_moderate_0,10,0,96,0.0
PJM_EMAC,PJM_EMAC_nuclear_nuclear_moderate_0,10,0,97,1.369194543007754e-11
PJM_EMAC,PJM_EMAC_naturalgas_ccs100_moderate_0,10,0,98,0.0
PJM_Rest,PJM_Rest_naturalgas_ccccsavgcf_moderate_0,11,0,99,0.0
PJM_Rest,PJM_Rest_naturalgas_ccavgcf_moderate_0,11,0,100,0.0
PJM_Rest,PJM_Rest_naturalgas_ctavgcf_moderate_0,11,0,101,0.0
PJM_Rest,PJM_Rest_nuclear_nuclear_moderate_0,11,0,102,2.471283159515361e-12
PJM_Rest,PJM_Rest_naturalgas_ccs100_moderate_0,11,0,103,0.0
NENG_Rest,NENG_Rest_offshore_wind_turbine_1,1,1,104,97624.66589700399
NENG_Rest,NENG_Rest_onshore_wind_turbine_1,1,1,105,674439.588747999
NENG_Rest,NENG_Rest_solar_photovoltaic_1,1,1,106,0.0033557237334594695
NY_Z_A,NY_Z_A_onshore_wind_turbine_1,2,1,107,0.0
NY_Z_A,NY_Z_A_solar_photovoltaic_1,2,1,108,1.1205283161220396e-8
NY_Z_B,NY_Z_B_onshore_wind_turbine_1,3,1,109,0.0
NY_Z_B,NY_Z_B_solar_photovoltaic_1,3,1,110,6.403015401884072e-9
NY_Z_C&E,NY_Z_C&E_onshore_wind_turbine_1,4,1,111,0.0
NY_Z_C&E,NY_Z_C&E_solar_photovoltaic_1,4,1,112,1.3638431752374154e-7
NY_Z_D,NY_Z_D_onshore_wind_turbine_1,5,1,113,0.0
NY_Z_D,NY_Z_D_solar_photovoltaic_1,5,1,114,6.403013883221027e-9
NY_Z_F,NY_Z_F_solar_photovoltaic_1,6,1,115,2.9133737614593882e-8
NY_Z_G-I,NY_Z_G-I_solar_photovoltaic_1,7,1,116,2.209041315336615e-8
PJM_EMAC,PJM_EMAC_solar_photovoltaic_1,10,1,117,0.0
PJM_Rest,PJM_Rest_onshore_wind_turbine_1,11,1,118,0.0
PJM_Rest,PJM_Rest_solar_photovoltaic_1,11,1,119,0.0
NENG_Rest,NENG_Rest_offshorewind_class3_moderate_fixed_1_0,1,0,120,9.78079206476711e6
