Constraint,CapRes_1,CapRes_2,CapRes_3
t295,3.0104693523085445e-9,2.3128303424238373e-9,2.604874320209117e-10
t296,3.0134109259142824e-9,2.1921413288172527e-9,2.602814204053536e-10
t297,3.774196401929471e-9,2.675105171691199e-9,3.9096210243456094e-10
t298,3.737421220337005e-9,3.968374506413551e-9,2.733738023677297e-10
t299,4.142914891326645e-9,2.3120109910675637e-9,2.9446626740064846e-10
t300,4.236563631235193e-9,2.04027065133931e-9,3.1640106729085045e-10
t301,3.3590951463453566e-9,2.0561042459494956e-9,3.1450596646289616e-10
t302,3.3089898127533335e-9,2.1946316921666306e-9,3.077667019037282e-10
t303,3.4050530906619888e-9,2.1736049550977143e-9,3.1300381285756255e-10
t304,3.567864201456791e-9,2.0403637416085895e-9,3.3240970943077746e-10
t305,3.1733875666536405e-9,2.655478646467175e-9,3.5637206021276596e-10
t306,4.169983876406643e-9,2.2897129790461627e-9,5.230109481039243e-10
t307,3.882455780027654e-9,2.432504843565989e-9,5.328846076950486e-10
t308,4.166885194144888e-9,2.4692627927743092e-9,5.189396120073137e-10
t309,4.0605872155076925e-9,2.4837797850158302e-9,4.918454257025741e-10
t310,4.191331987622245e-9,2.341434848004618e-9,4.507216503053559e-10
t311,4.025011391018102e-9,2.298270097114792e-9,4.063456780040644e-10
t312,3.942896488943275e-9,2.137805309648096e-9,3.759757576274344e-10
t313,3.5333411076855494e-9,2.0248210784270097e-9,3.4682315004972903e-10
t314,3.298377319562771e-9,1.7799134759053837e-9,3.3334445176227803e-10
t315,3.1968700102494886e-9,1.7658518243992465e-9,3.315122939595445e-10
t316,2.8558571565676474e-9,1.7706550583088192e-9,3.3622844910584734e-10
t317,2.6881435085910255e-9,1.766060031690551e-9,3.4572834680270415e-10
t318,2.8660571249129796e-9,1.7498657454800934e-9,3.7111834833028847e-10
t319,3.4788508503084508e-9,1.6077631691014735e-9,4.0956073569499725e-10
t320,3.819165788870251e-9,1.786317407925685e-9,4.4368285545573445e-10
t321,2.8019582325471665e-9,4.301676246575983e-9,4.5647640610239645e-10
t322,2.3167912969959267e-9,1.949598060642243e-9,4.1638231665560043e-10
t323,2.4065285347362296e-9,2.11024305658172e-9,3.9873310367289573e-10
t324,2.7140083985294004e-9,2.2406394900478915e-9,3.978715124919342e-10
t325,2.9338091339302265e-9,2.175449397612417e-9,3.953490472650986e-10
t326,2.6995581114550026e-9,2.181301178459211e-9,3.8763740364525304e-10
t327,2.5599766833555613e-9,2.1551214881087906e-9,3.910247851516843e-10
t328,2.9185938680909615e-9,2.1338280193415094e-9,4.1906457686173893e-10
t329,5.677259864553566e-9,2.5327986749250688e-9,5.109109801565437e-10
t330,4.374239313989123e-9,2.4969236196162983e-9,1.117490673731818e-9
t331,4.950741576734321e-9,2.6011557854432272e-9,1.2492335347346779e-9
t332,4.592830848556699e-9,2.52438860335021e-9,1.1667555205284837e-9
t333,4.3201576129522486e-9,2.5522599852321543e-9,1.0892650925176625e-9
t334,4.034455494047994e-9,2.5463198567847086e-9,1.0081777081260948e-9
t335,3.6025533288384125e-9,2.291500006136881e-9,7.964085323033069e-10
t336,3.3622610792680752e-9,2.2326651912752596e-9,6.542078773246321e-10
t337,3.216226502351499e-9,2.1398057075612168e-9,5.410900185732371e-10
t338,3.0500052885073172e-9,2.1575100273799938e-9,5.263964956404482e-10
t339,3.022976060053762e-9,2.141988665781342e-9,5.233703876366496e-10
t340,2.9922556104548317e-9,2.1376179021031866e-9,5.357042746426932e-10
t341,3.0184039537047652e-9,2.1600367919881454e-9,5.583694879804958e-10
t342,3.2109889478953092e-9,2.2034266402330292e-9,6.279834803283247e-10
t343,3.423349942137277e-9,2.2753713527793494e-9,1.0733059179570762e-9
t344,3.945414611853524e-9,2.4011402194374547e-9,1.2875824597803468e-9
t345,4.570749271746248e-9,2.7172717502161946e-9,1.113018699194255e-9
t346,4.823035250251826e-9,2.4198491368349158e-9,7.802987177635038e-10
t347,4.27183538592533e-9,2.3233770942748698e-9,6.554391165303206e-10
t348,4.101275102201725e-9,2.4016137389554405e-9,6.032729677964596e-10
t349,3.976570678133709e-9,2.428489316568118e-9,5.750574976237854e-10
t350,3.8739305783926725e-9,2.5230172994934915e-9,5.387967252701228e-10
t351,3.992839436266798e-9,2.499632853628582e-9,5.319386096896343e-10
t352,4.152517462989718e-9,2.4272230058890313e-9,5.930253703642752e-10
t353,5.056045730560924e-9,2.81279054720176e-9,7.710365783623208e-10
t354,5.877114145646976e-9,3.2346273712352074e-9,4.0384387448242924e-9
t355,6.307276602475844e-9,3.816610652135295e-9,4.8864833788740215e-9
t356,5.843743241209199e-9,3.699889809946722e-9,3.6292847195280542e-9
t357,5.535190529249892e-9,3.649791408319149e-9,2.8391815288274745e-9
t358,5.350841540719942e-9,3.474508620948005e-9,2.4012630840046127e-9
t359,4.9790344337073375e-9,3.3321109116441924e-9,1.6358933274741219e-9
t360,4.172516198576774e-9,3.0896096580155927e-9,1.1517273437037285e-9
t361,4.136411122501201e-9,3.035470230571611e-9,7.671857610617668e-10
