Constraint,CapRes_1,CapRes_2,CapRes_3
t83,1.1443098598976347e-10,1.187431504750179e-10,1.9684046236319762e-11
t84,1.186663173579434e-10,1.2168737843630233e-10,2.0170617300556147e-11
t85,1.2468577159766907e-10,1.2456423568399446e-10,1.9485841420433832e-11
t86,1.2037170867078686e-10,1.2264480889185154e-10,1.9335590078165535e-11
t87,1.1201223242760221e-10,1.1615630970126873e-10,1.93933634522487e-11
t88,1.1200875126610476e-10,1.0342907583863111e-10,1.901521052478664e-11
t89,1.1836293643310335e-10,1.2101840666533343e-10,2.6233771974481933e-11
t90,5.734798716559759e-10,1.7958534238144008e-10,5.5331992117009264e-11
t91,1.1497856989661726e-9,2.1914662809475884e-10,7.365126233879876e-11
t92,1.2151771091286439e-9,2.884314063048387e-10,7.278724051203969e-11
t93,7.907765198374206e-10,2.1516876805615308e-10,6.396754399466116e-11
t94,5.151442907171881e-10,2.0591808201611727e-10,5.3775862309724865e-11
t95,2.283621052918182e-10,1.8756086739057627e-10,4.302780359187736e-11
t96,1.7906888270842405e-10,1.5899340972607883e-10,3.257702324505108e-11
t97,5.936525714757842e-11,5.9158234653293e-11,1.4450366233065179e-11
t98,5.891925789247565e-11,5.3818465957689945e-11,1.2809698049820026e-11
t99,5.857181168301577e-11,5.213091922559466e-11,1.2149023708865471e-11
t100,5.95094850137906e-11,5.14290595818544e-11,1.1826050350864337e-11
t101,5.980124043223608e-11,5.2134733584774175e-11,1.1532477949959418e-11
t102,6.022533950007175e-11,3.3195750463145967e-10,4.9321884205470565e-11
t103,4.5838922557652254e-11,5.481854840528862e-11,7.744998581107782e-12
t104,5.207946614759718e-11,5.2908099515796254e-11,1.6907831778472303e-11
t105,5.629723846991883e-11,5.550152456991549e-11,5.436529399585905e-12
t106,5.4569590215227285e-11,5.962713442837096e-11,-1.7818183076926576e-11
t107,6.284477058042504e-11,5.939896853394508e-11,1.2992780706745098e-11
t108,7.171701863129912e-11,6.029201879780145e-11,1.2402984453205515e-11
t109,7.257668753380093e-11,6.830963701389606e-11,1.2752315959793425e-11
t110,7.784741604131444e-11,6.441668167337445e-11,1.2339073961089886e-11
t111,7.319768363463463e-11,5.966860647938712e-11,1.2972827155371207e-11
t112,7.186697562551939e-11,6.315933031486673e-11,1.4545111968454574e-11
t113,7.310012777110168e-11,6.924822959282062e-11,1.6904750162624794e-11
t114,7.19327728819709e-11,6.968429311632082e-11,1.8464352180357406e-11
t115,8.84291449675367e-11,9.835641796071261e-11,2.3636866298272823e-11
t116,9.793940776275221e-11,5.149843854126469e-10,2.7060252483675476e-11
t117,8.724711514188018e-11,1.1443791155054193e-10,9.318616453049367e-11
t118,9.365073181183232e-11,1.0012666038835198e-10,2.4327970428446883e-11
t119,8.796999853506185e-11,8.735596574195163e-11,2.0142145308515196e-11
t120,7.216917212800912e-11,8.595050511685252e-11,1.757189252925353e-11
t121,6.152201503860707e-11,6.616761199553264e-11,1.4428080809379893e-11
t122,5.784386774402291e-11,6.757324541409416e-11,1.2947386313894548e-11
t123,5.349164950769806e-11,6.885186993916864e-11,5.155099876154395e-11
t124,5.371346903419132e-11,3.237769426613918e-10,1.5715756530459024e-11
t125,5.558961920606503e-11,6.102341559970086e-11,8.103133185793385e-12
t126,1.7359404741045807e-10,6.575486633392918e-11,4.747612961912722e-11
t127,5.907062236337846e-11,7.357053838093445e-11,1.244787555034432e-11
t128,6.240364777146544e-11,8.168552812786945e-11,1.3180092080885273e-11
t129,6.621514727571158e-11,4.019997140296659e-10,1.773772950650136e-11
t130,6.592235976753695e-11,4.89851580463265e-10,1.0699576311597557e-11
t131,6.902498134152218e-11,4.721584854508747e-10,1.7214396732095425e-11
t132,7.843917853141478e-11,5.613026380583216e-10,1.4987025826769016e-11
t133,8.067041029020071e-11,1.1594155229316743e-10,1.9349825644609016e-11
t134,8.986863904031458e-11,6.053538037668354e-10,1.0387737107691225e-11
t135,1.187867212152752e-10,1.2570366289630835e-10,1.3775454658645488e-11
t136,1.206775155053175e-10,1.2645932426760417e-10,2.0990374151195558e-11
t137,1.636143490248426e-10,1.6891023240536699e-10,2.668107189546334e-11
t138,3.441128343893306e-10,7.555404745478253e-10,3.034986938933835e-11
t139,2.719929947234794e-10,6.417223029025433e-10,2.8979903527773063e-11
t140,1.0659554545028503e-10,5.295883414774515e-10,8.795011320583134e-11
t141,1.0237199378864811e-10,1.1561711565609275e-10,2.185043392353108e-11
t142,1.0978089622148378e-10,1.078116401013824e-10,5.554035359436692e-11
t143,2.2548941687097064e-10,9.143062762647361e-11,5.09233732281025e-11
t144,8.320377776452181e-11,8.017550706442788e-11,1.614610508907153e-11
t145,2.8900455621650553e-10,8.042316488266968e-11,3.3158316545291724e-11
t146,7.736178490503023e-11,3.134882170630235e-10,1.401204921797149e-11
t147,6.833998465468245e-11,7.840152387766041e-11,1.4037636948039236e-11
t148,1.8365946866196997e-10,8.188312649469985e-11,1.4089677409533253e-11
t149,6.812690295843697e-11,2.952894149504402e-10,5.4692561229732935e-11
t150,7.557522100889956e-11,3.2335437718835545e-10,5.99894291769632e-11
t151,6.192722315659446e-11,3.156988871205633e-10,6.907683454001684e-12
t152,7.088165226236422e-11,4.076051283456493e-10,1.7896937934189e-11
t153,8.773341536963515e-11,4.5480716032235396e-10,1.8030262542539244e-11
t154,8.980489076505961e-11,5.409849732696585e-10,2.0868186035960056e-11
t155,9.030025707673999e-11,5.350236724888087e-10,1.3045455194181417e-11
t156,1.1085600021075236e-10,1.2871752008466327e-10,1.4054798958178689e-11
t157,1.5399433195034168e-10,6.032861267432756e-10,1.510540916822528e-11
t158,1.977733796455228e-10,1.3141343105870473e-10,1.4256268044708455e-11
t159,1.5951409901793195e-10,7.03194310931601e-10,1.9423138732090267e-11
t160,1.5337326247808397e-10,7.803595638005651e-10,3.6060374359689355e-11
t161,2.383977277352654e-10,1.6450587375799822e-10,1.8716676208941688e-11
t162,1.6824066938017725e-10,2.2474782060271428e-10,1.9923330347101642e-11
t163,2.3207394665664417e-10,1.685424997433588e-10,2.6755231788032487e-11
t164,1.368358525951731e-10,4.942292099182689e-10,5.6150421572556234e-11
t165,1.1197957829184639e-10,4.5606302767409005e-10,2.1631278140694092e-11
t166,1.007225149900523e-10,1.1236670777874762e-10,2.211404036052908e-11
t167,8.625776874564029e-11,8.310019551580021e-11,1.915648292214423e-11
t168,8.010408569954154e-11,8.06923027333329e-11,1.780134192774906e-11
t169,8.004413774305432e-11,3.5702847921498053e-10,1.574664611119929e-11
t170,7.940809463978031e-11,8.243392766858441e-11,1.4802280161570324e-11
t171,5.2894470067814535e-11,2.99149806666367e-10,1.395876960893599e-11
t172,5.873199543924042e-11,3.4524361614164487e-10,1.3420522716909724e-11
t173,5.6039124921392354e-11,7.278925668275206e-11,4.5342587296674546e-11
t174,5.827836942926204e-11,3.3748088950183383e-10,1.568398456818272e-11
t175,5.828075321079003e-11,3.787138241199292e-10,1.4210656028040892e-11
t176,6.438461631986019e-11,8.149688405360769e-11,1.372908046695338e-11
t177,7.669836729869161e-11,4.764215963747507e-10,1.390535700825408e-11
t178,8.117507600140531e-11,4.958512621253267e-10,1.4105316293262904e-11
t179,8.072631560292403e-11,4.686605212823297e-10,1.4420939949738487e-11
t180,9.415817674561052e-11,8.651643983704514e-11,1.4819258891218756e-11
t181,9.138901240367778e-11,9.08270742305385e-11,1.5048912960342333e-11
t182,8.387210648521351e-11,8.546890282046918e-11,1.4972025477158148e-11
t183,8.12360318962409e-11,8.41549084110563e-11,1.579315909034702e-11
t184,8.658028278632572e-11,9.0457589526441e-11,1.8474713876782736e-11
t185,1.0386994083759311e-10,9.269214726377606e-11,2.2318836644801925e-11
t186,1.1219764341568269e-10,9.676732315916024e-11,2.4789927206612032e-11
t187,1.1490851163135318e-10,1.1227669498431523e-10,2.725014154196434e-11
t188,9.964298844451439e-11,5.436197043645003e-10,4.632670676903515e-11
t189,9.183907093053499e-11,9.720762371261633e-11,1.9455147738630517e-11
t190,9.268884529556947e-11,9.46957436605392e-11,2.1679753992912933e-11
t191,7.875131941072467e-11,8.111181808515658e-11,1.8911290351353926e-11
t192,6.633219903389223e-11,7.330941466530788e-11,1.6682579544503354e-11
t193,5.90530265235975e-10,2.2701032124925973e-10,4.9394236989571314e-11
t194,4.459644493375842e-10,1.8574921198197616e-10,3.4517260442420526e-11
t195,1.3519951334015968e-10,7.784059109993012e-10,1.1510674895585726e-10
t196,1.000050791598592e-10,6.456089476691678e-10,1.2844034736747933e-10
t197,1.8188160314046674e-10,1.5588987696712243e-10,4.122022730332914e-11
t198,1.9894627273873214e-10,2.025041306842159e-10,3.6453472010053245e-11
t199,1.0851186094208552e-10,2.1018345152777367e-10,3.942324398433016e-11
t200,1.194001076380839e-10,2.857238153083249e-10,4.043595076768971e-11
t201,1.95692814086031e-10,1.166287100314755e-9,8.385566006462251e-11
t202,2.233937288548081e-10,1.463430347112135e-9,5.979305917388722e-11
t203,3.137506859845293e-10,1.6913364342458067e-9,5.2344794420061727e-11
t204,7.315596784927383e-10,2.4511946272377654e-9,6.931703359428944e-11
t205,2.099091149428528e-9,8.237737772409838e-10,9.113696573600248e-11
t206,5.1486589207021444e-9,7.055121576244492e-10,1.4193368952513964e-10
t207,0.009456787865650618,1.4419194361882369e-9,2.3225129108237993e-10
t208,0.009456865732917312,4.0103635770526356e-8,1.746784949366853e-9
t209,0.01348125781632446,0.001998449595366966,0.008681762307509413
