case,tech_type,planning_year,value,min,max
full-base-50,Hydrogen,2030,12427.0,8091.0,16763.0
full-base-50,Hydrogen,2035,39523.666666666664,3483.0,97099.0
full-base-50,Hydrogen,2040,73833.66666666667,2682.0,191858.0
full-base-50,Hydrogen,2045,200244.66666666666,5564.0,343714.0
full-base-50,Hydrogen,2050,241619.33333333334,6633.0,424238.0
full-base-50,Natural Gas CC,2027,1657010919.0,1651980130.0,1663798752.0
full-base-50,Natural Gas CC,2030,1148912939.3333333,1124863017.0,1168903697.0
full-base-50,Natural Gas CC,2035,1368550698.0,1329046056.0,1399203758.0
full-base-50,Natural Gas CC,2040,1582110235.6666667,1564054805.0,1616079411.0
full-base-50,Natural Gas CC,2045,1918838549.6666667,1881991852.0,1950223515.0
full-base-50,Natural Gas CC,2050,2005042580.3333333,1963661162.0,2035968469.0
full-base-50,Natural Gas CT,2027,6000295.666666667,5855968.0,6174632.0
full-base-50,Natural Gas CT,2030,6053574.666666667,5865567.0,6310570.0
full-base-50,Natural Gas CT,2035,16688805.666666666,16476508.0,16889302.0
full-base-50,Natural Gas CT,2040,18142858.666666668,17174774.0,19595144.0
full-base-50,Natural Gas CT,2045,15746971.0,13519379.0,17106589.0
full-base-50,Natural Gas CT,2050,9353054.666666666,7283300.0,10415437.0
full-base-50,Nuclear,2027,837338952.6666666,836973112.0,837826570.0
full-base-50,Nuclear,2030,789324195.0,788322258.0,790121620.0
full-base-50,Nuclear,2035,765842986.0,764894213.0,766850975.0
full-base-50,Nuclear,2040,758430620.3333334,757261216.0,759077155.0
full-base-50,Nuclear,2045,763856933.0,763336930.0,764156249.0
full-base-50,Nuclear,2050,739362065.6666666,739353208.0,739376629.0
full-base-50,Solar,2027,255873329.66666666,255481509.0,256555484.0
full-base-50,Solar,2030,693603671.3333334,683318946.0,698905373.0
full-base-50,Solar,2035,1058552686.6666666,1050752185.0,1063899103.0
full-base-50,Solar,2040,1268669039.0,1260443480.0,1277843236.0
full-base-50,Solar,2045,1522787296.6666667,1509889394.0,1537807971.0
full-base-50,Solar,2050,1776713495.6666667,1758769504.0,1798356330.0
full-base-50,Wind,2027,891148556.6666666,882072295.0,906887522.0
full-base-50,Wind,2030,1476092120.3333333,1437887029.0,1515467061.0
full-base-50,Wind,2035,1726538586.3333333,1679139430.0,1781545320.0
full-base-50,Wind,2040,1878893495.0,1821830286.0,1919912163.0
full-base-50,Wind,2045,2030545366.3333333,1972898684.0,2088155660.0
full-base-50,Wind,2050,2069819613.6666667,2013474912.0,2127390417.0
