zone,value,planning_year,model,agg_zone,case
11.0,427.5827816003824,2030,SWITCH,,full-base-50
12.0,3.882680191648405,2030,SWITCH,,full-base-50
13.0,4.133758545063855,2030,SWITCH,,full-base-50
14.0,4.173434763987088,2030,SWITCH,,full-base-50
15.0,4.766303557999637,2030,SWITCH,,full-base-50
16.0,4.801291748253547,2030,SWITCH,,full-base-50
17.0,3.677880741474512,2030,SWITCH,,full-base-50
18.0,3.820313206389832,2030,SWITCH,,full-base-50
19.0,3.3571211540924564,2030,SWITCH,,full-base-50
20.0,4.090169301124371,2030,SWITCH,,full-base-50
21.0,4.340765603133168,2030,SWITCH,,full-base-50
22.0,4.591684014806554,2030,SWITCH,,full-base-50
23.0,4.7297399704963485,2030,SWITCH,,full-base-50
24.0,3.787563671168996,2030,SWITCH,,full-base-50
25.0,4.949729263546434,2030,SWITCH,,full-base-50
26.0,3.5121197850150274,2030,SWITCH,,full-base-50
1.0,1.84982625123603,2027,TEMOA,,full-base-50
2.0,1.8643834310588825,2027,TEMOA,,full-base-50
3.0,2.113076195861963,2027,TEMOA,,full-base-50
4.0,1.981431705544749,2027,TEMOA,,full-base-50
5.0,20694.677698260693,2027,TEMOA,,full-base-50
6.0,1.8722894956901768,2027,TEMOA,,full-base-50
7.0,1.8394207174506476,2027,TEMOA,,full-base-50
8.0,1.770340266391682,2027,TEMOA,,full-base-50
9.0,1.9550487449859164,2027,TEMOA,,full-base-50
10.0,2.1987560959453707,2027,TEMOA,,full-base-50
11.0,3077.4349700053785,2027,TEMOA,,full-base-50
12.0,1.786374218377654,2027,TEMOA,,full-base-50
13.0,1.7992158837699763,2027,TEMOA,,full-base-50
14.0,1.9149322792135364,2027,TEMOA,,full-base-50
15.0,2.0420759108203748,2027,TEMOA,,full-base-50
16.0,1.9823042485602476,2027,TEMOA,,full-base-50
17.0,1.7296759865806393,2027,TEMOA,,full-base-50
18.0,1.7487169615377234,2027,TEMOA,,full-base-50
19.0,1.7100522381299372,2027,TEMOA,,full-base-50
20.0,1.76665705387343,2027,TEMOA,,full-base-50
21.0,1.838327275102352,2027,TEMOA,,full-base-50
22.0,1.9402355974254413,2027,TEMOA,,full-base-50
23.0,1.88042340844192,2027,TEMOA,,full-base-50
24.0,1.856666300894714,2027,TEMOA,,full-base-50
25.0,2.155077190830118,2027,TEMOA,,full-base-50
26.0,1.6654715240196634,2027,TEMOA,,full-base-50
1.0,6948.500098298494,2040,TEMOA,,full-base-50
2.0,2.42149549461582,2040,TEMOA,,full-base-50
3.0,3454.721997696463,2040,TEMOA,,full-base-50
4.0,912.6609079003726,2040,TEMOA,,full-base-50
5.0,90755.01897296554,2040,TEMOA,,full-base-50
6.0,2.2662989944741567,2040,TEMOA,,full-base-50
7.0,895.3149746227369,2040,TEMOA,,full-base-50
8.0,2.2164053729292426,2040,TEMOA,,full-base-50
9.0,4019.603639904724,2040,TEMOA,,full-base-50
10.0,19.25362966731582,2040,TEMOA,,full-base-50
11.0,49045.33695278833,2040,TEMOA,,full-base-50
12.0,2.136677181240884,2040,TEMOA,,full-base-50
13.0,2.209763584881941,2040,TEMOA,,full-base-50
14.0,846.8605233705805,2040,TEMOA,,full-base-50
15.0,2.537747141947518,2040,TEMOA,,full-base-50
16.0,2.3042168098001765,2040,TEMOA,,full-base-50
17.0,2.264968713717594,2040,TEMOA,,full-base-50
18.0,2.18880172867254,2040,TEMOA,,full-base-50
19.0,2.12955002589446,2040,TEMOA,,full-base-50
20.0,2.188267417587227,2040,TEMOA,,full-base-50
21.0,3765.238864356832,2040,TEMOA,,full-base-50
22.0,2.379996379307846,2040,TEMOA,,full-base-50
23.0,2.3636624414211487,2040,TEMOA,,full-base-50
24.0,2.2818410475034367,2040,TEMOA,,full-base-50
25.0,3101.660049529684,2040,TEMOA,,full-base-50
26.0,2.055795452761751,2040,TEMOA,,full-base-50
1.0,14425.62242720135,2045,TEMOA,,full-base-50
2.0,401.9617341575465,2045,TEMOA,,full-base-50
3.0,12462.740516361986,2045,TEMOA,,full-base-50
4.0,4181.7048505493685,2045,TEMOA,,full-base-50
5.0,92973.72358867987,2045,TEMOA,,full-base-50
6.0,3701.44287316714,2045,TEMOA,,full-base-50
7.0,622.8015082574823,2045,TEMOA,,full-base-50
8.0,2.5798093567576887,2045,TEMOA,,full-base-50
9.0,18853.179075565706,2045,TEMOA,,full-base-50
10.0,4911.765884578587,2045,TEMOA,,full-base-50
11.0,70835.62587998935,2045,TEMOA,,full-base-50
12.0,2.395620236816886,2045,TEMOA,,full-base-50
13.0,2.502559453084065,2045,TEMOA,,full-base-50
14.0,2829.3085561945863,2045,TEMOA,,full-base-50
15.0,2.9275533257459263,2045,TEMOA,,full-base-50
16.0,3130.3257218059925,2045,TEMOA,,full-base-50
17.0,753.2328433595493,2045,TEMOA,,full-base-50
18.0,848.1147777279247,2045,TEMOA,,full-base-50
19.0,2.41941917144312,2045,TEMOA,,full-base-50
20.0,2558.9010025786674,2045,TEMOA,,full-base-50
21.0,8599.599389957299,2045,TEMOA,,full-base-50
22.0,12909.269682459206,2045,TEMOA,,full-base-50
23.0,6782.293343178284,2045,TEMOA,,full-base-50
24.0,7765.869300525147,2045,TEMOA,,full-base-50
25.0,15801.15842697681,2045,TEMOA,,full-base-50
26.0,2.286866879118706,2045,TEMOA,,full-base-50
1.0,19053.358772461383,2050,TEMOA,,full-base-50
2.0,5.610784210641239,2050,TEMOA,,full-base-50
3.0,5802.279922547813,2050,TEMOA,,full-base-50
4.0,8902.217598648218,2050,TEMOA,,full-base-50
5.0,88999.46324397986,2050,TEMOA,,full-base-50
6.0,8109.892815635991,2050,TEMOA,,full-base-50
7.0,3156.3752806390144,2050,TEMOA,,full-base-50
8.0,1768.329927263507,2050,TEMOA,,full-base-50
9.0,21489.88771054137,2050,TEMOA,,full-base-50
10.0,6322.074108267877,2050,TEMOA,,full-base-50
11.0,55950.67460465564,2050,TEMOA,,full-base-50
12.0,4.65328057063382,2050,TEMOA,,full-base-50
13.0,2885.6461892114435,2050,TEMOA,,full-base-50
14.0,2128.545182592932,2050,TEMOA,,full-base-50
15.0,6.656643066425805,2050,TEMOA,,full-base-50
