model,zone,resource_name,tech_type,planning_year,case,unit,start_value,end_value
USENSYS,TRE,TRE_landbasedwind_class3_moderate_2_anyQual_1,Wind,2040,20-week-foresight,MW,512,512
USENSYS,TRE,TRE_landbasedwind_class3_moderate_2_anyQual_1,Wind,2045,20-week-foresight,MW,512,512
USENSYS,TRE,TRE_landbasedwind_class3_moderate_2_anyQual_1,Wind,2050,20-week-foresight,MW,512,512
USENSYS,TREW,TREW_landbasedwind_class3_moderate_2_anyQual_1,Wind,2050,20-week-foresight,MW,4571,4571
USENSYS,FRCC,FRCC_landbasedwind_class3_moderate_20_anyQual_0,Wind,2035,20-week-foresight,MW,332,332
USENSYS,FRCC,FRCC_landbasedwind_class3_moderate_20_anyQual_0,Wind,2040,20-week-foresight,MW,332,332
USENSYS,FRCC,FRCC_landbasedwind_class3_moderate_20_anyQual_0,Wind,2045,20-week-foresight,MW,332,332
USENSYS,FRCC,FRCC_landbasedwind_class3_moderate_20_anyQual_0,Wind,2050,20-week-foresight,MW,332,332
USENSYS,SRCA,SRCA_landbasedwind_class3_moderate_20_anyQual_0,Wind,2035,20-week-foresight,MW,452,452
USENSYS,SRCA,SRCA_landbasedwind_class3_moderate_20_anyQual_0,Wind,2040,20-week-foresight,MW,452,452
USENSYS,SRCA,SRCA_landbasedwind_class3_moderate_20_anyQual_0,Wind,2045,20-week-foresight,MW,452,452
USENSYS,SRCA,SRCA_landbasedwind_class3_moderate_20_anyQual_0,Wind,2050,20-week-foresight,MW,452,452
USENSYS,MISE,MISE_landbasedwind_class3_moderate_20_anyQual_1,Wind,2035,20-week-foresight,MW,379,379
USENSYS,MISE,MISE_landbasedwind_class3_moderate_20_anyQual_1,Wind,2040,20-week-foresight,MW,379,379
USENSYS,MISE,MISE_landbasedwind_class3_moderate_20_anyQual_1,Wind,2045,20-week-foresight,MW,379,379
USENSYS,MISE,MISE_landbasedwind_class3_moderate_20_anyQual_1,Wind,2050,20-week-foresight,MW,379,379
USENSYS,MISW,MISW_landbasedwind_class3_moderate_20_anyQual_1,Wind,2035,20-week-foresight,MW,918,918
USENSYS,MISW,MISW_landbasedwind_class3_moderate_20_anyQual_1,Wind,2040,20-week-foresight,MW,918,918
USENSYS,MISW,MISW_landbasedwind_class3_moderate_20_anyQual_1,Wind,2045,20-week-foresight,MW,918,918
USENSYS,MISW,MISW_landbasedwind_class3_moderate_20_anyQual_1,Wind,2050,20-week-foresight,MW,918,918
USENSYS,NWPP,NWPP_landbasedwind_class3_moderate_21_anyQual_0,Wind,2035,20-week-foresight,MW,725,725
USENSYS,NWPP,NWPP_landbasedwind_class3_moderate_21_anyQual_0,Wind,2040,20-week-foresight,MW,725,725
USENSYS,NWPP,NWPP_landbasedwind_class3_moderate_21_anyQual_0,Wind,2045,20-week-foresight,MW,725,725
USENSYS,NWPP,NWPP_landbasedwind_class3_moderate_21_anyQual_0,Wind,2050,20-week-foresight,MW,725,725
USENSYS,FRCC,FRCC_landbasedwind_class3_moderate_21_anyQual_1,Wind,2035,20-week-foresight,MW,53,53
USENSYS,FRCC,FRCC_landbasedwind_class3_moderate_21_anyQual_1,Wind,2040,20-week-foresight,MW,53,53
USENSYS,FRCC,FRCC_landbasedwind_class3_moderate_21_anyQual_1,Wind,2045,20-week-foresight,MW,53,53
USENSYS,FRCC,FRCC_landbasedwind_class3_moderate_21_anyQual_1,Wind,2050,20-week-foresight,MW,53,53
USENSYS,MISE,MISE_landbasedwind_class3_moderate_21_anyQual_1,Wind,2035,20-week-foresight,MW,767,767
USENSYS,MISE,MISE_landbasedwind_class3_moderate_21_anyQual_1,Wind,2040,20-week-foresight,MW,767,767
USENSYS,MISE,MISE_landbasedwind_class3_moderate_21_anyQual_1,Wind,2045,20-week-foresight,MW,767,767
USENSYS,MISE,MISE_landbasedwind_class3_moderate_21_anyQual_1,Wind,2050,20-week-foresight,MW,767,767
USENSYS,SRCA,SRCA_landbasedwind_class3_moderate_21_anyQual_1,Wind,2035,20-week-foresight,MW,17,17
USENSYS,SRCA,SRCA_landbasedwind_class3_moderate_21_anyQual_1,Wind,2040,20-week-foresight,MW,17,17
USENSYS,SRCA,SRCA_landbasedwind_class3_moderate_21_anyQual_1,Wind,2045,20-week-foresight,MW,17,17
USENSYS,SRCA,SRCA_landbasedwind_class3_moderate_21_anyQual_1,Wind,2050,20-week-foresight,MW,17,17
USENSYS,FRCC,FRCC_landbasedwind_class3_moderate_22_anyQual_1,Wind,2035,20-week-foresight,MW,51,51
USENSYS,FRCC,FRCC_landbasedwind_class3_moderate_22_anyQual_1,Wind,2040,20-week-foresight,MW,51,51
USENSYS,FRCC,FRCC_landbasedwind_class3_moderate_22_anyQual_1,Wind,2045,20-week-foresight,MW,51,51
USENSYS,FRCC,FRCC_landbasedwind_class3_moderate_22_anyQual_1,Wind,2050,20-week-foresight,MW,51,51
USENSYS,MISE,MISE_landbasedwind_class3_moderate_22_anyQual_1,Wind,2035,20-week-foresight,MW,369,369
USENSYS,MISE,MISE_landbasedwind_class3_moderate_22_anyQual_1,Wind,2040,20-week-foresight,MW,369,369
USENSYS,MISE,MISE_landbasedwind_class3_moderate_22_anyQual_1,Wind,2045,20-week-foresight,MW,369,369
USENSYS,MISE,MISE_landbasedwind_class3_moderate_22_anyQual_1,Wind,2050,20-week-foresight,MW,369,369
USENSYS,SRCA,SRCA_landbasedwind_class3_moderate_22_anyQual_1,Wind,2035,20-week-foresight,MW,96,96
USENSYS,SRCA,SRCA_landbasedwind_class3_moderate_22_anyQual_1,Wind,2040,20-week-foresight,MW,96,96
USENSYS,SRCA,SRCA_landbasedwind_class3_moderate_22_anyQual_1,Wind,2045,20-week-foresight,MW,96,96
USENSYS,SRCA,SRCA_landbasedwind_class3_moderate_22_anyQual_1,Wind,2050,20-week-foresight,MW,96,96
USENSYS,FRCC,FRCC_landbasedwind_class3_moderate_23_anyQual_1,Wind,2035,20-week-foresight,MW,92,92
USENSYS,FRCC,FRCC_landbasedwind_class3_moderate_23_anyQual_1,Wind,2040,20-week-foresight,MW,92,92
USENSYS,FRCC,FRCC_landbasedwind_class3_moderate_23_anyQual_1,Wind,2045,20-week-foresight,MW,92,92
USENSYS,FRCC,FRCC_landbasedwind_class3_moderate_23_anyQual_1,Wind,2050,20-week-foresight,MW,92,92
USENSYS,SRCA,SRCA_landbasedwind_class3_moderate_23_anyQual_1,Wind,2035,20-week-foresight,MW,41,41
