Resource,NENG_Rest_hydroelectric_pumped_storage_1,NY_Z_A_hydroelectric_pumped_storage_1,NY_Z_F_hydroelectric_pumped_storage_1,PJM_EMAC_hydroelectric_pumped_storage_1,PJM_Rest_hydroelectric_pumped_storage_1,NENG_Rest_battery_advanced_0,NY_Z_A_battery_advanced_0,NY_Z_B_battery_advanced_0,NY_Z_C&E_battery_advanced_0,NY_Z_D_battery_advanced_0,NY_Z_F_battery_advanced_0,NY_Z_G-I_battery_advanced_0,NY_Z_J_battery_advanced_0,NY_Z_K_battery_advanced_0,PJM_EMAC_battery_advanced_0,PJM_Rest_battery_advanced_0,NY_Z_A_res_water_heat_1,NY_Z_B_res_water_heat_1,NY_Z_C&E_res_water_heat_1,NY_Z_D_res_water_heat_1,NY_Z_F_res_water_heat_1,NY_Z_G-I_res_water_heat_1,NY_Z_J_res_water_heat_1,NY_Z_K_res_water_heat_1,PJM_EMAC_res_water_heat_1,PJM_Rest_res_water_heat_1,NENG_Rest_res_water_heat_1,NY_Z_A_trans_light_duty_1,NY_Z_B_trans_light_duty_1,NY_Z_C&E_trans_light_duty_1,NY_Z_D_trans_light_duty_1,NY_Z_F_trans_light_duty_1,NY_Z_G-I_trans_light_duty_1,NY_Z_J_trans_light_duty_1,NY_Z_K_trans_light_duty_1,PJM_EMAC_trans_light_duty_1,PJM_Rest_trans_light_duty_1,NENG_Rest_trans_light_duty_1,Total
t18,1829.999820435871,239.99903211639645,1166.6996800614806,5.798219633256419e-5,3692.9995607213887,0.00021788423263343785,0.00035140494248316745,0.0003607875798555277,0.00032381591712728544,0.00037725286028648844,0.0003163220661904271,0.00028443750486824634,0.0002601135965464285,0.0002586584547990488,9.656905433857212e-5,0.00021282435522591126,2.8044003531765482,2.1382283317932838,4.2285398305221635,0.4743356586777574,2.584560939120824,4.7871113613114336,17.069884853067816,5.809009956990367,46.10766999409857,208.62954325223828,38.292092984845254,16.8388924437307,12.77449945043187,25.253565490637143,2.9630605372947527,15.441907693476006,28.693417148778657,103.19128459108592,34.990888744806526,315.3955807431478,1040.4819357753165,265.70007798204335,9124.351699504488
t19,8.8838645616731e-5,7.012743035945085e-5,8.299431187142697e-5,6.931778945775701e-5,0.0001627402613357714,0.00012094137624982304,0.0001612248959322427,0.00016729901572951894,0.0001813081494726428,0.0001905323317985886,0.00017618148200539022,0.0001592114134175866,0.00014686533842539023,0.00014967221421204117,0.00023767180230882437,0.00011488503343727782,3.5540065825244738,2.694122675983308,5.300154004863716,0.5942931614205105,3.226458053610658,6.035034938786848,21.53077358965987,7.3031795430003985,56.15125807269395,261.73242762063524,47.49404001459363,20.521963355421413,15.554121655485433,30.722558863942215,3.5610902517534853,18.78004084081883,34.90215585172159,124.81085916885836,42.520851656408986,394.01123578155176,1231.0399569488168,315.64939711126846,2647.6922595553115
t20,5.1980705005768886e-5,4.952939668003609e-5,5.3357774688926436e-5,4.8924552083116285e-5,4.430757948432987e-5,0.0001531650049923195,0.00012120643333281194,0.00012614380418482008,0.00023497912367791843,0.00023344091544242102,0.00023515431435220505,0.00023168258109224725,0.00023102261937377454,0.000224485933564692,0.0002449866513577831,4.001970734430062e-5,3.715344999379688,2.810374098163247,5.454482591841316,0.6107738392472563,3.3168978618164027,6.216087905755466,22.264290159823506,7.531931534199505,59.09594155003915,274.2976856460585,44.84602324898529,25.73890165152911,19.54028255534369,38.60841676818419,4.486508359633337,23.613661137581833,43.68538487496501,156.4412457511933,53.308006044944186,475.36124407583,1536.1571072736563,394.7919805513272,3201.894896866594
t21,5.3821429664076404e-6,4.4405608121161384e-5,1.1049134139453736e-5,1.6543996472502597e-5,4.244124322486551e-6,8.18014742738007e-6,0.00011666931779219297,0.00011836909307267528,2.0059491568486663e-5,1.6236125864075657e-5,1.9925721286409363e-5,1.992528364161075e-5,2.1278974924975316e-5,2.3159806662315273e-5,4.057255465336429e-5,2.1867546043487997e-6,3.9986369056533944,3.030423992886825,6.019924167813429,0.6735494841415753,3.662467229886454,6.819775601025652,24.374412397158938,8.293186410356158,65.909314623499,304.4528706961595,53.97202231159737,22.38161716029319,16.991527062310144,33.57256408828592,3.901390548803831,20.533673966201874,37.98730650016148,136.03565559772815,46.3547834136897,418.47877016237317,1341.8754855929024,336.74992107657243,2896.069767177778
t22,5.10267613679621e-5,3.5201891175869825e-5,3.5360568980943456e-5,3.5745776244495945e-5,2.7777511862878816e-5,0.00022966883753027453,0.00010902878032042033,0.00012073810835692823,0.0006622194093906732,0.0005354630908355151,0.0006508246788976615,0.0006976398663020184,0.0007357060208579475,0.0007435707922972397,0.0006846927998053314,4.405816024015505e-5,6.015781270179345,4.559247962381416,9.055637676193378,1.012848324354268,5.50918339427325,10.258876465258723,36.66764247395636,12.475642725367958,97.42545834131792,432.44606986969103,84.00165138012527,19.383579906700053,14.715498285865579,29.075417504081834,3.378731910942258,17.78309682619776,32.89880209030624,117.81352498266463,40.14545119220265,356.36938238695785,1143.2209631973449,301.6340038117638,2775.8518907011808
t23,7.834330906294393e-5,3.8134976337906096e-5,4.041398455019204e-5,4.255425354130611e-5,3.4957748705387175e-5,0.00020911322805319363,0.00010992965795176387,0.00011868888185364942,0.0003086918058924998,0.0002689212808610806,0.0003111962286508639,0.00029077672096352187,0.00027551703844564226,0.0002764044502355744,0.0002702708734359876,2.6981008287241774e-5,4.8345247121519,3.664042481470753,7.277300309238974,0.8141530209172432,4.427406005320717,8.244224174120797,29.465822596270247,10.025413244126458,77.64832937397335,357.99279517868166,69.3274112862089,15.243269011255702,11.572289892944035,22.86492598193949,2.657055899152609,13.984648360870146,25.871633905000813,92.64853774847325,31.570395855714562,277.98669862647387,897.9197319238945,243.57550249004282,2209.6188129736897
t24,5.501931362540034e-5,4.266045658670269e-5,5.315635806325613e-5,6.408487847919292e-5,4.213354211484157e-5,0.00012642677434730935,9.460504655025362e-5,0.0001015846471477756,0.00016906203466542964,0.00015447325998177515,0.00017182746549914332,0.0001563482433497834,0.00015110523683835463,0.00015623746827726813,0.0009308461301763733,3.115536534928743e-5,3.305245764804634,2.505009686092085,4.975309151800419,0.5566121470307295,3.02690400795585,5.636376374870578,20.14507103986436,6.854125411188536,45.98401112607675,247.42416234676634,46.628853159071284,10.517701497068876,7.984759829147439,15.776571559307207,1.8333342544189097,9.649264297558757,17.851172147073616,63.9266024733162,21.78326296568692,191.80759854209228,625.7508614059301,165.26889665228484,1519.1942065656278
t25,8.069315918984887e-5,6.963622175109798e-5,8.338711805546839e-5,7.093050569888481e-5,7.896761046385269e-5,0.0001665762355268212,0.00014170112423878356,0.00015309616293737607,0.0002596841480098992,0.000249746770819866,0.0002587743685427888,0.00024391871244866986,0.0002354223134490571,0.0002302952896631672,0.0002862403416110933,8.211091069478428e-5,1.2536698753747653,0.9500992902302777,1.887229298175473,0.2109732047277377,1.1480843910687397,2.138016508518109,7.642160292702718,2.5999930497910637,16.48952419305634,81.55265049031154,16.57393285182269,2.34956603520517,1.7837191778695713,3.5243728258045257,0.40952420336609013,2.1555615405488098,3.987829099879289,14.280876924419317,4.866241213833463,42.88082856946942,153.2069412670939,34.85464770606629,396.7491331903284
t26,8.813320577930931e-5,7.84892480182699e-5,9.468835829923427e-5,8.400962702949614e-5,8.699145582530832e-5,0.00013652886728264275,0.0001503917245225557,0.00016019842506331467,0.00023876430448341012,0.00023750727824862035,0.00023722931867357688,0.00022193583339097508,0.00021212688521190262,0.00020823233464351004,0.0002445169668522728,0.00013110548942192206,0.5670412074170869,0.42974626156423223,0.8535719798144121,0.09546593214321203,0.5192874840115201,0.9669912905730674,3.456247613706886,1.1759216314367138,9.061592942033071,35.264913145055196,7.20320400588569,1.4788023444756746,1.1226569385213971,2.2182292208152803,0.25773628195725673,1.3566954146376902,2.509930195872623,8.988412900204384,3.0628061065219248,27.01235894644142,87.52038405567782,21.092005416666574,216.2166121647559
t27,0.00012892738070836816,6.72338599810844e-5,8.13490029231044e-5,9.630692348399955e-5,9.767497064876961e-5,0.00013604528985988924,0.0001080760725354884,0.00011320821942297055,0.00014574490000384904,0.00014881726854777924,0.0001479624064697343,0.00013568283443485577,0.00012990535372444636,0.00012618492456527216,0.00024357226529560661,0.00017249600791112456,0.21963867742971252,0.16645331089013043,0.3306347662228475,0.0369632483181578,0.20113955285016855,0.37457153964865164,1.3388680602538579,0.45550725928395264,3.5169201357406097,13.704009748590202,2.7340385008875736,0.6829564498292566,0.5184747476949189,1.0244536583385861,0.11902023658671085,0.6265622341456499,1.1591729087586147,4.151200313434202,1.41451347463461,12.500161748487715,42.84559159179181,9.546393562350325,97.66932491384878
