Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11,Load_MW_z12,Load_MW_z13,Load_MW_z14,Load_MW_z15,Load_MW_z16,Load_MW_z17,Load_MW_z18,Load_MW_z19,Load_MW_z20,Load_MW_z21,Load_MW_z22,Load_MW_z23,Load_MW_z24,Load_MW_z25,Load_MW_z26
,,,,,,,168.0,42,11196,10977,16956,32452,17792,26812,13598,20209,30086,25549,9860,8764,15917,16005,42399,45988,10586,9750,5825,13510,31683,33957,34822,13250,43567,2022
,,,,,,,168.0,43,11537,11210,17318,32306,18983,28055,13957,21973,32429,26122,10690,9489,16844,16075,42111,46400,11287,10533,6338,14789,31780,34404,35397,13755,47069,2192
,,,,,,,168.0,44,12441,11736,18141,30987,18599,27628,13541,23031,31749,27964,10635,9479,16527,15819,40985,45447,12399,10705,6386,15560,31225,33773,34725,14999,50621,2346
,,,,,,,168.0,45,13181,13267,20516,29143,18232,26986,13159,22872,30316,29585,10472,9340,16221,15538,40021,44586,11989,10391,6137,15393,30517,33170,33804,15756,50723,2345
,,,,,,,168.0,46,12738,13237,20472,26973,17730,26517,12800,22646,29391,28736,10255,9142,15962,15026,38471,43365,11343,10151,5993,15265,29294,32331,32618,15418,50778,2349
,,,,,,,168.0,47,12274,12642,19550,24719,16920,25623,12162,22170,28119,27301,9890,8818,15458,14197,36055,41556,11062,9830,5781,14972,28295,31426,31262,14925,50130,2322
,,,,,,,168.0,48,11882,12178,18837,23257,15874,24679,11490,21300,26397,26032,9346,8323,14701,13461,33857,39807,10635,9377,5433,14406,27905,30757,30407,14358,48331,2251
,,,,,,,168.0,49,11334,11478,17755,22687,15781,23909,10944,20613,25219,24435,8780,7790,14003,12999,32550,38602,9990,9021,5141,13842,28405,30561,30342,13479,46564,2183
,,,,,,,168.0,50,10637,10547,16311,22412,15046,23560,10613,20383,24405,22565,8331,7383,13597,12856,31845,37957,9457,8898,4961,13513,28974,30815,30653,12651,45945,2177
,,,,,,,168.0,51,10213,9632,14891,22834,14739,23483,10448,20437,23941,20821,8035,7132,13393,12942,31691,37784,9223,8872,4899,13428,29830,31156,31186,12236,46124,2201
,,,,,,,168.0,52,9911,9055,13994,24120,14692,23544,10391,20707,23813,20252,7909,6997,13292,13193,32118,38006,9119,8889,4888,13511,31099,31790,32294,12070,46792,2243
,,,,,,,,53,9824,8785,13578,27010,14942,23857,10505,21244,24118,20051,7880,6946,13369,13705,33199,38952,9344,9041,4964,13727,33530,33058,34477,12100,47959,2307
,,,,,,,,54,9868,8671,13405,31444,15516,24901,11122,22239,25009,19955,8085,7095,13686,14819,35903,41464,9426,9353,5132,14152,36995,35220,37717,12283,50119,2418
,,,,,,,,55,10032,8726,13490,34444,18731,26918,12432,24010,27161,20456,8963,7696,14601,16146,40810,46380,9460,9965,5528,15171,38939,37410,40329,12863,54445,2631
,,,,,,,,56,10496,9064,14012,35230,23958,28319,13632,25980,30262,21788,10219,8771,16246,16851,43462,48629,9955,10675,6083,16586,38375,37427,40406,13854,60803,2974
,,,,,,,,57,11427,9834,15202,35310,24752,28589,13874,26375,31733,24149,11036,9553,16882,16663,43071,48054,10663,10968,6387,17047,37108,36294,39522,15263,61850,2995
,,,,,,,,58,12290,11142,17239,34916,24037,27994,13921,25591,31367,27775,11138,9752,16720,16391,42495,47416,10885,10752,6292,16627,35807,35227,38546,15508,59149,2837
,,,,,,,,59,12371,11587,17924,34074,23381,27394,14006,24405,31037,28510,11270,9871,16523,16283,42703,47189,10971,10495,6129,16079,34651,34296,37347,15204,55815,2645
,,,,,,,,60,12059,11752,18168,33045,23143,26994,13975,23390,30671,27764,11314,9949,16484,16252,42583,46910,10864,10376,6067,15486,33324,33335,36112,14752,53351,2525
,,,,,,,,61,11888,11832,18274,31911,22864,26489,13990,22364,30417,26344,11380,10019,16217,16209,42523,46683,10865,10064,5960,14914,32493,32191,34998,14272,50364,2358
,,,,,,,,62,11778,12125,18727,30972,22608,26020,13921,21500,30262,26625,11323,9993,16019,16204,42577,46343,10774,9786,5823,14462,31786,31318,34018,14080,48155,2242
,,,,,,,,63,11582,12121,18718,30625,22654,25603,13811,20629,29962,25650,11349,10013,15887,16259,42632,45899,10811,9546,5740,14019,31949,30538,33532,13893,46337,2145
,,,,,,,,64,11429,12112,18703,31803,23004,25262,13706,20134,29559,25074,11475,10093,15636,16653,43512,46135,10738,9335,5667,13636,33393,30732,34243,13742,44909,2071
,,,,,,,,65,11305,12133,18735,36131,24364,25670,13953,20397,29936,24670,11812,10300,15691,17578,46210,47571,10910,9354,5722,13610,36789,32678,36955,13606,44485,2049
,,,,,,,,66,11278,12142,18751,41944,27146,27291,14964,21426,31606,24471,12512,10781,16582,19021,50795,50912,11266,9756,5929,13983,39583,35560,40900,13688,45129,2082
,,,,,,,,67,11543,12163,18788,43384,29592,28775,15271,23305,33611,24908,13397,11543,17683,19144,50524,51599,11843,10533,6315,15062,39380,36362,41778,14125,48461,2246
,,,,,,,,68,12440,12557,19407,43204,30019,28387,14875,24515,32828,26796,13328,11492,17353,18718,49413,50636,12751,10516,6252,15785,38512,35936,41127,15323,51892,2396
,,,,,,,,69,13153,13914,21515,41854,30067,27780,14445,24472,31358,28646,13265,11408,17090,18408,48636,49934,12262,10169,5987,15549,37491,35288,39976,16063,51686,2382
,,,,,,,,70,12828,13779,21308,39946,22982,27173,13795,24287,30291,27937,12146,10614,16830,17769,45728,47976,11569,9938,5759,15399,35617,34351,38150,15755,51362,2371
,,,,,,,,71,12381,13109,20273,37907,21364,26032,12935,23584,28287,26537,11553,10127,16030,16926,43041,45637,11200,9531,5428,14931,34263,33254,36511,15254,50092,2311
,,,,,,,,72,11963,12568,19440,36604,20302,24860,12125,22560,26419,25447,10963,9607,15151,16118,40654,43390,10530,8992,5084,14156,33717,32505,35537,14630,47505,2204
,,,,,,,,73,11375,11791,18237,36413,19682,23813,11436,21690,25331,24324,10305,8992,14208,15688,39282,41954,9907,8515,4991,13423,33754,32282,35285,13644,44966,2103
,,,,,,,,74,10713,10807,16710,36805,18845,23265,11001,21259,24357,22512,9703,8468,13604,15478,38648,41109,9478,8350,4815,12992,34240,32193,35422,12771,43544,2050
,,,,,,,,75,10251,9954,15384,37425,18494,23005,10793,21159,23804,20959,9381,8201,13272,15650,38520,40791,9179,8269,4704,12824,34849,32373,35928,12302,43274,2054
,,,,,,,,76,10022,9424,14560,38869,18403,22909,10687,21205,23610,20231,9216,8037,13054,15875,38789,40979,9171,8225,4705,12793,36044,32905,36881,12155,43377,2068
