Resource,NENG_Rest_hydroelectric_pumped_storage_1,NY_Z_A_hydroelectric_pumped_storage_1,NY_Z_F_hydroelectric_pumped_storage_1,PJM_EMAC_hydroelectric_pumped_storage_1,PJM_Rest_hydroelectric_pumped_storage_1,NENG_Rest_battery_advanced_0,NY_Z_A_battery_advanced_0,NY_Z_B_battery_advanced_0,NY_Z_C&E_battery_advanced_0,NY_Z_D_battery_advanced_0,NY_Z_F_battery_advanced_0,NY_Z_G-I_battery_advanced_0,NY_Z_J_battery_advanced_0,NY_Z_K_battery_advanced_0,PJM_EMAC_battery_advanced_0,PJM_Rest_battery_advanced_0,NENG_Rest_conventional_hydroelectric_1,NY_Z_A_conventional_hydroelectric_1,NY_Z_B_conventional_hydroelectric_1,NY_Z_C&E_conventional_hydroelectric_1,NY_Z_D_conventional_hydroelectric_1,NY_Z_F_conventional_hydroelectric_1,PJM_EMAC_conventional_hydroelectric_1,PJM_Rest_conventional_hydroelectric_1,NY_Z_A_res_water_heat_1,NY_Z_B_res_water_heat_1,NY_Z_C&E_res_water_heat_1,NY_Z_D_res_water_heat_1,NY_Z_F_res_water_heat_1,NY_Z_G-I_res_water_heat_1,NY_Z_J_res_water_heat_1,NY_Z_K_res_water_heat_1,PJM_EMAC_res_water_heat_1,PJM_Rest_res_water_heat_1,NENG_Rest_res_water_heat_1,NY_Z_A_trans_light_duty_1,NY_Z_B_trans_light_duty_1,NY_Z_C&E_trans_light_duty_1,NY_Z_D_trans_light_duty_1,NY_Z_F_trans_light_duty_1,NY_Z_G-I_trans_light_duty_1,NY_Z_J_trans_light_duty_1,NY_Z_K_trans_light_duty_1,PJM_EMAC_trans_light_duty_1,PJM_Rest_trans_light_duty_1,NENG_Rest_trans_light_duty_1,Total
t201,23814.458058992852,2872.0845931345702,13271.650634804508,16241.445118483703,38647.9349954811,884.0808256869333,870.5138919014739,877.6670638354376,885.8651076029514,903.616663287766,876.2735114044235,861.0530651850182,868.9254419789983,889.7726847433922,1529.2964596051552,1874.6768556225388,630.1044980098923,1799.0409607805004,0.0,34.28313152189537,839.8878229114129,155.9320199066349,324.4938870556139,797.4501254441548,4.108144863917009,3.1423750039430707,6.133423264377941,0.7313366524554272,3.745844616541342,7.146321528329759,25.55880606447507,8.435158074736743,54.55073485900314,234.7313849919486,45.258088941009476,10.717185883077192,8.058268518124429,16.162886190290273,1.7973161833569318,9.764599769982864,18.606033225658372,62.90903146800181,22.123007442898498,100.88037813268824,346.8023827399826,115.07902805215818,111856.9491538479
t202,23980.409531762416,2969.225745966323,14059.8835513654,16680.687697577803,41224.963026152225,894.9153577075855,1059.4919993279918,1071.5341813532405,1086.8624624130587,1131.123895752054,1078.4068714103132,1050.78769965766,1040.1049646002773,883.2081295651293,1502.7542360150492,2043.7228667428587,633.0328339551261,2130.7146534703925,0.0,34.440378890042695,905.0648637776818,160.3802383044878,324.9109580919444,826.8010123439423,3.871201919055224,2.969318400212122,5.673456121809528,0.6931295988384851,3.5207372632105276,6.437305010442623,20.953165843188742,7.882212831292516,53.6540093551233,142.613900994031,45.66666469902166,12.872192672961402,9.74165042637357,19.023751283417596,2.1971180247563367,11.746020499137817,21.39668821934669,53.76988667642029,26.94803133022549,147.2899256676648,130.86055065545,147.3987280160282,117650.60680171098
t203,24032.44689541688,3034.5581825041663,14685.959363798782,17164.6859857771,43947.46162903056,866.4142033024747,1051.265475285152,1060.6936473776277,1080.7139682897323,1132.2543856370903,1070.9303931388836,1051.7851031739467,1041.622867192662,873.9162714898938,1484.8059177291539,2085.7527071667637,633.6917065924907,2352.490230429333,0.0,34.539124711684025,955.6174896134603,163.12438229271842,326.66956369768053,856.3418576532109,3.3429735676942975,2.5586340981354043,4.881190241192807,0.5924486435933862,3.0437194158568186,5.430376346849742,17.43706349163822,6.735471420310636,45.410495122738475,125.07089269276555,40.77980105291523,15.403156517331734,11.67192630897414,22.704455773478887,2.6550439534904333,14.111969253503164,25.179510886377507,58.37067850687547,32.2001076225284,209.0566409170581,154.3755850981723,194.9332601531992,121983.68675238611
t204,24063.633153075054,3075.35953833786,15012.208192797189,17513.08526041594,44918.833126071695,844.2097792962,1018.3273429385645,1026.2173767010227,1041.1484086757116,1089.417224339253,1025.9604632933565,996.9020634353684,976.7086147345311,878.4491720733067,1485.9708393292237,2049.449388714511,636.2707893390789,2460.2137916146457,0.0,34.55919962523193,987.2253028491593,164.29760708786813,328.08464392250596,884.531212589755,3.012569420352033,2.2816159672699152,4.443994757614353,0.5086635263242374,2.7586295373616525,4.925671108559439,16.613931217602527,6.082721906894416,41.61012038623084,129.74933944575162,38.12317253156087,18.833283028875716,14.254674392603999,27.84514532286063,3.2295133252596466,17.35140968343082,31.14577364848175,83.0687544305735,38.928834927015764,247.54174453234037,195.53499269030968,249.6042066513458,123688.51125369569
t205,24102.162049104805,3122.361582105158,15401.450919092797,17816.740841671697,45027.23531025854,840.3453807800585,990.5361920906595,994.6153941592075,1028.074290298534,1079.59456139561,1010.6346362854366,981.7913257334874,952.1906010376975,875.7054411600486,1470.4249498547108,1959.3091287013453,638.1113487287247,2532.125946777729,0.0,34.608832153040254,1009.3979775862884,166.30139645818164,329.7596855984438,912.7360359086181,2.4091492222110933,1.791505098550521,3.598547295112821,0.366731229827948,2.1844749943717305,3.9881970205480153,13.684470930066796,4.899452369435535,32.950162741704965,132.46514974776065,30.324946511717297,22.579081932499676,17.133215357481465,33.08846389716271,3.856803787806606,20.74511405430778,37.064265469154655,101.56501040040138,45.880346785980635,291.5725830247463,516.421022705306,291.3596859568426,124886.14220747381
t206,24124.891186266617,3139.919668651644,15492.755895946442,18037.069849456308,45106.0199502408,835.1235111026426,974.1262325229945,981.2330698541284,1018.7905808168782,1071.10154987799,1001.092768602863,966.5335154588349,927.0039761615393,871.8801907208369,1461.0129676553927,1871.5596996760844,640.5568497186986,2563.6833223447625,0.0,34.80791159147583,1021.3053542264261,167.74383813784354,331.43409484042536,940.7871689095969,2.138372538502431,1.6356191034507723,3.1322030137742725,0.36764773076368656,1.9528738706771973,3.450067380265496,11.92186574704061,4.198219026262546,28.740480909572756,136.50999939272072,26.444425704686907,24.201539198729474,18.54301371239213,35.03340976176138,4.394929702523958,22.198088558400798,39.183030260866836,115.37946157117595,47.914724649568115,285.2032919440067,866.2543064811896,288.49068728689684,125547.72141032647
t207,24149.586362534927,3147.8597349640468,15518.989664291734,18177.64764932471,45225.71521437653,841.8188254149582,947.5470391948029,950.7913382917753,1005.6228028251677,1061.096161941004,988.5266715549706,961.4543635214842,913.4305943556801,882.2783356599068,1508.5136951495224,1827.190029199406,641.8706963472902,2587.283684490946,0.0,35.02898260246318,1027.1943739432786,169.54249519068657,332.8960347150259,968.46751040569,1.8048768517402258,1.4189113181937676,2.5812416121621045,0.333443925314209,1.6424232036868212,2.858832837352591,9.938352040028397,3.4096310675721164,25.014742631178294,120.35526651209089,22.599145409161657,25.57801628379994,19.836837687530966,36.64948846543828,4.868514845271822,23.389757067163956,40.72927870982954,122.48362822019419,48.712530790997356,252.00596206267127,972.5206903464081,258.8716313464794,125867.95546353029
t208,24157.18525317629,3155.5013289589656,15532.17302974315,18233.643631020208,45263.54182789528,867.0382961947965,991.9688149465669,1002.0253549921309,1030.0257656952817,1077.2827752174258,1013.9255106734788,987.096422781188,939.3683987943951,909.6867520263156,1538.3835758969674,1855.4353667520888,643.0558545667388,2633.342888136741,0.0,35.27262658172579,1031.4489479917768,171.7185084799483,334.15768744528157,996.8387525734578,1.9137582379823455,1.5340786818453294,2.715646521145138,0.38913258359262126,1.774808845294861,2.987918874444723,10.444574997141082,3.5859266033569006,26.62891235544748,129.63753958058973,24.231960344168357,29.397795304208074,22.920985393262903,41.971477640951605,5.897499940076177,27.0742841041057,46.56581216725671,133.29186373611117,54.17945328363813,145.5791802296835,989.6506813410673,225.10080042672556,126327.5914617323
t209,24147.0134354201,3153.2961750727463,15526.770013475396,18239.306266242336,45308.30914593087,889.2886573666453,987.1944893313782,998.8425824867816,1040.4350032281257,1095.4877311208204,1029.2525380908573,1004.1187046344719,952.0583273790943,924.1104037694247,1558.4958078466032,1910.0287648773253,643.8935162387311,2706.770557512633,0.0,35.507908077448214,1033.7631935889474,173.5540484858277,334.2449571009405,1025.3282977269105,1.9177185820115241,1.6048048339253005,2.607622667674732,0.43944567134842466,1.7923541939018557,2.735818167964246,9.711778995397065,3.3780023883908608,24.748632128538176,117.98524695859977,22.451819154690444,37.0878563744949,29.278819057422673,52.222840879463966,7.751929423547053,34.32326716327721,58.366504241102525,143.68451916044623,67.41690395788336,133.92768587074966,774.080019859281,215.72099516703102,126460.30510990156
t210,24012.62305389225,3150.927181127457,15462.293094517447,18096.429077295397,45347.94756616438,915.6047228255161,1036.7508612661813,1047.7373870566314,1095.7725004848503,1155.0968674226335,1081.2601472412634,1026.424356807056,974.5386300891305,932.9457367089896,1542.9816046040357,2078.8270972917035,638.5252599560057,2716.331259015444,0.0,35.60988964370806,1024.5680966870812,173.71586423308113,331.53658484731864,1054.9333561100336,1.8134018051499678,1.4764784408402634,2.5157339110688204,0.3959310937995733,1.6728567392856037,2.612866181078915,9.460048362565031,3.3275979035655814,23.888682611821434,66.57730529092802,21.348010707799798,49.788748858285935,39.316331254073866,69.72577572800641,10.206007181083297,46.509474526497485,80.46688127895507,197.54881241333717,97.0338436884217,579.7299904519256,260.3454660435336,475.6297128450242,126974.77015260467
