Zone,value,zone,planning_year,model,agg_zone,case
18,2.1360722465656266,SPPC,2030,SWITCH,SPP,full-base-200
19,2.066094476617629,SPPN,2030,SWITCH,SPP,full-base-200
20,2.1389489279867626,SPPS,2030,SWITCH,SPP,full-base-200
21,2.1223889964575324,SRCA,2030,SWITCH,SOU,full-base-200
22,2.144971421174541,SRCE,2030,SWITCH,MISO,full-base-200
23,2.1485683314424406,SRSE,2030,SWITCH,SOU,full-base-200
24,2.08806891443406,SRSG,2030,SWITCH,WECC,full-base-200
25,2.213472865835082,TRE,2030,SWITCH,TRE,full-base-200
26,2.137381028877202,TREW,2030,SWITCH,TRE,full-base-200
1,1.2867259109330773,BASN,2035,SWITCH,WECC,full-base-200
2,1.2818576264905346,CANO,2035,SWITCH,CA,full-base-200
3,1.3005029469903655,CASO,2035,SWITCH,CA,full-base-200
4,1.3350087335036722,FRCC,2035,SWITCH,SOU,full-base-200
5,47606.47692805821,ISNE,2035,SWITCH,NE,full-base-200
6,1.3039458595046092,MISC,2035,SWITCH,MISO,full-base-200
7,1.3897519972849992,MISE,2035,SWITCH,MISO,full-base-200
8,1.302626128108466,MISS,2035,SWITCH,MISO,full-base-200
9,1.3186986447937403,MISW,2035,SWITCH,MISO,full-base-200
10,1.2827728100542457,NWPP,2035,SWITCH,WECC,full-base-200
11,90.10287369242609,NYCW,2035,SWITCH,NE,full-base-200
12,1.3562846670423527,NYUP,2035,SWITCH,NE,full-base-200
13,1.3345088010057773,PJMC,2035,SWITCH,PJM,full-base-200
14,1.3461634712305963,PJMD,2035,SWITCH,PJM,full-base-200
15,1.3377843747772171,PJME,2035,SWITCH,PJM,full-base-200
16,1.2762064631672825,PJMW,2035,SWITCH,PJM,full-base-200
17,1.2805184620655854,RMRG,2035,SWITCH,WECC,full-base-200
18,1.3529701371255656,SPPC,2035,SWITCH,SPP,full-base-200
19,1.3290753632786734,SPPN,2035,SWITCH,SPP,full-base-200
20,1.3068877883273595,SPPS,2035,SWITCH,SPP,full-base-200
21,1.2858104202741514,SRCA,2035,SWITCH,SOU,full-base-200
22,1.3075831211839404,SRCE,2035,SWITCH,MISO,full-base-200
23,1.2819035282583089,SRSE,2035,SWITCH,SOU,full-base-200
24,1.297359407612857,SRSG,2035,SWITCH,WECC,full-base-200
25,1.312776232956279,TRE,2035,SWITCH,TRE,full-base-200
26,1.3683275592999986,TREW,2035,SWITCH,TRE,full-base-200
1,5.482514548034702,BASN,2040,SWITCH,WECC,full-base-200
2,5.674305552686932,CANO,2040,SWITCH,CA,full-base-200
3,5.8442446408128985,CASO,2040,SWITCH,CA,full-base-200
4,6.427935241600237,FRCC,2040,SWITCH,SOU,full-base-200
5,77829.87329087539,ISNE,2040,SWITCH,NE,full-base-200
6,5.74712893462205,MISC,2040,SWITCH,MISO,full-base-200
7,6.180744601826526,MISE,2040,SWITCH,MISO,full-base-200
8,5.847257582397936,MISS,2040,SWITCH,MISO,full-base-200
9,5.880000420815302,MISW,2040,SWITCH,MISO,full-base-200
10,1639.1356577195784,NWPP,2040,SWITCH,WECC,full-base-200
11,5.718585598609677,NYCW,2040,SWITCH,NE,full-base-200
12,5.530638610528251,NYUP,2040,SWITCH,NE,full-base-200
13,5.693207552628111,PJMC,2040,SWITCH,PJM,full-base-200
14,5.543223762799938,PJMD,2040,SWITCH,PJM,full-base-200
15,5.843563198344453,PJME,2040,SWITCH,PJM,full-base-200
16,5.782082366730231,PJMW,2040,SWITCH,PJM,full-base-200
17,5.335429042114569,RMRG,2040,SWITCH,WECC,full-base-200
18,5.505505765965315,SPPC,2040,SWITCH,SPP,full-base-200
19,5.302016852342475,SPPN,2040,SWITCH,SPP,full-base-200
20,5.520517885832522,SPPS,2040,SWITCH,SPP,full-base-200
21,6.0174738513045565,SRCA,2040,SWITCH,SOU,full-base-200
22,5.851468980146899,SRCE,2040,SWITCH,MISO,full-base-200
23,6.098154233386712,SRSE,2040,SWITCH,SOU,full-base-200
24,5.648939296148189,SRSG,2040,SWITCH,WECC,full-base-200
25,6.306114253847326,TRE,2040,SWITCH,TRE,full-base-200
