case,tech_type,planning_year,agg_zone,value,min,max
full-base-200,Distributed Solar,2040,PJM,34694635.5,34019100.0,35136506.0
full-base-200,Distributed Solar,2040,SOU,28073120.0,27802348.0,28533330.0
full-base-200,Distributed Solar,2040,SPP,7765597.75,7235985.0,8877637.0
full-base-200,Distributed Solar,2040,TRE,17469937.5,16935636.0,18408650.0
full-base-200,Distributed Solar,2040,WECC,19608788.75,18215050.0,21388934.0
full-base-200,Distributed Solar,2045,CA,35912995.5,34819200.0,36491822.0
full-base-200,Distributed Solar,2045,MISO,32622645.0,30120460.0,34019234.0
full-base-200,Distributed Solar,2045,NE,15130176.5,14742840.0,15525691.0
full-base-200,Distributed Solar,2045,PJM,36145720.75,35580070.0,36556593.0
full-base-200,Distributed Solar,2045,SOU,28849060.75,28420001.0,29668700.0
full-base-200,Distributed Solar,2045,SPP,8966061.5,8417030.0,10097076.0
full-base-200,Distributed Solar,2045,TRE,18107182.0,16722521.0,19351074.0
full-base-200,Distributed Solar,2045,WECC,19612864.5,18531300.0,21193787.0
full-base-200,Distributed Solar,2050,CA,35782214.5,34759600.0,36441056.0
full-base-200,Distributed Solar,2050,MISO,36932924.25,33933620.0,38294736.0
full-base-200,Distributed Solar,2050,NE,15848662.75,15361870.0,16302643.0
full-base-200,Distributed Solar,2050,PJM,37789277.25,37002450.0,38271613.0
full-base-200,Distributed Solar,2050,SOU,31992319.25,31560941.0,32685380.0
full-base-200,Distributed Solar,2050,SPP,10720195.75,9908500.0,11797035.0
full-base-200,Distributed Solar,2050,TRE,20004699.75,18789916.0,21096004.0
full-base-200,Distributed Solar,2050,WECC,20524789.25,19285340.0,21843582.0
full-base-200,Geothermal,2027,CA,207338.5,205894.0,209664.0
full-base-200,Geothermal,2027,WECC,6021899.25,5691070.0,7005116.0
full-base-200,Geothermal,2030,CA,188874.75,169327.0,209664.0
full-base-200,Geothermal,2030,WECC,5165718.5,4674327.0,6035038.0
full-base-200,Geothermal,2035,CA,185451.25,176180.0,209664.0
full-base-200,Geothermal,2035,WECC,4802488.0,4318974.0,5613555.0
full-base-200,Geothermal,2040,CA,184800.0,172253.0,209664.0
full-base-200,Geothermal,2040,WECC,2894464.75,2699193.0,3267264.0
full-base-200,Geothermal,2045,CA,189779.25,177304.0,209664.0
full-base-200,Geothermal,2045,WECC,1519300.5,1385615.0,1686048.0
full-base-200,Geothermal,2050,CA,190816.0,178453.0,209664.0
full-base-200,Geothermal,2050,WECC,479529.25,174343.0,663936.0
full-base-200,Hydro,2027,CA,24280699.75,24197591.0,24405816.0
full-base-200,Hydro,2027,MISO,22979555.25,21158932.0,23746380.0
full-base-200,Hydro,2027,NE,27012493.75,23904787.0,28166029.0
full-base-200,Hydro,2027,PJM,10680077.5,10263063.0,10912428.0
full-base-200,Hydro,2027,SOU,7909044.0,7899068.0,7922836.0
full-base-200,Hydro,2027,SPP,13928964.5,13687314.0,14201288.0
full-base-200,Hydro,2027,TRE,551804.25,518562.0,564639.0
full-base-200,Hydro,2027,WECC,160416382.75,148819299.0,164296155.0
full-base-200,Hydro,2030,CA,30890627.25,30251140.0,32366033.0
full-base-200,Hydro,2030,MISO,29561998.25,28541511.0,30057681.0
full-base-200,Hydro,2030,NE,30013910.5,27517770.0,31020122.0
full-base-200,Hydro,2030,PJM,17687819.75,17341982.0,18247855.0
full-base-200,Hydro,2030,SOU,16238885.0,15794094.0,17272419.0
full-base-200,Hydro,2030,SPP,13638993.0,13412301.0,14033718.0
full-base-200,Hydro,2030,TRE,514661.5,493911.0,523692.0
full-base-200,Hydro,2030,WECC,158814735.0,148058670.0,163169603.0
full-base-200,Hydro,2035,CA,32543243.0,31890798.0,34168135.0
