Region,Resource,Zone,Cluster,AnnualSum
NY_Z_J,NY_Z_J_naturalgas_ccs100_moderate_0,8,0,0.018983982713442153
NY_Z_K,NY_Z_K_naturalgas_ccavgcf_moderate_0,9,0,0.048677343503288555
NY_Z_K,NY_Z_K_naturalgas_ctavgcf_moderate_0,9,0,0.023624564785822817
NY_Z_K,NY_Z_K_nuclear_nuclear_moderate_0,9,0,0.013371957802613348
NY_Z_K,NY_Z_K_naturalgas_ccs100_moderate_0,9,0,0.016188413623804482
PJM_EMAC,PJM_EMAC_naturalgas_ccavgcf_moderate_0,10,0,0.043750722963079886
PJM_EMAC,PJM_EMAC_naturalgas_ctavgcf_moderate_0,10,0,0.03208512660086397
PJM_EMAC,PJM_EMAC_nuclear_nuclear_moderate_0,10,0,0.015277785637383159
PJM_EMAC,PJM_EMAC_naturalgas_ccs100_moderate_0,10,0,0.023931076658295088
PJM_Rest,PJM_Rest_naturalgas_ccccsavgcf_moderate_0,11,0,0.020433033359152593
PJM_Rest,PJM_Rest_naturalgas_ccavgcf_moderate_0,11,0,0.22453151949513275
PJM_Rest,PJM_Rest_naturalgas_ctavgcf_moderate_0,11,0,139233.45250375406
PJM_Rest,PJM_Rest_nuclear_nuclear_moderate_0,11,0,0.023307014264102095
PJM_Rest,PJM_Rest_naturalgas_ccs100_moderate_0,11,0,0.026661258381658528
NENG_Rest,NENG_Rest_offshore_wind_turbine_1,1,1,0.0
NENG_Rest,NENG_Rest_onshore_wind_turbine_1,1,1,220201.10025133417
NENG_Rest,NENG_Rest_solar_photovoltaic_1,1,1,0.0033622526212554018
NY_Z_A,NY_Z_A_onshore_wind_turbine_1,2,1,0.02293364418089617
NY_Z_A,NY_Z_A_solar_photovoltaic_1,2,1,0.0006899142412518281
NY_Z_B,NY_Z_B_onshore_wind_turbine_1,3,1,0.0
NY_Z_B,NY_Z_B_solar_photovoltaic_1,3,1,0.0004098090420702764
NY_Z_C&E,NY_Z_C&E_onshore_wind_turbine_1,4,1,0.007714020199733058
NY_Z_C&E,NY_Z_C&E_solar_photovoltaic_1,4,1,0.00023281663019292137
NY_Z_D,NY_Z_D_onshore_wind_turbine_1,5,1,151875.20248147217
NY_Z_D,NY_Z_D_solar_photovoltaic_1,5,1,121.6680565382433
NY_Z_F,NY_Z_F_solar_photovoltaic_1,6,1,0.0009772330336614479
NY_Z_G-I,NY_Z_G-I_solar_photovoltaic_1,7,1,0.005397418620050034
PJM_EMAC,PJM_EMAC_solar_photovoltaic_1,10,1,0.0004264769761327458
PJM_Rest,PJM_Rest_onshore_wind_turbine_1,11,1,2.228968995975545e6
PJM_Rest,PJM_Rest_solar_photovoltaic_1,11,1,0.0027933933169012348
NENG_Rest,NENG_Rest_offshorewind_class3_advanced_fixed_1_0,1,0,0.0024075004002318138
NENG_Rest,NENG_Rest_offshorewind_class3_advanced_fixed_1_1,1,1,0.031083864624291777
NENG_Rest,NENG_Rest_offshorewind_class3_advanced_fixed_1_2,1,2,0.007027982351587993
NENG_Rest,NENG_Rest_offshorewind_class3_advanced_fixed_1_3,1,3,0.00366358750847712
NENG_Rest,NENG_Rest_offshorewind_class3_advanced_fixed_1_4,1,4,1.416012856736969e6
NENG_Rest,NENG_Rest_offshorewind_class3_advanced_fixed_1_5,1,5,202750.67947894664
NENG_Rest,NENG_Rest_offshorewind_class3_advanced_fixed_0_0,1,0,460076.0200739901
NENG_Rest,NENG_Rest_offshorewind_class3_advanced_fixed_0_1,1,1,549862.2525188026
NENG_Rest,NENG_Rest_offshorewind_class3_advanced_fixed_0_2,1,2,0.016807093653802847
NENG_Rest,NENG_Rest_offshorewind_class3_advanced_fixed_0_3,1,3,0.011410128551848421
NENG_Rest,NENG_Rest_offshorewind_class3_advanced_fixed_0_4,1,4,0.007848850930917485
NENG_Rest,NENG_Rest_offshorewind_class3_advanced_fixed_0_5,1,5,0.10149919750700463
NENG_Rest,NENG_Rest_offshorewind_class12_advanced_floating_0_0,1,0,0.00243797609666449
NENG_Rest,NENG_Rest_offshorewind_class12_advanced_floating_0_1,1,1,0.003607738440314559
NENG_Rest,NENG_Rest_offshorewind_class12_advanced_floating_0_2,1,2,0.004625030369898747
NENG_Rest,NENG_Rest_offshorewind_class12_advanced_floating_0_3,1,3,0.004582272864285278
NENG_Rest,NENG_Rest_offshorewind_class12_advanced_floating_0_4,1,4,0.002134987335058184
NENG_Rest,NENG_Rest_offshorewind_class12_advanced_floating_0_5,1,5,0.0016815380342160673
NENG_Rest,NENG_Rest_offshorewind_class12_advanced_floating_1_0,1,0,0.002528645396828643
NENG_Rest,NENG_Rest_offshorewind_class12_advanced_floating_1_1,1,1,0.0034355958721412226
NENG_Rest,NENG_Rest_offshorewind_class12_advanced_floating_1_2,1,2,0.004625458791145656
NENG_Rest,NENG_Rest_offshorewind_class12_advanced_floating_1_3,1,3,0.001436105860655463
NENG_Rest,NENG_Rest_offshorewind_class12_advanced_floating_1_4,1,4,0.003088843022298557
NENG_Rest,NENG_Rest_offshorewind_class12_advanced_floating_1_5,1,5,0.0027658728699696466
NENG_Rest,NENG_Rest_landbasedwind_class1_advanced_1,1,1,0.006465380743043296
NENG_Rest,NENG_Rest_landbasedwind_class1_advanced_2,1,2,4.0200945010367404e6
NENG_Rest,NENG_Rest_landbasedwind_class1_advanced_3,1,3,17683.685316540326
NENG_Rest,NENG_Rest_landbasedwind_class1_advanced_4,1,4,0.0038134526947575255
NENG_Rest,NENG_Rest_landbasedwind_class1_advanced_5,1,5,0.0023646842714792364
NENG_Rest,NENG_Rest_landbasedwind_class1_advanced_6,1,6,0.002140476897699379
NENG_Rest,NENG_Rest_utilitypv_class1_advanced_1,1,1,0.0018048326237074888
NENG_Rest,NENG_Rest_utilitypv_class1_advanced_2,1,2,0.000499710448783929
NENG_Rest,NENG_Rest_utilitypv_class1_advanced_3,1,3,0.0005567659457385424
NENG_Rest,NENG_Rest_utilitypv_class1_advanced_4,1,4,0.000603189575072337
NENG_Rest,NENG_Rest_utilitypv_class1_advanced_5,1,5,1.0596179610719574e6
NENG_Rest,NENG_Rest_utilitypv_class1_advanced_6,1,6,0.0013768457232511638
NY_Z_A,NY_Z_A_landbasedwind_class1_advanced_1,2,1,0.0032958351652415856
NY_Z_A,NY_Z_A_landbasedwind_class1_advanced_2,2,2,0.015147965885938048
NY_Z_A,NY_Z_A_landbasedwind_class1_advanced_3,2,3,0.003421754044435746
NY_Z_A,NY_Z_A_landbasedwind_class1_advanced_4,2,4,0.011545562774556038
NY_Z_A,NY_Z_A_landbasedwind_class1_advanced_5,2,5,0.0013799282824463013
NY_Z_A,NY_Z_A_landbasedwind_class1_advanced_6,2,6,0.014088251578629304
NY_Z_A,NY_Z_A_utilitypv_class1_advanced_1,2,1,0.0005942956852954242
NY_Z_A,NY_Z_A_utilitypv_class1_advanced_2,2,2,0.0007974120868378432
NY_Z_A,NY_Z_A_utilitypv_class1_advanced_3,2,3,0.0003343419048890297
NY_Z_A,NY_Z_A_utilitypv_class1_advanced_4,2,4,0.0003414926958447386
NY_Z_A,NY_Z_A_utilitypv_class1_advanced_5,2,5,0.0002409450531585259
NY_Z_A,NY_Z_A_utilitypv_class1_advanced_6,2,6,0.000514245712513264
NY_Z_B,NY_Z_B_landbasedwind_class1_advanced_1,3,1,0.008407703059932218
NY_Z_B,NY_Z_B_landbasedwind_class1_advanced_2,3,2,202841.9150875922
NY_Z_B,NY_Z_B_landbasedwind_class1_advanced_3,3,3,0.004235403682469558
NY_Z_B,NY_Z_B_landbasedwind_class1_advanced_4,3,4,0.012169028669726781
NY_Z_B,NY_Z_B_landbasedwind_class1_advanced_5,3,5,0.0010655863752593833
NY_Z_B,NY_Z_B_landbasedwind_class1_advanced_6,3,6,0.007401716342684258
NY_Z_B,NY_Z_B_utilitypv_class1_advanced_1,3,1,0.0069466977197035085
NY_Z_B,NY_Z_B_utilitypv_class1_advanced_2,3,2,0.00026838719951467255
NY_Z_B,NY_Z_B_utilitypv_class1_advanced_3,3,3,0.0007710822307800229
NY_Z_B,NY_Z_B_utilitypv_class1_advanced_4,3,4,0.00095015673386604
NY_Z_B,NY_Z_B_utilitypv_class1_advanced_5,3,5,0.00028442594230749385
NY_Z_B,NY_Z_B_utilitypv_class1_advanced_6,3,6,329964.76289176266
NY_Z_C&E,NY_Z_C&E_landbasedwind_class1_advanced_1,4,1,0.03590345127937622
NY_Z_C&E,NY_Z_C&E_landbasedwind_class1_advanced_2,4,2,373774.3390683034
NY_Z_C&E,NY_Z_C&E_landbasedwind_class1_advanced_3,4,3,0.0022453218394333247
NY_Z_C&E,NY_Z_C&E_landbasedwind_class1_advanced_4,4,4,0.0024694861391926348
NY_Z_C&E,NY_Z_C&E_landbasedwind_class1_advanced_5,4,5,0.0037495170595223722
NY_Z_C&E,NY_Z_C&E_landbasedwind_class1_advanced_6,4,6,0.01134503294813174
NY_Z_C&E,NY_Z_C&E_utilitypv_class1_advanced_1,4,1,0.00028602245137425506
NY_Z_C&E,NY_Z_C&E_utilitypv_class1_advanced_2,4,2,0.0002876315912949326
NY_Z_C&E,NY_Z_C&E_utilitypv_class1_advanced_3,4,3,1.6929924935351405e6
NY_Z_C&E,NY_Z_C&E_utilitypv_class1_advanced_4,4,4,0.0004361340220752057
NY_Z_C&E,NY_Z_C&E_utilitypv_class1_advanced_5,4,5,0.0032136617256543205
NY_Z_C&E,NY_Z_C&E_utilitypv_class1_advanced_6,4,6,0.00020240577370257576
