model,line_name,planning_year,case,unit,value
SWITCH,CANO_to_CASO,2040,current_policies_20_week,MW,0.0
SWITCH,CANO_to_NWPP,2040,current_policies_20_week,MW,0.0
SWITCH,TREW_to_TRE,2040,current_policies_20_week,MW,0.0
SWITCH,TREW_to_SPPS,2040,current_policies_20_week,MW,1329.0
SWITCH,SPPC_to_SPPS,2040,current_policies_20_week,MW,0.0
SWITCH,SPPC_to_MISS,2040,current_policies_20_week,MW,1405.0
SWITCH,SPPC_to_SPPN,2040,current_policies_20_week,MW,0.0
SWITCH,SPPC_to_MISW,2040,current_policies_20_week,MW,0.0
SWITCH,FRCC_to_SRSE,2040,current_policies_20_week,MW,0.0
SWITCH,TRE_to_SPPS,2040,current_policies_20_week,MW,2042.0
SWITCH,SRCA_to_PJMW,2040,current_policies_20_week,MW,0.0
SWITCH,SRCA_to_SRCE,2040,current_policies_20_week,MW,0.0
SWITCH,SRCA_to_PJMD,2040,current_policies_20_week,MW,0.0
SWITCH,SRCA_to_SRSE,2040,current_policies_20_week,MW,0.0
SWITCH,NYUP_to_NYCW,2040,current_policies_20_week,MW,355.0
SWITCH,PJMW_to_SRCE,2040,current_policies_20_week,MW,0.0
SWITCH,PJMW_to_PJMD,2040,current_policies_20_week,MW,0.0
SWITCH,BASN_to_RMRG,2040,current_policies_20_week,MW,1.0
SWITCH,BASN_to_CASO,2040,current_policies_20_week,MW,0.0
SWITCH,BASN_to_NWPP,2040,current_policies_20_week,MW,0.0
SWITCH,BASN_to_SRSG,2040,current_policies_20_week,MW,0.0
SWITCH,SRCE_to_MISS,2040,current_policies_20_week,MW,0.0
SWITCH,SRCE_to_SRSE,2040,current_policies_20_week,MW,0.0
SWITCH,SPPS_to_MISS,2040,current_policies_20_week,MW,3079.0
SWITCH,SPPS_to_SRSG,2040,current_policies_20_week,MW,4506.0
SWITCH,SPPS_to_SPPN,2040,current_policies_20_week,MW,2181.0
SWITCH,RMRG_to_NWPP,2040,current_policies_20_week,MW,817.0
SWITCH,RMRG_to_SRSG,2040,current_policies_20_week,MW,826.0
SWITCH,MISS_to_SRSE,2040,current_policies_20_week,MW,2282.0
SWITCH,CASO_to_NWPP,2040,current_policies_20_week,MW,0.0
SWITCH,CASO_to_SRSG,2040,current_policies_20_week,MW,0.0
SWITCH,SPPN_to_MISW,2040,current_policies_20_week,MW,0.0
SWITCH,NWPP_to_SPPN,2040,current_policies_20_week,MW,2.0
SWITCH,NWPP_to_MISW,2040,current_policies_20_week,MW,0.0
SWITCH,RMRG_to_SPPN,2040,current_policies_20_week,MW,3431.0
SWITCH,RMRG_to_SPPC,2040,current_policies_20_week,MW,2659.0
SWITCH,SRSG_to_TRE,2040,current_policies_20_week,MW,1652.0
SWITCH,PJMC_to_MISC,2045,current_policies_20_week,MW,0.0
SWITCH,PJMC_to_PJMW,2045,current_policies_20_week,MW,1316.0
SWITCH,PJMC_to_MISW,2045,current_policies_20_week,MW,0.0
SWITCH,PJME_to_NYUP,2045,current_policies_20_week,MW,3772.0
SWITCH,PJME_to_PJMW,2045,current_policies_20_week,MW,0.0
SWITCH,PJME_to_NYCW,2045,current_policies_20_week,MW,0.0
SWITCH,PJME_to_PJMD,2045,current_policies_20_week,MW,0.0
SWITCH,MISE_to_MISC,2045,current_policies_20_week,MW,358.0
SWITCH,MISE_to_PJMW,2045,current_policies_20_week,MW,0.0
SWITCH,MISE_to_MISW,2045,current_policies_20_week,MW,0.0
SWITCH,ISNE_to_NYUP,2045,current_policies_20_week,MW,83.0
SWITCH,ISNE_to_NYCW,2045,current_policies_20_week,MW,0.0
SWITCH,MISC_to_SPPC,2045,current_policies_20_week,MW,1.0
SWITCH,MISC_to_PJMW,2045,current_policies_20_week,MW,0.0
SWITCH,MISC_to_SRCE,2045,current_policies_20_week,MW,0.0
SWITCH,MISC_to_SPPS,2045,current_policies_20_week,MW,0.0
SWITCH,MISC_to_MISS,2045,current_policies_20_week,MW,0.0
SWITCH,MISC_to_SPPN,2045,current_policies_20_week,MW,0.0
SWITCH,MISC_to_MISW,2045,current_policies_20_week,MW,0.0
SWITCH,CANO_to_BASN,2045,current_policies_20_week,MW,0.0
SWITCH,CANO_to_CASO,2045,current_policies_20_week,MW,0.0
SWITCH,CANO_to_NWPP,2045,current_policies_20_week,MW,0.0
SWITCH,TREW_to_TRE,2045,current_policies_20_week,MW,0.0
SWITCH,TREW_to_SPPS,2045,current_policies_20_week,MW,36.0
SWITCH,SPPC_to_SPPS,2045,current_policies_20_week,MW,0.0
SWITCH,SPPC_to_MISS,2045,current_policies_20_week,MW,0.0
SWITCH,SPPC_to_SPPN,2045,current_policies_20_week,MW,0.0
SWITCH,SPPC_to_MISW,2045,current_policies_20_week,MW,0.0
SWITCH,FRCC_to_SRSE,2045,current_policies_20_week,MW,0.0
SWITCH,TRE_to_SPPS,2045,current_policies_20_week,MW,0.0
SWITCH,SRCA_to_PJMW,2045,current_policies_20_week,MW,0.0
SWITCH,SRCA_to_SRCE,2045,current_policies_20_week,MW,0.0
SWITCH,SRCA_to_PJMD,2045,current_policies_20_week,MW,335.0
SWITCH,SRCA_to_SRSE,2045,current_policies_20_week,MW,0.0
SWITCH,NYUP_to_NYCW,2045,current_policies_20_week,MW,0.0
SWITCH,PJMW_to_SRCE,2045,current_policies_20_week,MW,0.0
SWITCH,PJMW_to_PJMD,2045,current_policies_20_week,MW,0.0
SWITCH,BASN_to_RMRG,2045,current_policies_20_week,MW,0.0
SWITCH,BASN_to_CASO,2045,current_policies_20_week,MW,0.0
SWITCH,BASN_to_NWPP,2045,current_policies_20_week,MW,0.0
SWITCH,BASN_to_SRSG,2045,current_policies_20_week,MW,0.0
SWITCH,SRCE_to_MISS,2045,current_policies_20_week,MW,0.0
SWITCH,SRCE_to_SRSE,2045,current_policies_20_week,MW,0.0
SWITCH,SPPS_to_MISS,2045,current_policies_20_week,MW,0.0
SWITCH,SPPS_to_SRSG,2045,current_policies_20_week,MW,2.0
SWITCH,SPPS_to_SPPN,2045,current_policies_20_week,MW,4.0
SWITCH,RMRG_to_NWPP,2045,current_policies_20_week,MW,0.0
SWITCH,RMRG_to_SRSG,2045,current_policies_20_week,MW,0.0
