case,tech_type,planning_year,value,min,max
full-base-200-retire,Wind,2050,2391353010.2,2268427612.0,2502311912.0
full-current-policies,Battery,2027,11168986.0,10368893.0,12686044.0
full-current-policies,CCS,2027,61985.5,37000.0,86971.0
full-current-policies,Coal,2027,1036014527.8,1033165685.0,1040473020.0
full-current-policies,Distributed Solar,2027,92536998.8,91929134.0,93010805.0
full-current-policies,Geothermal,2027,6228030.8,5892782.0,7212380.0
full-current-policies,Hydro,2027,270174590.0,252932012.0,276320356.0
full-current-policies,Hydrogen,2027,12961.0,11755.0,14167.0
full-current-policies,Natural Gas CC,2027,764639690.5,754017517.0,776162651.0
full-current-policies,Natural Gas CT,2027,2829366.2,2625703.0,3008379.0
full-current-policies,Nuclear,2027,829565048.2,825982200.0,831212139.0
full-current-policies,Solar,2027,282182191.5,279303052.0,284905414.0
full-current-policies,Wind,2027,983006180.0,970733214.0,996532347.0
full-current-policies,Battery,2030,17229055.5,16223994.0,18356779.0
full-current-policies,CCS,2030,70227.0,45827.0,94627.0
full-current-policies,Coal,2030,951834194.0,943766331.0,955230085.0
full-current-policies,Distributed Solar,2030,138980370.0,138142394.0,139917266.0
full-current-policies,Geothermal,2030,5672952.8,5340765.0,6572638.0
full-current-policies,Hydro,2030,272510755.0,257119516.0,278361385.0
full-current-policies,Hydrogen,2030,3319.0,223.0,6415.0
full-current-policies,Natural Gas CC,2030,731619824.8,728320039.0,736855082.0
full-current-policies,Natural Gas CT,2030,4334792.8,4094282.0,4502031.0
full-current-policies,Nuclear,2030,819108281.8,815661600.0,820960261.0
full-current-policies,Solar,2030,370504385.0,363943345.0,375941994.0
full-current-policies,Wind,2030,1281053742.0,1255711267.0,1306189856.0
full-current-policies,Battery,2035,32074287.2,28393706.0,35436150.0
full-current-policies,CCS,2035,945807.0,43674.0,1847940.0
full-current-policies,Coal,2035,767026768.8,761641176.0,769652024.0
full-current-policies,Distributed Solar,2035,179862043.5,178156520.0,182567265.0
full-current-policies,Geothermal,2035,5248622.2,4858055.0,6097701.0
full-current-policies,Hydro,2035,283206695.0,269666788.0,288749741.0
full-current-policies,Hydrogen,2035,41084.5,24.0,161687.0
full-current-policies,Natural Gas CC,2035,901161951.0,888729778.0,910437801.0
full-current-policies,Natural Gas CT,2035,20456697.2,20016629.0,20845381.0
full-current-policies,Nuclear,2035,801262739.0,798189580.0,803060761.0
full-current-policies,Solar,2035,857538062.8,841466535.0,875297989.0
full-current-policies,Wind,2035,1671422985.2,1634408749.0,1705024758.0
full-current-policies,Battery,2040,49715283.8,42047963.0,58440053.0
full-current-policies,CCS,2040,39516720.2,16081773.0,55214481.0
