case,tech_type,planning_year,end_value,min,max
full-current-policies,Hydrogen,2040,243.7,,
full-current-policies,Hydrogen,2045,1619.0,,
full-current-policies,Hydrogen,2050,1321.3,2098.0,5780.0
full-current-policies,Natural Gas CC,2027,21.5,,
full-current-policies,Natural Gas CC,2030,1.0,,
full-current-policies,Natural Gas CC,2035,10465.0,,
full-current-policies,Natural Gas CC,2040,58966.0,,
full-current-policies,Natural Gas CC,2045,163380.7,,
full-current-policies,Natural Gas CC,2050,124410.3,356298.0,357842.0
full-current-policies,Natural Gas CT,2027,13.0,,
full-current-policies,Natural Gas CT,2030,0.5,,
full-current-policies,Natural Gas CT,2035,1145.7,,
full-current-policies,Natural Gas CT,2040,3729.0,,
full-current-policies,Natural Gas CT,2045,1816.3,,
full-current-policies,Natural Gas CT,2050,2414.7,7399.0,11565.0
full-current-policies,Nuclear,2027,0.0,,
full-current-policies,Nuclear,2030,1.5,,
full-current-policies,Nuclear,2035,42.5,,
full-current-policies,Nuclear,2040,4.5,,
full-current-policies,Nuclear,2045,16.0,,
full-current-policies,Nuclear,2050,15.5,27.0,133.0
full-current-policies,Solar,2027,12825.3,,
full-current-policies,Solar,2030,37343.3,,
full-current-policies,Solar,2035,215655.3,,
full-current-policies,Solar,2040,153622.3,,
full-current-policies,Solar,2045,17394.3,,
full-current-policies,Solar,2050,75188.7,504969.0,523088.0
full-current-policies,Wind,2027,142409.0,,
full-current-policies,Wind,2030,77911.3,,
full-current-policies,Wind,2035,105949.0,,
full-current-policies,Wind,2040,88975.7,,
full-current-policies,Wind,2045,4107.0,,
full-current-policies,Wind,2050,10485.7,424227.0,438866.0
full-current-policies-retire,Battery,2027,158.7,,
full-current-policies-retire,Battery,2030,889.3,,
full-current-policies-retire,Battery,2035,14902.0,,
full-current-policies-retire,Battery,2040,52931.0,,
full-current-policies-retire,Battery,2045,2640.7,,
full-current-policies-retire,Battery,2050,2444.0,48965.0,104690.0
full-current-policies-retire,CCS,2027,60.5,,
full-current-policies-retire,CCS,2030,38.0,,
full-current-policies-retire,CCS,2035,1247.7,,
full-current-policies-retire,CCS,2040,13579.0,,
full-current-policies-retire,CCS,2045,20.7,,
full-current-policies-retire,CCS,2050,25.3,7742.0,19329.0
full-current-policies-retire,Hydrogen,2027,147.0,,
full-current-policies-retire,Hydrogen,2030,51.7,,
full-current-policies-retire,Hydrogen,2035,205.0,,
full-current-policies-retire,Hydrogen,2040,170.3,,
full-current-policies-retire,Hydrogen,2045,1213.7,,
full-current-policies-retire,Hydrogen,2050,381.3,633.0,3898.0
full-current-policies-retire,Natural Gas CC,2027,128.5,,
full-current-policies-retire,Natural Gas CC,2030,229.0,,
full-current-policies-retire,Natural Gas CC,2035,58251.3,,
full-current-policies-retire,Natural Gas CC,2040,89965.7,,
full-current-policies-retire,Natural Gas CC,2045,129215.3,,
full-current-policies-retire,Natural Gas CC,2050,89989.3,335346.0,422502.0
full-current-policies-retire,Natural Gas CT,2027,79.5,,
full-current-policies-retire,Natural Gas CT,2030,42.0,,
full-current-policies-retire,Natural Gas CT,2035,1170.0,,
full-current-policies-retire,Natural Gas CT,2040,3416.3,,
full-current-policies-retire,Natural Gas CT,2045,2181.7,,
full-current-policies-retire,Natural Gas CT,2050,4158.3,8026.0,14775.0
full-current-policies-retire,Nuclear,2027,25.5,,
full-current-policies-retire,Nuclear,2030,12.5,,
full-current-policies-retire,Nuclear,2035,1.5,,
full-current-policies-retire,Nuclear,2040,14.5,,
full-current-policies-retire,Nuclear,2045,1.5,,
full-current-policies-retire,Nuclear,2050,18.5,26.0,122.0
full-current-policies-retire,Solar,2027,14151.0,,
full-current-policies-retire,Solar,2030,70377.3,,
full-current-policies-retire,Solar,2035,188665.3,,
full-current-policies-retire,Solar,2040,153405.7,,
full-current-policies-retire,Solar,2045,9640.3,,
full-current-policies-retire,Solar,2050,51581.0,464670.0,511479.0
full-current-policies-retire,Wind,2027,172689.3,,
full-current-policies-retire,Wind,2030,77855.0,,
full-current-policies-retire,Wind,2035,103189.7,,
full-current-policies-retire,Wind,2040,56169.7,,
full-current-policies-retire,Wind,2045,5537.7,,
full-current-policies-retire,Wind,2050,7982.0,409942.0,447649.0
