model,zone,planning_year,case,unit,value
TEMOA,SRSE,2027,base_52_tx15,tons,5.43673e+07
TEMOA,SRSE,2030,base_52_tx15,tons,8.88278e+06
TEMOA,SRSE,2035,base_52_tx15,tons,5.88685e+06
TEMOA,SRSE,2040,base_52_tx15,tons,6.80597e+06
TEMOA,SRSE,2045,base_52_tx15,tons,7.81146e+06
TEMOA,SRSE,2050,base_52_tx15,tons,7.45543e+06
TEMOA,SRSG,2027,base_52_tx15,tons,1.97432e+07
TEMOA,SRSG,2030,base_52_tx15,tons,4.49365e+06
TEMOA,SRSG,2035,base_52_tx15,tons,3.64e+06
TEMOA,SRSG,2040,base_52_tx15,tons,4.11799e+06
TEMOA,SRSG,2045,base_52_tx15,tons,3.58744e+06
TEMOA,SRSG,2050,base_52_tx15,tons,2.99468e+06
TEMOA,TRE,2027,base_52_tx15,tons,6.90727e+07
TEMOA,TRE,2030,base_52_tx15,tons,1.61411e+07
TEMOA,TRE,2035,base_52_tx15,tons,8.80469e+06
TEMOA,TRE,2040,base_52_tx15,tons,9.48028e+06
TEMOA,TRE,2045,base_52_tx15,tons,9.90332e+06
TEMOA,TRE,2050,base_52_tx15,tons,9.06262e+06
TEMOA,TREW,2027,base_52_tx15,tons,7.87577e+06
TEMOA,TREW,2030,base_52_tx15,tons,3.53819e+06
TEMOA,TREW,2035,base_52_tx15,tons,2.02166e+06
TEMOA,TREW,2040,base_52_tx15,tons,1.81339e+06
TEMOA,TREW,2045,base_52_tx15,tons,1.60107e+06
TEMOA,TREW,2050,base_52_tx15,tons,1.29504e+06
