model,line,line_name,planning_year,case,unit,value
TEMOA,34,NYCW_to_PJME,2045,base_52_tx15,MW,399.954
TEMOA,35,NYUP_to_PJME,2045,base_52_tx15,MW,399.345
TEMOA,36,PJMC_to_PJMW,2045,base_52_tx15,MW,398.435
TEMOA,37,PJMD_to_PJME,2045,base_52_tx15,MW,399.955
TEMOA,38,PJMD_to_PJMW,2045,base_52_tx15,MW,1028.99
TEMOA,39,PJMD_to_SRCA,2045,base_52_tx15,MW,397.895
TEMOA,40,PJME_to_PJMW,2045,base_52_tx15,MW,582.63
TEMOA,41,PJMW_to_SRCA,2045,base_52_tx15,MW,13.7978
TEMOA,42,PJMW_to_SRCE,2045,base_52_tx15,MW,213.847
TEMOA,43,RMRG_to_SPPC,2045,base_52_tx15,MW,399.862
TEMOA,44,RMRG_to_SPPN,2045,base_52_tx15,MW,399.863
TEMOA,45,RMRG_to_SRSG,2045,base_52_tx15,MW,399.091
TEMOA,46,SPPC_to_SPPN,2045,base_52_tx15,MW,398.17
TEMOA,47,SPPC_to_SPPS,2045,base_52_tx15,MW,462.584
TEMOA,48,SPPN_to_SPPS,2045,base_52_tx15,MW,398.423
TEMOA,49,SPPS_to_SRSG,2045,base_52_tx15,MW,399.67
TEMOA,50,SPPS_to_TRE,2045,base_52_tx15,MW,399.824
TEMOA,51,SPPS_to_TREW,2045,base_52_tx15,MW,399.792
TEMOA,52,SRCA_to_SRCE,2045,base_52_tx15,MW,202.779
TEMOA,53,SRCA_to_SRSE,2045,base_52_tx15,MW,13.2962
TEMOA,54,SRCE_to_SRSE,2045,base_52_tx15,MW,343.685
TEMOA,55,TRE_to_TREW,2045,base_52_tx15,MW,11.9839
TEMOA,56,NWPP_to_SPPN,2045,base_52_tx15,MW,398.57
TEMOA,57,SRSG_to_TRE,2045,base_52_tx15,MW,399.014
TEMOA,1,BASN_to_CANO,2050,base_52_tx15,MW,24.3253
TEMOA,2,BASN_to_CASO,2050,base_52_tx15,MW,19.0605
TEMOA,3,BASN_to_NWPP,2050,base_52_tx15,MW,16.0155
TEMOA,4,BASN_to_RMRG,2050,base_52_tx15,MW,546.836
TEMOA,6,CANO_to_CASO,2050,base_52_tx15,MW,16.1658
TEMOA,7,CANO_to_NWPP,2050,base_52_tx15,MW,80.139
TEMOA,8,CASO_to_NWPP,2050,base_52_tx15,MW,25.5147
TEMOA,9,CASO_to_SRSG,2050,base_52_tx15,MW,289.224
TEMOA,10,FRCC_to_SRSE,2050,base_52_tx15,MW,24.994
TEMOA,11,ISNE_to_NYCW,2050,base_52_tx15,MW,399.694
TEMOA,12,ISNE_to_NYUP,2050,base_52_tx15,MW,397.455
TEMOA,13,MISC_to_MISE,2050,base_52_tx15,MW,90.3492
