Zone,1,2,3,4,5,6,7,8,9,10,11
t11,-5.713371750165916e-10,-4.8570729720351785e-9,-6.362007487093816e-9,-3.185210080333384e-9,-3.094334118054478e-8,-5.184407446803186e-9,-3.0051481936858756e-9,-9.234055537154371e-10,-2.4228148674925234e-9,-3.7881378900295727e-10,-1.2330278295375113e-10
t12,-5.405908699917672e-10,-4.876424051830063e-9,-6.3767111543996136e-9,-3.1942696295004005e-9,-3.116003682619825e-8,-5.201565759781562e-9,-3.0193352546220956e-9,-9.254891571490002e-10,-2.434426934788464e-9,-3.8725407347570914e-10,-1.2549137183722796e-10
t13,-4.929323315054707e-10,-4.888936821059226e-9,-6.392773568112088e-9,-3.2019756051695037e-9,-3.115076425532386e-8,-5.207533092247665e-9,-3.0248188143654235e-9,-9.271634824253243e-10,-2.4415880790401017e-9,-3.920218960225535e-10,-1.2738999047846116e-10
t14,-4.98253779883092e-10,-4.936849442846651e-9,-6.464239609087497e-9,-3.2349541145263958e-9,-3.155194399458784e-8,-5.266116822059367e-9,-3.055392560116317e-9,-9.352993268668232e-10,-2.4671140330057623e-9,-3.9467365449383116e-10,-1.2971442962774972e-10
t15,-4.962521150704235e-10,-4.9385418734343816e-9,-6.488254019106075e-9,-3.3581917619532666e-9,-3.025206277305259e-8,-5.328534973617594e-9,-3.056644668413907e-9,-9.356136513779793e-10,-2.598355717996967e-9,-3.957019888028917e-10,-1.3096200549962711e-10
t16,-4.845530006987214e-10,-4.85360537518505e-9,-6.347043256315914e-9,-3.179551652520222e-9,-3.0889482284444583e-8,-5.172576323135528e-9,-3.0050608651149297e-9,-9.214900534837313e-10,-2.4256253569575636e-9,-3.8475812463122065e-10,-1.2864117501117135e-10
t17,-5.136094465816392e-10,-4.726406386174385e-9,-6.201509483445156e-9,-3.2168421824744943e-9,-2.8881638994561067e-8,-5.096856622990853e-9,-2.926960559895634e-9,-9.004582359544896e-10,-2.487194735323066e-9,-3.5973194099846533e-10,-1.2203503618004246e-10
t18,-4.33440646633595e-10,-4.4715694603313985e-9,-5.811579266402584e-9,-2.922389767284559e-9,-2.815883717383142e-8,-4.742801137338021e-9,-2.772428730373332e-9,-8.572284380194113e-10,-2.2276605786688975e-9,-3.542506133139177e-10,-1.1128779504034768e-10
t19,-4.2596607500592454e-10,-4.340615561600895e-9,-5.681575346910502e-9,-2.9627975255953076e-9,-2.620272939455025e-8,-4.6807990355058405e-9,-2.698168848602205e-9,-8.335959782750176e-10,-2.2948440007335416e-9,-3.4013331019121836e-10,-1.1064299215063838e-10
t20,-4.5130320805304877e-10,-5.057511354364611e-9,-6.460975463913401e-9,-3.55190530872421e-9,-2.6028111705069003e-8,-5.418679704448139e-9,-3.2562853079057757e-9,-9.659036237552924e-10,-2.7884029548301894e-9,-3.6080643812423885e-10,-1.1695870263465618e-10
t21,-4.66397279921955e-10,-5.691510004188498e-9,-7.252621014248061e-9,-3.9732371323353104e-9,-2.740516782146491e-8,-6.095381316477596e-9,-3.629631409966208e-9,-9.881544774163519e-10,-3.0839026671261853e-9,-4.0407454319356437e-10,-1.209430567082788e-10
t22,-4.938789293755298e-10,-5.933420783083053e-9,-7.558446412851282e-9,-4.147627773229043e-9,-2.871814887384928e-8,-6.351899755422028e-9,-3.794308600342006e-9,-1.0369910410524343e-9,-3.2302607472759956e-9,-4.1362397708184335e-10,-1.1555316377517771e-10
t23,-6.184521674893079e-10,-5.144173334288888e-9,-6.764724566936681e-9,-3.4932749826358236e-9,-3.170206506650179e-8,-5.555380191618831e-9,-3.181551893895811e-9,-9.69912719401117e-10,-2.7063376718739497e-9,-4.6074871023961466e-10,-1.356481552642447e-10
t24,-6.784132708231545e-10,-5.471025425875911e-9,-7.197992141295674e-9,-3.706509278965349e-9,-3.3959652126326774e-8,-5.9089175686900404e-9,-3.3740918197895075e-9,-1.0249388011372888e-9,-2.8648382001432996e-9,-4.872044127374917e-10,-1.3213799355096375e-10
t25,-7.264144615850634e-10,-5.946367710334023e-9,-7.838921248738386e-9,-4.0177007266095315e-9,-3.712776609623249e-8,-6.4248763145082515e-9,-3.6539368591315765e-9,-1.1038089566383095e-9,-3.0998628569581087e-9,-5.21408652530206e-10,-1.397678986662108e-10
t26,-6.626181850819214e-10,-6.34005430497424e-9,-8.438335935113574e-9,-4.176443251227183e-9,-4.176737670920113e-8,-6.847241186670074e-9,-3.885100907475224e-9,-1.1686955708133192e-9,-3.170544286096913e-9,-5.375648698346738e-10,-1.576945718836224e-10
