hour,resource_name,tech_type,value,zone,planning_year,model,case
314,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1791,2,2030,p4_Mod_Elect_Low_RE,Results_p1
315,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1792,2,2030,p4_Mod_Elect_Low_RE,Results_p1
316,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1716,2,2030,p4_Mod_Elect_Low_RE,Results_p1
317,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1632,2,2030,p4_Mod_Elect_Low_RE,Results_p1
318,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1757,2,2030,p4_Mod_Elect_Low_RE,Results_p1
319,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1959,2,2030,p4_Mod_Elect_Low_RE,Results_p1
320,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1916,2,2030,p4_Mod_Elect_Low_RE,Results_p1
321,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1796,2,2030,p4_Mod_Elect_Low_RE,Results_p1
322,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1696,2,2030,p4_Mod_Elect_Low_RE,Results_p1
323,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1546,2,2030,p4_Mod_Elect_Low_RE,Results_p1
324,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1448,2,2030,p4_Mod_Elect_Low_RE,Results_p1
325,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1490,2,2030,p4_Mod_Elect_Low_RE,Results_p1
326,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1625,2,2030,p4_Mod_Elect_Low_RE,Results_p1
327,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1791,2,2030,p4_Mod_Elect_Low_RE,Results_p1
328,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1811,2,2030,p4_Mod_Elect_Low_RE,Results_p1
329,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1813,2,2030,p4_Mod_Elect_Low_RE,Results_p1
330,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1924,2,2030,p4_Mod_Elect_Low_RE,Results_p1
331,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,2086,2,2030,p4_Mod_Elect_Low_RE,Results_p1
332,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,2193,2,2030,p4_Mod_Elect_Low_RE,Results_p1
333,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,2105,2,2030,p4_Mod_Elect_Low_RE,Results_p1
334,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1975,2,2030,p4_Mod_Elect_Low_RE,Results_p1
335,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1849,2,2030,p4_Mod_Elect_Low_RE,Results_p1
336,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1821,2,2030,p4_Mod_Elect_Low_RE,Results_p1
337,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1743,2,2030,p4_Mod_Elect_Low_RE,Results_p1
338,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1541,2,2030,p4_Mod_Elect_Low_RE,Results_p1
339,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1339,2,2030,p4_Mod_Elect_Low_RE,Results_p1
340,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1541,2,2030,p4_Mod_Elect_Low_RE,Results_p1
341,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1743,2,2030,p4_Mod_Elect_Low_RE,Results_p1
342,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1945,2,2030,p4_Mod_Elect_Low_RE,Results_p1
343,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,2147,2,2030,p4_Mod_Elect_Low_RE,Results_p1
344,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,2298,2,2030,p4_Mod_Elect_Low_RE,Results_p1
345,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,2096,2,2030,p4_Mod_Elect_Low_RE,Results_p1
346,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1894,2,2030,p4_Mod_Elect_Low_RE,Results_p1
347,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1836,2,2030,p4_Mod_Elect_Low_RE,Results_p1
348,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1637,2,2030,p4_Mod_Elect_Low_RE,Results_p1
349,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1435,2,2030,p4_Mod_Elect_Low_RE,Results_p1
350,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1441,2,2030,p4_Mod_Elect_Low_RE,Results_p1
351,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1643,2,2030,p4_Mod_Elect_Low_RE,Results_p1
352,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1845,2,2030,p4_Mod_Elect_Low_RE,Results_p1
353,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1846,2,2030,p4_Mod_Elect_Low_RE,Results_p1
354,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1848,2,2030,p4_Mod_Elect_Low_RE,Results_p1
355,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,2050,2,2030,p4_Mod_Elect_Low_RE,Results_p1
356,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,2252,2,2030,p4_Mod_Elect_Low_RE,Results_p1
357,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,2250,2,2030,p4_Mod_Elect_Low_RE,Results_p1
358,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,2048,2,2030,p4_Mod_Elect_Low_RE,Results_p1
359,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1853,2,2030,p4_Mod_Elect_Low_RE,Results_p1
360,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1855,2,2030,p4_Mod_Elect_Low_RE,Results_p1
361,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1856,2,2030,p4_Mod_Elect_Low_RE,Results_p1
362,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1843,2,2030,p4_Mod_Elect_Low_RE,Results_p1
363,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1641,2,2030,p4_Mod_Elect_Low_RE,Results_p1
364,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1465,2,2030,p4_Mod_Elect_Low_RE,Results_p1
365,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1667,2,2030,p4_Mod_Elect_Low_RE,Results_p1
366,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1869,2,2030,p4_Mod_Elect_Low_RE,Results_p1
367,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,2071,2,2030,p4_Mod_Elect_Low_RE,Results_p1
368,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,2273,2,2030,p4_Mod_Elect_Low_RE,Results_p1
369,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,2071,2,2030,p4_Mod_Elect_Low_RE,Results_p1
370,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1869,2,2030,p4_Mod_Elect_Low_RE,Results_p1
371,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1708,2,2030,p4_Mod_Elect_Low_RE,Results_p1
372,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1570,2,2030,p4_Mod_Elect_Low_RE,Results_p1
373,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1518,2,2030,p4_Mod_Elect_Low_RE,Results_p1
374,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1622,2,2030,p4_Mod_Elect_Low_RE,Results_p1
375,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1775,2,2030,p4_Mod_Elect_Low_RE,Results_p1
