Time_Index,No_fuel,new_england_coal,new_england_naturalgas,new_england_uranium,middle_atlantic_naturalgas,middle_atlantic_uranium,middle_atlantic_coal,east_north_central_coal,east_north_central_naturalgas,east_north_central_uranium,new_england_naturalgas_ccs100,middle_atlantic_naturalgas_ccs100,east_north_central_naturalgas_ccs90,east_north_central_naturalgas_ccs100
125,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
126,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
127,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
128,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
129,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
130,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
131,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
132,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
133,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
134,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
135,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
136,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
137,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
138,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
139,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
140,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
141,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
142,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
143,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
144,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
145,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
146,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
147,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
148,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
149,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
150,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
151,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
152,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
153,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
154,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
155,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
156,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
157,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
158,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
159,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
160,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
161,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
162,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
163,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
164,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
165,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
