Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9,Demand_MW_z10,Demand_MW_z11
,,,,,,,,118,14562.0,1241.0,939.0,1861.0,212.0,1149.0,2053.0,7800.0,2446.0,18592.0,72387.0
,,,,,,,,119,13674.0,1148.0,869.0,1722.0,197.0,1063.0,1897.0,7224.0,2257.0,16948.0,66751.0
,,,,,,,,120,11967.0,1034.0,782.0,1551.0,177.0,958.0,1707.0,6518.0,2028.0,15159.0,60125.0
,,,,,,,,121,10054.0,916.0,693.0,1374.0,157.0,850.0,1508.0,5795.0,1787.0,13270.0,53272.0
,,,,,,,,122,9208.0,867.0,657.0,1301.0,148.0,805.0,1427.0,5490.0,1691.0,12562.0,50269.0
,,,,,,,,123,8730.0,833.0,631.0,1250.0,142.0,773.0,1371.0,5276.0,1624.0,12087.0,48319.0
,,,,,,,,124,8523.0,820.0,621.0,1230.0,140.0,761.0,1350.0,5197.0,1599.0,12007.0,47816.0
,,,,,,,,125,8426.0,821.0,622.0,1232.0,140.0,762.0,1352.0,5201.0,1601.0,12155.0,48485.0
,,,,,,,,126,8745.0,867.0,657.0,1301.0,148.0,805.0,1428.0,5487.0,1692.0,13167.0,51759.0
,,,,,,,,127,9669.0,984.0,746.0,1477.0,168.0,913.0,1625.0,6214.0,1930.0,15020.0,57354.0
,,,,,,,,128,11525.0,1114.0,844.0,1672.0,191.0,1032.0,1840.0,7020.0,2189.0,16921.0,62876.0
,,,,,,,,129,12989.0,1201.0,908.0,1800.0,206.0,1112.0,1981.0,7568.0,2354.0,17695.0,66022.0
,,,,,,,,130,13568.0,1249.0,945.0,1873.0,213.0,1157.0,2059.0,7881.0,2445.0,18132.0,68088.0
,,,,,,,,131,14140.0,1290.0,977.0,1935.0,221.0,1196.0,2129.0,8139.0,2529.0,18675.0,70551.0
,,,,,,,,132,14728.0,1319.0,999.0,1979.0,226.0,1223.0,2177.0,8319.0,2588.0,19164.0,73019.0
,,,,,,,,133,15110.0,1337.0,1012.0,2005.0,229.0,1239.0,2207.0,8428.0,2623.0,19470.0,74827.0
,,,,,,,,134,15230.0,1350.0,1022.0,2024.0,232.0,1251.0,2227.0,8504.0,2648.0,19562.0,75939.0
