Resource,NENG_Rest_hydroelectric_pumped_storage_1,NY_Z_A_hydroelectric_pumped_storage_1,NY_Z_F_hydroelectric_pumped_storage_1,PJM_EMAC_hydroelectric_pumped_storage_1,PJM_Rest_hydroelectric_pumped_storage_1,NENG_Rest_battery_advanced_0,NY_Z_A_battery_advanced_0,NY_Z_B_battery_advanced_0,NY_Z_C&E_battery_advanced_0,NY_Z_D_battery_advanced_0,NY_Z_F_battery_advanced_0,NY_Z_G-I_battery_advanced_0,NY_Z_J_battery_advanced_0,NY_Z_K_battery_advanced_0,PJM_EMAC_battery_advanced_0,PJM_Rest_battery_advanced_0,NY_Z_A_res_water_heat_1,NY_Z_B_res_water_heat_1,NY_Z_C&E_res_water_heat_1,NY_Z_D_res_water_heat_1,NY_Z_F_res_water_heat_1,NY_Z_G-I_res_water_heat_1,NY_Z_J_res_water_heat_1,NY_Z_K_res_water_heat_1,PJM_EMAC_res_water_heat_1,PJM_Rest_res_water_heat_1,NENG_Rest_res_water_heat_1,NY_Z_A_trans_light_duty_1,NY_Z_B_trans_light_duty_1,NY_Z_C&E_trans_light_duty_1,NY_Z_D_trans_light_duty_1,NY_Z_F_trans_light_duty_1,NY_Z_G-I_trans_light_duty_1,NY_Z_J_trans_light_duty_1,NY_Z_K_trans_light_duty_1,PJM_EMAC_trans_light_duty_1,PJM_Rest_trans_light_duty_1,NENG_Rest_trans_light_duty_1,Total
t87,1829.9999477144415,239.9999451583452,1166.699949200072,1489.999936265895,3692.9999242851472,0.002255215457499366,0.008529040170995476,177.0207964179452,0.04207396654574994,83.17477814167488,875.9114096448141,129.71820299725042,0.0060587081067242,0.004316283927917774,130.43336721809575,273.9096114789247,3.1224184447474688,2.4157562774209143,4.8283020734770465,0.47344833144978465,2.9706141571148885,5.368524340290513,19.02385566850969,5.603660063289965,46.68159584285674,202.1933907592931,35.14846008645416,76.19879861169609,57.880856771529764,108.78940039231247,11.994352454628011,67.96571268411793,126.66965339442487,466.70891341632733,154.94802912275264,1494.551453559807,3762.5822012333565,1141.2942582304918,17887.344757653165
t88,1829.999866090203,239.9999456757617,1166.6999524602143,1489.9998643572906,3692.9999326613092,0.00032215922636808745,0.015985885288571533,280.8300691366034,0.06539224927219761,0.16196616526440008,125.71083380336006,93.37749960124751,0.011390640523015043,0.000325664532086813,0.0003685173928521229,116.75309250237223,2.416203038070787,1.8567788557380656,3.601137048980507,0.4890056685017062,2.2274852701913934,4.018752661664137,14.44035928512428,5.717146581226717,45.09974698201066,185.96059641491755,36.469771451903064,71.94701483038833,54.595190832587015,117.29698310341,14.404344438091009,69.60385335798523,134.10433666759607,500.4585290953016,171.9258792004884,1616.9249471787512,4796.261937425257,1334.455676544916,18220.902483502963
t89,0.00023745613673476103,239.99959089493555,0.0007134496859739974,0.00013861358411574242,3692.9986547946073,0.00016626276214111416,0.0002454473013893234,0.00024606352998471804,0.00018278931519859573,0.00019031292265014684,0.00018239410485838646,0.00018055329219715505,0.0001692589006435544,0.0001671919372412516,0.0001629280411732963,0.00017964774757503788,3.347691385990621,2.575885162808879,5.051309886756623,0.588148452411884,3.122671281747548,5.641442265099653,20.02420016231346,6.850197286135355,56.97815305912816,234.58728803601622,44.72364768698103,91.97030027312911,69.727770038012,138.35407165807794,15.870096034200635,84.20350739017184,156.70825887269393,564.8389082254125,190.5728833851172,1895.1679297356338,5579.520391049519,1490.889223511791,14594.315382897954
t90,5.259085405778631e-5,3.866677409927824e-5,4.642055485008202e-5,4.258905660055551e-5,3.673512006258586e-5,9.603003217642473e-5,9.431262555575187e-5,9.359275375660254e-5,9.26560320261461e-5,9.412850811624346e-5,9.26604950045532e-5,9.127177540817158e-5,9.01682580497585e-5,9.15541489862235e-5,9.23302998923248e-5,9.241558615475385e-5,4.459950311963447,3.3799421787215977,6.680874363628424,0.7785848058789584,4.1038942699409375,7.548838422436496,26.84081642654299,9.189403192775238,82.24809628537886,294.3235566804948,71.92553412804398,94.70532761333001,71.91870240081731,141.47807326802823,16.526070384629215,86.44471079491537,159.79932708479234,561.557812890085,193.9941976752713,2151.7160246304516,5972.429939590486,1747.7831870119956,11709.834102533483
t91,5.626874267993334e-5,3.6990139109427594e-5,4.416218466698283e-5,4.3894477857274404e-5,3.4124712978760924e-5,0.00010604642920977188,9.544711452511832e-5,9.419076091405552e-5,9.320202701744428e-5,9.460933756287907e-5,9.312453005023199e-5,9.188099784275049e-5,9.187825910668381e-5,9.511661360438799e-5,8.732555973707464e-5,6.560303762792319e-5,4.513376830168816,3.421372825623294,6.770036526998359,0.7871159881113944,4.1530569725956505,7.646072506405575,27.17836590667388,9.310370146738528,76.16319882794814,353.8931344316545,56.86432800439453,128.74839054647958,97.49328841590278,193.6874858473555,22.377794486952986,117.33688131525443,218.5928068437893,799.7510994740674,266.74638847920636,2700.5482245763924,8516.827462426498,2170.689728832154,15783.50120407629
t92,4.562247085986569e-5,3.681457181305022e-5,4.4030021064391324e-5,4.3453681262515726e-5,3.390173414131815e-5,9.019655904011941e-5,9.530111641929201e-5,9.381273871889599e-5,9.29752974438348e-5,9.434063246173563e-5,9.281671064686293e-5,9.159435449557889e-5,9.191859425461617e-5,9.627696981679943e-5,8.597931340742136e-5,6.47615849893878e-5,5.454823567235078,4.126108113197581,8.1971395494162,0.9435507433808777,4.994433286028201,9.256638219177168,33.655509674097985,11.304455390272452,89.57371567760198,494.7777108706182,93.4409130574038,146.80641228058812,111.23527551976386,220.14897125141096,25.424488061510676,126.66080350714032,240.6365411284441,882.9203333113064,295.42022513314566,2764.2588807089014,8507.063617749687,2259.0358183637945,16335.337558960473
t93,5.61966126812919e-5,3.9061099954518035e-5,4.6526389569873134e-5,4.2831059861660635e-5,3.350664654914813e-5,0.00010948970270024684,9.523536582416011e-5,9.392507006115819e-5,9.290150920359429e-5,9.430293688098256e-5,9.278485318344459e-5,9.143281044308489e-5,9.122527583187275e-5,9.598749968313218e-5,9.138697721058866e-5,7.154315798778606e-5,4.970821699081655,3.766558075744336,7.5151415022498425,0.885614287926616,4.60069080469743,8.35274027249236,29.77351347509685,10.17124551664075,82.17047513013668,461.5520708537411,61.693225968591356,125.32176953614274,94.95652742850417,187.93051607890197,21.704295269772555,114.83479883770964,212.45227558051678,761.0614273414124,259.3566612431189,2372.238978106844,7361.856217843925,1926.7086907017394,14113.875493891956
t94,5.575053004295952e-5,3.6356534620062835e-5,4.497202737603328e-5,4.313549040190223e-5,3.584775635285265e-5,0.000109117115815154,9.550770204564252e-5,9.417167763635407e-5,9.336295753137308e-5,9.48001866598656e-5,9.322589762538296e-5,9.199919876709604e-5,9.238421167879564e-5,9.675072078009355e-5,9.139540210095675e-5,7.454552354067328e-5,4.805039139652042,3.639685506987116,7.205143320637586,0.8374033280444402,4.2728940612514235,7.887484280916413,28.425057054420996,9.616789727087044,76.3067062844304,340.79655545194953,60.79650865940891,106.34513114175694,80.5778926180828,159.47345853250437,18.41775275700067,97.44613662701501,180.28205527225893,645.8190271640598,220.0840266141793,1975.5367289489354,6166.140106493744,1634.6029951822577,11829.315821489514
t95,5.553245564769114e-5,3.674800620102581e-5,4.652496316047654e-5,4.338047029229706e-5,3.64805345215631e-5,0.00010794081593472822,9.562955950761801e-5,9.431749035540324e-5,9.342381348585191e-5,9.49444357804413e-5,9.32981981621321e-5,9.203183920345929e-5,9.233236992768745e-5,9.642617432850896e-5,9.124670440002858e-5,7.635886533866784e-5,4.840475456888485,3.654930068037843,7.261016664887856,0.8393248609537984,3.6258411773193906,6.723480596328823,24.887245435684424,8.217315799143451,64.54543961119982,334.519302599728,51.40302962884479,83.74798335975743,63.45599365432113,125.58713758456075,14.504185683603687,76.73992494975457,141.97414134621232,508.5897357073159,173.3186410027831,1513.0668518010277,4759.8026776786555,1280.003295042768,9251.309216326474
t96,5.5327475029530726e-5,3.488687480579302e-5,4.331093858929731e-5,4.1847021300792294e-5,3.71569233977448e-5,0.0001057552792511722,9.543670392495717e-5,9.432138973125404e-5,9.332764069130186e-5,9.504621642504482e-5,9.316779170560647e-5,9.201205827215392e-5,9.221996393051473e-5,9.556122515475071e-5,9.24822267858293e-5,8.696801965431604e-5,3.863343753134125,2.917209400033611,5.795038510738124,0.670143302660324,3.5479636648356077,6.544057546165519,23.495687112386268,8.002686665734055,60.10799547800527,262.12758217792657,50.599648937606,56.23905887794738,42.61242919269835,84.33520340710794,9.739944886491875,51.532955133397046,95.33952805016045,341.53199576754145,116.38822295320229,1007.1812599119517,3207.6942163585277,850.44912950923,6290.71654942523
