model,zone,planning_year,case,unit,value
USENSYS,PJME,2050,full-current-policies,tons,23275214
USENSYS,PJMW,2027,full-current-policies,tons,208644752
USENSYS,PJMW,2030,full-current-policies,tons,193443621
USENSYS,PJMW,2035,full-current-policies,tons,178399919
USENSYS,PJMW,2040,full-current-policies,tons,88054198
USENSYS,PJMW,2045,full-current-policies,tons,105932390
USENSYS,PJMW,2050,full-current-policies,tons,108601888
USENSYS,RMRG,2027,full-current-policies,tons,67984286
USENSYS,RMRG,2030,full-current-policies,tons,54685045
USENSYS,RMRG,2035,full-current-policies,tons,55175222
USENSYS,RMRG,2040,full-current-policies,tons,31956220
USENSYS,RMRG,2045,full-current-policies,tons,34141324
USENSYS,RMRG,2050,full-current-policies,tons,16308987
USENSYS,SPPC,2027,full-current-policies,tons,58448027
USENSYS,SPPC,2030,full-current-policies,tons,58682954
USENSYS,SPPC,2035,full-current-policies,tons,52407958
USENSYS,SPPC,2040,full-current-policies,tons,42094467
USENSYS,SPPC,2045,full-current-policies,tons,19525664
USENSYS,SPPC,2050,full-current-policies,tons,10148775
USENSYS,SPPN,2027,full-current-policies,tons,38881960
USENSYS,SPPN,2030,full-current-policies,tons,40353596
USENSYS,SPPN,2035,full-current-policies,tons,35874033
USENSYS,SPPN,2040,full-current-policies,tons,30555717
USENSYS,SPPN,2045,full-current-policies,tons,20623288
USENSYS,SPPN,2050,full-current-policies,tons,12150829
USENSYS,SPPS,2027,full-current-policies,tons,59449705
USENSYS,SPPS,2030,full-current-policies,tons,58631732
USENSYS,SPPS,2035,full-current-policies,tons,57318896
USENSYS,SPPS,2040,full-current-policies,tons,39721178
USENSYS,SPPS,2045,full-current-policies,tons,35005554
USENSYS,SPPS,2050,full-current-policies,tons,28888432
USENSYS,SRCA,2027,full-current-policies,tons,91175950
USENSYS,SRCA,2030,full-current-policies,tons,99662169
USENSYS,SRCA,2035,full-current-policies,tons,93378627
USENSYS,SRCA,2040,full-current-policies,tons,52147783
USENSYS,SRCA,2045,full-current-policies,tons,53847385
USENSYS,SRCA,2050,full-current-policies,tons,48698970
USENSYS,SRCE,2027,full-current-policies,tons,99580481
USENSYS,SRCE,2030,full-current-policies,tons,91170601
USENSYS,SRCE,2035,full-current-policies,tons,66699896
USENSYS,SRCE,2040,full-current-policies,tons,44969928
USENSYS,SRCE,2045,full-current-policies,tons,63278647
USENSYS,SRCE,2050,full-current-policies,tons,53159908
USENSYS,SRSE,2027,full-current-policies,tons,103432056
USENSYS,SRSE,2030,full-current-policies,tons,110414593
USENSYS,SRSE,2035,full-current-policies,tons,124338493
USENSYS,SRSE,2040,full-current-policies,tons,72425783
USENSYS,SRSE,2045,full-current-policies,tons,86130290
USENSYS,SRSE,2050,full-current-policies,tons,67790220
USENSYS,SRSG,2027,full-current-policies,tons,49099714
USENSYS,SRSG,2030,full-current-policies,tons,51870497
USENSYS,SRSG,2035,full-current-policies,tons,24331506
USENSYS,SRSG,2040,full-current-policies,tons,23181051
USENSYS,SRSG,2045,full-current-policies,tons,22668306
USENSYS,SRSG,2050,full-current-policies,tons,21113032
USENSYS,TRE,2027,full-current-policies,tons,158634905
USENSYS,TRE,2030,full-current-policies,tons,125975518
USENSYS,TRE,2035,full-current-policies,tons,123034707
USENSYS,TRE,2040,full-current-policies,tons,129945194
USENSYS,TRE,2045,full-current-policies,tons,121970272
USENSYS,TRE,2050,full-current-policies,tons,118922657
USENSYS,TREW,2027,full-current-policies,tons,7554447
USENSYS,TREW,2030,full-current-policies,tons,6911689
USENSYS,TREW,2035,full-current-policies,tons,6283981
USENSYS,TREW,2040,full-current-policies,tons,4525679
USENSYS,TREW,2045,full-current-policies,tons,3543196
USENSYS,TREW,2050,full-current-policies,tons,2459187
