model,line_name,planning_year,case,unit,start_value,end_value
USENSYS,BASN_to_SRSG,2045,full-current-policies,MW,5385,5385
USENSYS,CANO_to_CASO,2045,full-current-policies,MW,3675,3675
USENSYS,CANO_to_NWPP,2045,full-current-policies,MW,3675,3675
USENSYS,CASO_to_NWPP,2045,full-current-policies,MW,2858,2858
USENSYS,CASO_to_SRSG,2045,full-current-policies,MW,4354,4354
USENSYS,FRCC_to_SRSE,2045,full-current-policies,MW,3600,3600
USENSYS,ISNE_to_NYCW,2045,full-current-policies,MW,760,760
USENSYS,ISNE_to_NYUP,2045,full-current-policies,MW,10518,10518
USENSYS,MISC_to_MISS,2045,full-current-policies,MW,1039,1039
USENSYS,MISC_to_MISW,2045,full-current-policies,MW,1655,1655
USENSYS,MISC_to_PJMC,2045,full-current-policies,MW,5244,5244
USENSYS,MISC_to_PJMW,2045,full-current-policies,MW,5441,5441
USENSYS,MISC_to_SPPC,2045,full-current-policies,MW,4030,4975
USENSYS,MISC_to_SPPS,2045,full-current-policies,MW,1725,1725
USENSYS,MISC_to_SRCE,2045,full-current-policies,MW,3745,3745
USENSYS,MISE_to_MISW,2045,full-current-policies,MW,1,1
USENSYS,MISE_to_PJMW,2045,full-current-policies,MW,2662,2662
USENSYS,MISS_to_SPPC,2045,full-current-policies,MW,458,1501
USENSYS,MISS_to_SPPS,2045,full-current-policies,MW,3853,5705
USENSYS,MISS_to_SRCE,2045,full-current-policies,MW,4092,4092
USENSYS,MISS_to_SRSE,2045,full-current-policies,MW,1837,4050
USENSYS,MISW_to_NWPP,2045,full-current-policies,MW,200,200
USENSYS,MISW_to_PJMC,2045,full-current-policies,MW,3200,3200
USENSYS,MISW_to_SPPN,2045,full-current-policies,MW,5512,5512
USENSYS,NWPP_to_RMRG,2045,full-current-policies,MW,400,400
USENSYS,NYCW_to_NYUP,2045,full-current-policies,MW,8835,8835
USENSYS,NYCW_to_PJME,2045,full-current-policies,MW,3389,3389
USENSYS,NYUP_to_PJME,2045,full-current-policies,MW,6077,6679
USENSYS,PJMC_to_PJMW,2045,full-current-policies,MW,3624,5730
USENSYS,PJMD_to_PJME,2045,full-current-policies,MW,7846,7846
USENSYS,PJMD_to_PJMW,2045,full-current-policies,MW,6930,6930
USENSYS,PJMD_to_SRCA,2045,full-current-policies,MW,2352,2352
USENSYS,PJME_to_PJMW,2045,full-current-policies,MW,4531,6951
USENSYS,PJMW_to_SRCA,2045,full-current-policies,MW,1219,1219
