Constraint,CapRes_1,CapRes_2,CapRes_3
t34,3.3511019013095067e-10,3.06665955194534e-10,4.419127958192702e-11
t35,2.742861013631813e-10,2.9735209867964237e-10,3.41783978021074e-11
t36,2.476760543690298e-10,2.3525244084748655e-10,3.064837828932581e-11
t37,2.374589113191897e-10,2.0105750519584721e-10,2.9092412211900208e-11
t38,2.4193962432941505e-10,2.1047227224839605e-10,2.8362060425120428e-11
t39,2.6352182427340894e-10,2.3457352955025255e-10,2.9159007641124604e-11
t40,2.6009585246807087e-10,2.3716128521902514e-10,3.274094552574706e-11
t41,8.900647030165387e-10,3.5622544564382527e-10,4.162890962534658e-11
t42,4.203624913753569e-10,4.289533432899396e-10,6.694689418430019e-11
t43,3.995822270618698e-10,4.475509258187134e-10,8.937538122545135e-11
t44,3.284674293133139e-10,3.8891241327303497e-10,7.025549181008884e-11
t45,3.1063663812463297e-10,3.662281041036405e-10,6.40399207630606e-11
t46,2.8129035467175886e-10,3.3541241020569884e-10,5.830100768862575e-11
t47,2.3157716141498995e-10,3.187560729251894e-10,5.194106062827751e-11
t48,2.2122148434511055e-10,2.9119988386611885e-10,4.881904108264227e-11
t49,2.3531471346706165e-10,2.8248890454874093e-10,4.8531531388034624e-11
t50,2.0382422786324333e-10,2.7616909028840745e-10,4.556395549177063e-11
t51,1.9777539800287446e-10,2.761651327972679e-10,4.3756758312366284e-11
t52,2.0234694689718792e-10,2.844627297490178e-10,4.272243725046241e-11
t53,2.1061344123426218e-10,2.8486519382487276e-10,4.3050854407310523e-11
t54,2.1543099979981015e-10,2.8579784511683135e-10,4.644956261885174e-11
t55,2.3512258036020027e-10,2.6433779036289506e-10,5.059698995599499e-11
t56,2.9053870123746335e-10,3.1047778545363433e-10,5.7108661487078964e-11
t57,2.716062478975893e-10,3.862710943261757e-10,5.278823300082688e-11
t58,2.5950676941514365e-10,2.6142567715696626e-10,3.9218478091744096e-11
t59,2.317729648610791e-10,2.4683232933782393e-10,3.366649503386924e-11
