model,zone,planning_year,case,unit,value
TEMOA,PJMW,2040,base_52_no_ccs,tons,2.38923e+07
TEMOA,PJMW,2045,base_52_no_ccs,tons,2.70949e+07
TEMOA,PJMW,2050,base_52_no_ccs,tons,2.58263e+07
TEMOA,RMRG,2027,base_52_no_ccs,tons,1.5079e+07
TEMOA,RMRG,2030,base_52_no_ccs,tons,514340
TEMOA,RMRG,2035,base_52_no_ccs,tons,818288
TEMOA,RMRG,2040,base_52_no_ccs,tons,953959
TEMOA,RMRG,2045,base_52_no_ccs,tons,902307
TEMOA,RMRG,2050,base_52_no_ccs,tons,646156
TEMOA,SPPC,2027,base_52_no_ccs,tons,1.93132e+07
TEMOA,SPPC,2030,base_52_no_ccs,tons,648700
TEMOA,SPPC,2035,base_52_no_ccs,tons,805804
TEMOA,SPPC,2040,base_52_no_ccs,tons,933186
TEMOA,SPPC,2045,base_52_no_ccs,tons,784992
TEMOA,SPPC,2050,base_52_no_ccs,tons,573030
TEMOA,SPPN,2027,base_52_no_ccs,tons,8.57262e+06
TEMOA,SPPN,2030,base_52_no_ccs,tons,268414
TEMOA,SPPN,2035,base_52_no_ccs,tons,453964
TEMOA,SPPN,2040,base_52_no_ccs,tons,541041
TEMOA,SPPN,2045,base_52_no_ccs,tons,490975
TEMOA,SPPN,2050,base_52_no_ccs,tons,357711
TEMOA,SPPS,2027,base_52_no_ccs,tons,1.99683e+07
TEMOA,SPPS,2030,base_52_no_ccs,tons,3.90275e+06
TEMOA,SPPS,2035,base_52_no_ccs,tons,4.0829e+06
TEMOA,SPPS,2040,base_52_no_ccs,tons,3.69066e+06
TEMOA,SPPS,2045,base_52_no_ccs,tons,3.1754e+06
TEMOA,SPPS,2050,base_52_no_ccs,tons,2.44161e+06
TEMOA,SRCA,2027,base_52_no_ccs,tons,3.85196e+07
TEMOA,SRCA,2030,base_52_no_ccs,tons,1.03886e+07
TEMOA,SRCA,2035,base_52_no_ccs,tons,1.42572e+07
TEMOA,SRCA,2040,base_52_no_ccs,tons,1.45824e+07
TEMOA,SRCA,2045,base_52_no_ccs,tons,1.58363e+07
TEMOA,SRCA,2050,base_52_no_ccs,tons,1.55275e+07
TEMOA,SRCE,2027,base_52_no_ccs,tons,3.61168e+07
TEMOA,SRCE,2030,base_52_no_ccs,tons,6.42069e+06
TEMOA,SRCE,2035,base_52_no_ccs,tons,7.14059e+06
TEMOA,SRCE,2040,base_52_no_ccs,tons,6.74915e+06
TEMOA,SRCE,2045,base_52_no_ccs,tons,6.35865e+06
TEMOA,SRCE,2050,base_52_no_ccs,tons,5.86097e+06
TEMOA,SRSE,2027,base_52_no_ccs,tons,5.41882e+07
TEMOA,SRSE,2030,base_52_no_ccs,tons,1.33708e+07
TEMOA,SRSE,2035,base_52_no_ccs,tons,1.49468e+07
TEMOA,SRSE,2040,base_52_no_ccs,tons,1.4227e+07
TEMOA,SRSE,2045,base_52_no_ccs,tons,1.28191e+07
TEMOA,SRSE,2050,base_52_no_ccs,tons,1.05372e+07
TEMOA,SRSG,2027,base_52_no_ccs,tons,2.00166e+07
TEMOA,SRSG,2030,base_52_no_ccs,tons,3.2996e+06
TEMOA,SRSG,2035,base_52_no_ccs,tons,4.61626e+06
TEMOA,SRSG,2040,base_52_no_ccs,tons,4.76666e+06
TEMOA,SRSG,2045,base_52_no_ccs,tons,4.1799e+06
TEMOA,SRSG,2050,base_52_no_ccs,tons,3.27925e+06
TEMOA,TRE,2027,base_52_no_ccs,tons,6.99681e+07
TEMOA,TRE,2030,base_52_no_ccs,tons,1.37438e+07
TEMOA,TRE,2035,base_52_no_ccs,tons,1.41011e+07
TEMOA,TRE,2040,base_52_no_ccs,tons,1.32978e+07
TEMOA,TRE,2045,base_52_no_ccs,tons,1.69343e+07
TEMOA,TRE,2050,base_52_no_ccs,tons,1.57666e+07
TEMOA,TREW,2027,base_52_no_ccs,tons,7.80857e+06
TEMOA,TREW,2030,base_52_no_ccs,tons,2.19217e+06
TEMOA,TREW,2035,base_52_no_ccs,tons,1.90316e+06
TEMOA,TREW,2040,base_52_no_ccs,tons,1.69585e+06
TEMOA,TREW,2045,base_52_no_ccs,tons,1.36413e+06
TEMOA,TREW,2050,base_52_no_ccs,tons,1.04717e+06
