Zone,1,2,3,4,5,6,7,8,9,10,11
t56,-1.67203000629294e-11,-1.764053980489742e-10,-2.3891200294434295e-10,-1.1768138222835028e-10,-1.1575243204350997e-9,-1.936699187650511e-10,-1.0675589594691532e-10,-2.8753886917910747e-11,-8.88786961769448e-11,-1.1350912799564221e-11,-3.1498734962881605e-12
t57,-1.5712119623539427e-11,-1.7472681650895252e-10,-2.2790818816505154e-10,-1.1895619253414334e-10,-9.880813400820995e-10,-1.8827749937456122e-10,-1.0817806922031803e-10,-2.995529992220961e-11,-9.147457507918922e-11,-1.1369945271177502e-11,-3.046168902945967e-12
t58,-1.3993984323684148e-11,-1.603015627182e-10,-2.1590818082415338e-10,-1.0678338408559111e-10,-1.046336087002865e-9,-1.7518215536186954e-10,-9.730186665712995e-11,-2.620978670973695e-11,-8.07450757552588e-11,-1.0760799144009094e-11,-2.961385739038835e-12
t59,-1.3276420416433067e-11,-1.5094494407643897e-10,-2.0258782655529156e-10,-1.0038442755786813e-10,-9.751868052975104e-10,-1.6457990856659715e-10,-9.167662144771516e-11,-2.473552592328844e-11,-7.602008386803472e-11,-1.0638231658143897e-11,-2.9234397154413546e-12
t60,-1.342950912259904e-11,-1.4637060159839123e-10,-1.9640439534481497e-10,-9.738568277676138e-11,-9.453426913087138e-10,-1.5930765969254228e-10,-8.906900417353994e-11,-2.4015148155952874e-11,-7.385447908415968e-11,-1.0671324083548858e-11,-2.917488339461223e-12
t61,-1.2752249165094628e-11,-1.4320840349724006e-10,-1.9182484421098826e-10,-9.521620085669387e-11,-9.262267693758877e-10,-1.5585509958940942e-10,-8.717134145407798e-11,-2.352211958462966e-11,-7.219953176059964e-11,-1.0671291693574162e-11,-2.9196591058600132e-12
t62,-1.2939885405543278e-11,-1.4412779189809808e-10,-1.9310778316012662e-10,-9.578649649340838e-11,-9.309119209373416e-10,-1.5683905548296455e-10,-8.766587793166514e-11,-2.365753053110571e-11,-7.260960536037977e-11,-1.0859733793217053e-11,-2.971976540554591e-12
t63,-1.3103803642686506e-11,-1.4494798626419046e-10,-1.9420101661931457e-10,-9.64205733798483e-11,-9.357029166115898e-10,-1.5784324653169287e-10,-8.82554427256333e-11,-2.3797668784080188e-11,-7.315283493211443e-11,-1.0922270966313818e-11,-3.0098664045481297e-12
t64,-1.3221357278918498e-11,-1.4554004042662155e-10,-1.9508473289499381e-10,-9.679655758078199e-11,-9.405414766436968e-10,-1.585710133059283e-10,-8.859697699000961e-11,-2.389039213789748e-11,-7.343140056597407e-11,-1.0850547148665414e-11,-3.022010157207533e-12
t65,-1.3244748471922085e-11,-1.4460136076440146e-10,-1.9397342475397915e-10,-9.615538963530604e-11,-9.35629589072743e-10,-1.5741066474894096e-10,-8.801026982425549e-11,-2.3749440320239238e-11,-7.29204532493134e-11,-1.0371195861021745e-11,-2.9511927400199472e-12
t66,-1.241900536469296e-11,-1.420668573329698e-10,-1.901321534148491e-10,-9.449957556222106e-11,-9.169626921935204e-10,-1.5459612997633164e-10,-8.651881516005155e-11,-2.3357451343847823e-11,-7.168277184278351e-11,-9.947333222696292e-12,-2.7826820121457587e-12
t67,-1.1397922809899979e-11,-1.2918323255736515e-10,-1.7222194199514938e-10,-8.573756663684402e-11,-8.301364133665491e-10,-1.399267948794674e-10,-7.883694103855447e-11,-2.1315798475757312e-11,-6.516792507235915e-11,-9.375756409913636e-12,-2.6260753477002636e-12
t68,-1.1529458907112948e-11,-1.2798856741260743e-10,-1.7053472956602776e-10,-8.495747119868457e-11,-8.190407010829112e-10,-1.3870281743733413e-10,-7.80775204820111e-11,-2.113339209437413e-11,-6.451447267127397e-11,-9.550998722107336e-12,-2.6487453834930105e-12
t69,-1.2079562363411764e-11,-1.3202289232423235e-10,-1.7621521050318855e-10,-8.772452538097626e-11,-8.452412418768019e-10,-1.4313109050733057e-10,-8.053994162787284e-11,-2.1765363948359976e-11,-6.658930782033716e-11,-9.909565073637955e-12,-2.7188123695184247e-12
t70,-1.2601729619359279e-11,-1.362248000310923e-10,-1.8212991864764642e-10,-9.051078060414063e-11,-8.775100329610599e-10,-1.4800054263362492e-10,-8.302293507231938e-11,-2.2433368433021004e-11,-6.870886431016071e-11,-1.0303291612957509e-11,-2.8282742749251184e-12
t71,-1.3346741171797402e-11,-1.4182625715762926e-10,-1.896915300912599e-10,-9.423389430720952e-11,-9.167824819889218e-10,-1.5416806667272669e-10,-8.630949537694244e-11,-2.3293401903261296e-11,-7.151171079374412e-11,-1.0913888442977957e-11,-2.9763131280547405e-12
t72,-1.4495306728985454e-11,-1.501608532910837e-10,-2.0135080073463834e-10,-9.98459273479984e-11,-9.696441157565117e-10,-1.636015106701844e-10,-9.125714442072941e-11,-2.4605704754561475e-11,-7.570073109267855e-11,-1.1732886463813742e-11,-3.1877595483744648e-12
t73,-1.594339542578714e-11,-1.5971161221344148e-10,-2.150307667056402e-10,-1.0629877109612414e-10,-1.0399620027138384e-9,-1.746004392198602e-10,-9.693084560525926e-11,-2.611931006159349e-11,-8.052648190327532e-11,-1.2505871871077076e-11,-3.4026495948426064e-12
t74,-1.7325790501364483e-11,-1.7026958792703493e-10,-2.2982568375917067e-10,-1.1345883431627984e-10,-1.1078933049298964e-9,-1.8641373073043034e-10,-1.0321479891572324e-10,-2.777197805441451e-11,-8.578995534906502e-11,-1.3067334317609387e-11,-3.540070666613165e-12
t75,-1.7981952374488595e-11,-1.7707299777033617e-10,-2.393453591344334e-10,-1.1798461453439955e-10,-1.1559449271894213e-9,-1.9414647920980173e-10,-1.0703143713712702e-10,-2.8806619572788636e-11,-8.907522897364482e-11,-1.3205919438558726e-11,-3.5792735119010937e-12
t76,-1.844382679023132e-11,-1.8161123805025322e-10,-2.45776770954679e-10,-1.2109353472835254e-10,-1.1926580897167654e-9,-1.9950290687073782e-10,-1.0980658108208563e-10,-2.955520580707457e-11,-9.137977851467767e-11,-1.3197577886078711e-11,-3.5804314812585915e-12
t77,-1.867932192097576e-11,-1.8464670802811519e-10,-2.4999867264814396e-10,-1.2313606216512892e-10,-1.2156022825027214e-9,-2.0298944790315127e-10,-1.1155721595234093e-10,-3.001951542037198e-11,-9.286249785582213e-11,-1.312193548047717e-11,-3.554028707850382e-12
t78,-1.849701902445168e-11,-1.8504208841613456e-10,-2.5039537502280734e-10,-1.2341157610701364e-10,-1.2157519528222185e-9,-2.0325033819439651e-10,-1.1176607000924294e-10,-3.008714920814479e-11,-9.306001992331834e-11,-1.2783928022121042e-11,-3.452522378698547e-12
t79,-1.866786540040118e-11,-1.8750322455839755e-10,-2.443909435988073e-10,-1.2760573944967302e-10,-1.0638953551352166e-9,-2.019771663116004e-10,-1.1599046806681976e-10,-3.225637249366952e-11,-9.771426742898431e-11,-1.2358382839334931e-11,-3.100322688550145e-12
t80,-1.7160866240998268e-11,-1.7908152250512457e-10,-2.374183993871805e-10,-1.1963945303372364e-10,-1.1263170988792532e-9,-1.939473946014417e-10,-1.0826273396124626e-10,-3.0324905509255895e-11,-9.104660588224233e-11,-1.2442387885172542e-11,-3.0743124104175468e-12
t81,-1.623854710761866e-11,-1.779260771992133e-10,-2.316364239050649e-10,-1.2099215452073964e-10,-1.0034176915186489e-9,-1.914496779634184e-10,-1.0999918498021487e-10,-3.05003381531204e-11,-9.282320758782099e-11,-1.1938164066672022e-11,-2.957289231992831e-12
