Resource,NENG_Rest_hydroelectric_pumped_storage_1,NY_Z_A_hydroelectric_pumped_storage_1,NY_Z_F_hydroelectric_pumped_storage_1,PJM_EMAC_hydroelectric_pumped_storage_1,PJM_Rest_hydroelectric_pumped_storage_1,NENG_Rest_battery_advanced_0,NY_Z_A_battery_advanced_0,NY_Z_B_battery_advanced_0,NY_Z_C&E_battery_advanced_0,NY_Z_D_battery_advanced_0,NY_Z_F_battery_advanced_0,NY_Z_G-I_battery_advanced_0,NY_Z_J_battery_advanced_0,NY_Z_K_battery_advanced_0,PJM_EMAC_battery_advanced_0,PJM_Rest_battery_advanced_0,Total
t19,7.788510601711276e-5,7.67555522733893e-5,-3.9117282382153086e-5,-2.843891599461305e-5,-3.757399678955999e-5,-7.620220246314191e-5,-0.00032858932691181647,-0.00033009021067794005,-0.00019618417027437592,-0.00026311673956905593,-0.0001401861664652007,-0.00020470306635323303,-0.00033937156283702074,-0.0003337469532153669,-0.0001041528019744044,-9.75157097764852e-5,-0.002364348447393865
t20,1.5810937236984724e-5,-4.868640789936249e-6,-4.097344570577502e-5,-2.0315143583242465e-5,-1.4588441055063782e-5,-9.803731567926249e-5,-0.0007188932301317128,-0.0007016021064738154,-0.00024390132131993882,-0.000381884572726564,-0.0001570189251707984,-0.00024974358081906084,-0.0006428988561258588,-0.0006422235833306472,-0.00011026498705708062,-0.00012234278847382676,-0.004133746001205599
t21,-9.475529022112955e-7,-1.1593223739731608e-6,-1.3803379730639785e-6,-1.5123620493280772e-6,-9.58702603765485e-7,-8.132036303406482e-7,-3.5409595470779922e-6,-3.2340115073765724e-6,-2.455445408369505e-6,-2.979866827015775e-6,-2.391281444030171e-6,-2.3934179115847565e-6,-2.774298981611465e-6,-2.858864753114818e-6,-3.7598531191812634e-6,-1.1566757074676866e-6,-3.4316156739512646e-5
t22,-1.0094319724176327e-5,-3.098385324205155e-6,-3.4951388611785226e-5,-2.28104816715035e-5,-1.8235062429927524e-5,-8.425792969252413e-5,2.67314107199814e-6,-3.120989122172596e-6,-0.0002384866167738787,-0.00016987188043416526,-0.00021925142707582748,-0.00023225712356083673,-2.056638727333568e-5,-3.2873860568412235e-6,-0.0002889502611612691,-0.00014904149577873774,-0.0014956079936191882
t23,2.4144124869124024e-5,-2.9126144853536343e-6,-4.0212783257965655e-5,-2.018042642067788e-5,-1.4647773885797447e-5,-0.00010539639833293728,5.844409351388034e-5,3.0427369271567445e-5,-0.00020342055237144576,-0.00010504955642437731,-0.0002647148751693482,-0.0001843711958472097,3.1976162471566006e-6,1.4402414174302299e-5,-0.00040704681809326104,-0.00023678905741184391,-0.0014541264336241872
t24,1.6334204980834976e-5,-1.0057275626596329e-5,-4.112753160127654e-5,-2.3718393633648774e-5,-1.410811432025695e-5,-5.86536407328626e-5,-3.551745637880163e-6,-1.957159932813041e-5,-0.0003060213798557615,-0.00014429975353292467,-0.0005559918791452747,-0.00025906806732970376,-3.4615050072256644e-5,-3.0447481536682966e-5,-0.00030533437226027386,-0.00034613644916224714,-0.002136368528794942
t25,2.9195570589831495e-5,-4.538257377378129e-6,-6.085089448341481e-5,-3.3108113675669174e-5,-1.5372567336228755e-5,-6.403695748909682e-5,-2.1898670833310745e-5,-3.0240507452498365e-5,-0.0002370696539398139,-0.00011826943223393246,-0.0003744692138688295,-0.00020774786845085598,-3.891313702748881e-5,-3.81540962165933e-5,-0.0001455742392553995,-0.00021473155661158903,-0.0015757795956622678
t26,2.3362199684464193e-5,3.5112408892708245e-5,-6.19437944501539e-5,-3.476668854759901e-5,-3.621295264325995e-5,-1.4491562320724732e-5,1.0263679424496191e-5,5.206600661516195e-6,-6.0211936730145196e-5,-3.231882006796918e-5,-7.93917490704474e-5,-5.39098631408432e-5,-8.973352740632629e-7,-2.146469282699422e-6,-5.1850497650233874e-5,-7.187116072675294e-5,-0.0004260679412417072
t27,3.1046128637650256e-5,3.431958082059273e-5,-6.23309801868773e-5,-4.837125533610421e-5,-5.865816246098977e-5,1.2283061177141099e-5,5.154106959393848e-5,4.683358517195395e-5,1.1128731400284713e-5,2.6353902563037532e-5,1.2592592007942007e-6,1.832665127263045e-5,4.7158553450000494e-5,4.8005195391068924e-5,-3.5818711435166375e-5,-7.988922002390069e-5,4.318738923605447e-5
t28,2.3131489467234304e-5,3.267584288157755e-5,-7.696994999997752e-5,-3.0756305534046476e-5,-5.2761685418709906e-5,-1.6951643874085943e-5,2.3234751155030435e-6,1.359774040534584e-6,-2.537162245546436e-5,-1.1432549925219513e-5,-3.313896877896274e-5,-1.8750356328742275e-5,9.892935822186132e-6,1.1464951224585265e-5,-1.330499014132749e-5,-5.8335261836724235e-5,-0.0002569248657416396
