line_name,planning_year,case,start_region,dest_region,value
NYUP_to_PJME,2045,full-base-200,NYUP,PJME,150.0
MISC_to_MISW,2035,full-base-200,MISC,MISW,0.0
MISC_to_PJMC,2027,full-base-200,MISC,PJMC,0.0
MISC_to_MISE,2040,full-base-200,MISC,MISE,208.5
PJMD_to_PJMW,2045,full-base-200,PJMD,PJMW,640.0
MISC_to_MISE,2035,full-base-200,MISC,MISE,116.25
ISNE_to_NYCW,2040,full-base-200,ISNE,NYCW,6.333333333333333
PJMW_to_SRCA,2045,full-base-200,PJMW,SRCA,0.0
ISNE_to_NYCW,2035,full-base-200,ISNE,NYCW,8.333333333333334
PJMW_to_SRCA,2050,full-base-200,PJMW,SRCA,0.0
PJMW_to_SRCE,2027,full-base-200,PJMW,SRCE,0.0
ISNE_to_NYCW,2030,full-base-200,ISNE,NYCW,0.0
PJMW_to_SRCE,2030,full-base-200,PJMW,SRCE,0.5
ISNE_to_NYCW,2027,full-base-200,ISNE,NYCW,51.333333333333336
PJMW_to_SRCE,2035,full-base-200,PJMW,SRCE,15.0
PJMW_to_SRCE,2040,full-base-200,PJMW,SRCE,23.0
PJMW_to_SRCA,2040,full-base-200,PJMW,SRCA,0.0
FRCC_to_SRSE,2050,full-base-200,FRCC,SRSE,98.0
FRCC_to_SRSE,2045,full-base-200,FRCC,SRSE,23.666666666666668
PJMW_to_SRCE,2050,full-base-200,PJMW,SRCE,85.25
RMRG_to_SPPC,2027,full-base-200,RMRG,SPPC,4.0
FRCC_to_SRSE,2040,full-base-200,FRCC,SRSE,12.333333333333334
RMRG_to_SPPC,2030,full-base-200,RMRG,SPPC,5767.25
FRCC_to_SRSE,2035,full-base-200,FRCC,SRSE,10.0
RMRG_to_SPPC,2035,full-base-200,RMRG,SPPC,2046.0
RMRG_to_SPPC,2040,full-base-200,RMRG,SPPC,370.0
FRCC_to_SRSE,2030,full-base-200,FRCC,SRSE,0.5
RMRG_to_SPPC,2045,full-base-200,RMRG,SPPC,1429.0
