Constraint,CapRes_1,CapRes_2,CapRes_3
t143,1.7875894404110022e-10,1.3578391241245728e-10,2.793180756363819e-11
t144,1.6048363672176531e-10,1.3300380126299897e-10,2.6131871351240972e-11
t145,1.1309415243954888e-10,1.311617451073241e-10,2.480609565993124e-11
t146,1.0949861732880947e-10,1.2826437778598166e-10,2.2989035816603607e-11
t147,1.1083305510853941e-10,1.289192478234143e-10,2.237882464164299e-11
t148,1.1087369985154446e-10,1.2814711578173946e-10,2.198780664838934e-11
t149,1.0838725958043703e-10,1.2627073481602028e-10,2.2154400940428485e-11
t150,1.0730142021363287e-10,1.2475348496145294e-10,2.3425012543279395e-11
t151,1.265973410878207e-10,1.3064430158663375e-10,2.5063014796561556e-11
t152,1.7828119486959606e-10,1.4805237897763682e-10,2.8725973850362552e-11
t153,1.4998906630524702e-10,1.949578517565096e-10,3.337795967862392e-11
t154,1.5109398161852457e-10,1.3082730105223598e-10,2.1787095427428437e-11
t155,1.5355325639947408e-10,1.2792978045148166e-10,1.664444263662159e-11
t156,1.5035096833284734e-10,1.331242715671133e-10,1.456524234767651e-11
t157,1.4465469655686252e-10,1.3751502791192533e-10,1.3100533825262773e-11
t158,1.4736020864334819e-10,1.4082096496473659e-10,1.2770397531483405e-11
t159,1.325188428861737e-10,1.2519770115315536e-10,1.2990410740536897e-11
t160,1.1573259052013233e-10,1.1703227132592706e-10,1.3647073413851362e-11
t161,1.7301560148446381e-10,1.1312167451742954e-10,1.653792805032983e-11
t162,1.3075456675468425e-10,1.3850092721834672e-10,2.6540968606760676e-11
t163,1.390505039282657e-10,1.558877059136703e-10,3.331020598312727e-11
t164,1.3971329406835593e-10,1.50031199049576e-10,3.274558813071674e-11
t165,1.3771367143371133e-10,1.5310031859574942e-10,3.2394254113842073e-11
t166,1.393249409481519e-10,1.4772680726469486e-10,3.186233980606051e-11
t167,1.326510028162324e-10,1.409891837184094e-10,3.012538876681293e-11
t168,1.2282819624942982e-10,1.3863629320335886e-10,2.817114094925452e-11
t169,1.1942271464817244e-10,1.323184249598563e-10,2.710385129425363e-11
t170,1.1603332123517197e-10,1.299579574846393e-10,2.6675301846599072e-11
t171,1.0990063896196086e-10,1.2626989918865683e-10,2.709218081977588e-11
t172,1.1836955315669807e-10,1.274199473203134e-10,2.761151439698365e-11
t173,1.212390195367144e-10,1.2210082843142498e-10,2.7818826204034636e-11
t174,1.2218103132117918e-10,1.203581750313213e-10,2.819755440071397e-11
t175,1.2588340127067883e-10,1.7550811309595252e-10,3.9172953596286383e-11
t176,1.3871589541970245e-10,1.4564538045322066e-10,3.7616337388065187e-11
t177,1.4862161725674262e-10,2.149299402676032e-10,4.017629574219583e-11
t178,1.349302582509297e-10,1.2657461154967247e-10,2.5896033652394796e-11
t179,1.4028427106657795e-10,1.2837807861827697e-10,1.936969178782419e-11
t180,1.4278793899002543e-10,1.2904561614401107e-10,1.7313692560242364e-11
t181,1.5627738385246085e-10,1.3258036382188335e-10,1.5729026927635023e-11
t182,1.6370797275435508e-10,1.420240416374496e-10,1.4959619243244636e-11
t183,1.472363894301568e-10,1.3099364190743676e-10,1.6173025791533182e-11
t184,1.2185421677384708e-10,1.2492533788958295e-10,1.8508362306978358e-11
t185,1.5478069888907826e-10,1.5876754483105923e-10,2.340581998113965e-11
t186,2.3529879234117155e-10,1.9682751217464248e-10,4.847787605866634e-11
t187,2.548588604449402e-10,2.2250504986240744e-10,5.03028098036852e-11
t188,2.656603833607165e-10,2.1955779435490654e-10,5.0174636710298816e-11
t189,2.4299201433826186e-10,2.13818530463758e-10,5.171687274567229e-11
t190,2.3016828180645736e-10,2.129764383528098e-10,5.0613482686335833e-11
t191,2.1683791791163356e-10,1.932611595556099e-10,4.72498383967185e-11
t192,1.5079571630531802e-10,1.9340947010034861e-10,4.7010600990456454e-11
t193,2.4952726407194423e-10,5.880574295346427e-10,1.217905804608885e-10
t194,2.3235422504921335e-10,4.49070598116488e-10,9.22615054736312e-11
t195,1.6867634803655897e-10,3.832390006212638e-10,7.802590016921423e-11
t196,1.760350795948244e-10,3.802425445136649e-10,6.507705119136872e-11
t197,2.381366894148391e-10,2.8926520734430566e-10,6.29032886179532e-11
t198,2.405812659997736e-10,3.11859057126312e-10,6.443269444316728e-11
t199,2.3410613037355534e-10,4.5320963408372884e-10,7.309525921081275e-11
t200,2.5520260140608215e-10,2.9174174181781363e-10,4.7138646636344674e-11
t201,3.701660326394818e-10,2.9390436850699686e-10,6.102605232719254e-11
t202,4.10410218951852e-10,2.940259907292711e-10,7.049108304542891e-11
t203,5.43766619221361e-10,2.8040544740324164e-10,3.925199613333453e-11
t204,5.389205870652974e-10,2.786129576646582e-10,4.843415251114795e-11
t205,6.719636695574807e-10,2.4458263579752805e-10,4.24745819719459e-11
t206,5.624038407550216e-10,2.4052890181835315e-10,4.695506727659755e-11
t207,8.405465926511743e-10,2.567011533741069e-10,7.538646453482716e-11
t208,1.1321631069266604e-9,2.923802946669252e-10,4.826111587871327e-11
t209,8.268406859833614e-10,3.671985237846767e-10,5.893356328624489e-11
t210,1.7298044553093838e-9,4.855516195098368e-10,5.238161516722344e-11
t211,3.741110823366846e-9,8.342897137863763e-10,6.64769016704797e-11
t212,4.27359036837714e-9,6.229084628642077e-10,2.4719334831590456e-10
t213,2.936033803074112e-9,5.509766822729704e-10,5.003615685175195e-10
t214,2.6966460625412593e-9,6.058391233361537e-10,4.0468921567386087e-10
t215,1.8023931455308585e-9,4.761927071603499e-10,2.3234200491695017e-10
t216,4.621871769448355e-10,4.436044282604192e-10,1.475981528181808e-10
t217,4.367162314984167e-10,3.8484857565026465e-10,6.41560973762417e-11
t218,3.1207305384216014e-10,3.646787022385761e-10,6.739926608970216e-11
t219,2.5452380816616807e-10,4.2416340368090995e-10,5.870163853599386e-11
t220,2.2430764973571202e-10,3.369240153811969e-10,5.537871101623212e-11
t221,2.0701027064899118e-10,3.427160507515702e-10,6.17371437294751e-11
t222,2.7267761494506663e-10,3.2825174450973754e-10,6.094058926029216e-11
t223,3.1363233629945663e-10,2.4995616713245793e-10,6.191980262802706e-11
t224,3.687743366712147e-10,2.4880482727166533e-10,4.0238858776246334e-11
t225,3.8288476832089194e-10,2.6868859009337986e-10,1.081439978755465e-10
t226,5.054863092170495e-10,2.433872813620974e-10,1.0178035300146209e-10
t227,6.63020204397512e-10,3.050992679996443e-10,7.28901964466218e-11
t228,9.029190078586463e-10,2.9788549138775715e-10,2.306315727603353e-11
t229,8.028564254624269e-10,3.0559372331286947e-10,-2.084126022335946e-11
t230,8.186259592546255e-10,2.902945149095954e-10,4.6587128278310734e-11
t231,7.051206571781385e-10,2.682111946257999e-10,5.1861776790181367e-11
t232,5.385030110626099e-10,2.691882579035929e-10,7.263840996932347e-11
t233,4.2044498106056027e-10,3.262804049717436e-10,4.8748377222815367e-11
t234,5.54871034975201e-10,3.491952639240511e-10,6.395586895851403e-11
t235,8.095169548468914e-10,4.872235173646759e-10,1.402460821984376e-10
t236,2.891190296492823e-9,6.626576591771398e-10,5.473987401849177e-10
t237,2.6444114146608263e-9,4.685975264054685e-10,1.0848445508234808e-9
t238,3.936491360226731e-9,6.622827778176878e-10,4.4264897245804027e-10
t239,5.192707065237289e-10,4.785899056928548e-10,2.0831722982036e-10
t240,2.632418706345653e-10,3.543001430345185e-10,8.613579003196289e-11
t241,1.7547086405153562e-10,2.6941831372149763e-10,6.31605242261902e-11
t242,1.6206540501850048e-10,2.6059883615494203e-10,4.921443709443258e-11
t243,1.6573468956592445e-10,2.158702432393575e-10,4.227398928254274e-11
t244,1.654758032538401e-10,2.134301815726478e-10,4.094582645656501e-11
t245,1.6738732370498206e-10,2.1727965358366975e-10,4.2382098654442704e-11
t246,2.5002230472064644e-10,2.2730941918286549e-10,5.125316073506756e-11
t247,2.62335812391933e-10,3.5859614307310093e-10,7.166837532618103e-11
t248,2.81284635367675e-10,3.740642763450055e-10,4.729504030086053e-11
t249,3.698178539813209e-10,3.165350620313699e-10,5.6019958036569396e-11
t250,3.752465876699645e-10,3.9930154087408965e-10,7.874809803704313e-11
t251,4.2944243826184505e-10,4.3053806284016784e-10,6.346125503125229e-11
t252,3.930524436857521e-10,4.893928846293664e-10,4.825290505322042e-11
t253,2.2400582122782662e-9,5.739265509021684e-10,7.448576363764551e-11
t254,5.251383860094253e-10,4.655452031002076e-10,5.52158224987324e-11
t255,6.650240830496291e-10,6.483608825957807e-10,9.281879022349441e-11
t256,6.401551154431782e-10,1.8921538070649975e-9,1.4460999930958898e-10
t257,1.242350807897256e-9,1.0877771532902596e-9,1.561468852673779e-10
t258,1.341243416824196e-9,5.895051873150841e-10,2.6556079693247386e-10
t259,3.5839513200373905e-9,0.0035753802118216813,7.2548128731533e-10
t260,3.816539406406825,3.6666018401067415,3.8521173635710495
t261,3.8117004737213116,3.666594804918759,3.852118370298244
t262,3.8136178927739506,3.0791099222359803,3.75001073875704
t263,1.4429398346791376e-8,3.4099651721983356e-9,2.8828477663884635e-10
t264,3.087861288458381e-10,1.5861119937105846e-9,1.1461922970651582e-10
t265,2.560506736961887e-10,7.631538830039611e-10,7.18144521802141e-11
t266,2.044734695540372e-10,6.367699230485155e-10,5.629017295741297e-11
t267,1.6897623906633927e-10,6.009994827966655e-10,4.7507867096645026e-11
