model,line,line_name,planning_year,case,unit,value,end_value,start_region,dest_region,km,cap
GenX,9.0,CASO_to_SRSG,2027,20-week-foresight,MW,29.0,,CASO,SRSG,670.4280089248628,0.043566
GenX,10.0,FRCC_to_SRSE,2027,20-week-foresight,MW,1227.0,,FRCC,SRSE,930.705776696937,1.31871
GenX,11.0,ISNE_to_NYCW,2027,20-week-foresight,MW,21.0,,ISNE,NYCW,208.76319678780865,0.101923
GenX,12.0,ISNE_to_NYUP,2027,20-week-foresight,MW,1374.0,,ISNE,NYUP,422.4133412443229,3.25226
GenX,13.0,MISC_to_MISE,2027,20-week-foresight,MW,118018.0,,MISC,MISE,993.3851724175372,118.804
GenX,14.0,MISC_to_MISS,2027,20-week-foresight,MW,755.0,,MISC,MISS,1432.2313664952487,0.527305
GenX,15.0,MISC_to_MISW,2027,20-week-foresight,MW,476.0,,MISC,MISW,1370.4981771620598,0.347311
GenX,16.0,MISC_to_PJMC,2027,20-week-foresight,MW,4030.0,,MISC,PJMC,626.2046711986147,6.4349
GenX,17.0,MISC_to_PJMW,2027,20-week-foresight,MW,532.0,,MISC,PJMW,636.7767278564246,0.834939
GenX,18.0,MISC_to_SPPC,2027,20-week-foresight,MW,1934867.0,,MISC,SPPC,696.0754685319118,2779.68
GenX,19.0,MISC_to_SPPN,2027,20-week-foresight,MW,799662.0,,MISC,SPPN,919.2234841721058,869.932
GenX,20.0,MISC_to_SPPS,2027,20-week-foresight,MW,6043301.0,,MISC,SPPS,1164.3004320004338,5190.5
GenX,21.0,MISC_to_SRCE,2027,20-week-foresight,MW,208.0,,MISC,SRCE,807.5788459671032,0.257259
GenX,22.0,MISE_to_MISW,2027,20-week-foresight,MW,165188.0,,MISE,MISW,1338.0895372438338,123.451
GenX,23.0,MISE_to_PJMW,2027,20-week-foresight,MW,536.0,,MISE,PJMW,672.2944948093907,0.79664
GenX,24.0,MISS_to_SPPC,2027,20-week-foresight,MW,2526293.0,,MISS,SPPC,1264.309793619994,1998.16
GenX,25.0,MISS_to_SPPS,2027,20-week-foresight,MW,18349253.0,,MISS,SPPS,1083.4402589451677,16936.1
GenX,26.0,MISS_to_SRCE,2027,20-week-foresight,MW,425.0,,MISS,SRCE,910.5740119711644,0.466521
GenX,27.0,MISS_to_SRSE,2027,20-week-foresight,MW,8257273.0,,MISS,SRSE,825.7437764420143,9999.8
GenX,28.0,MISW_to_NWPP,2027,20-week-foresight,MW,240510.0,,MISW,NWPP,14040.700523946523,17.1295
GenX,29.0,MISW_to_PJMC,2027,20-week-foresight,MW,4244.0,,MISW,PJMC,577.3769837220765,7.34969
GenX,30.0,MISW_to_SPPC,2027,20-week-foresight,MW,95747.0,,MISW,SPPC,1195.0293103479462,80.1208
GenX,31.0,MISW_to_SPPN,2027,20-week-foresight,MW,6883.0,,MISW,SPPN,1014.1486283848258,6.78659
GenX,32.0,NWPP_to_RMRG,2027,20-week-foresight,MW,25859.0,,NWPP,RMRG,256.39318164425606,100.855
GenX,33.0,NYCW_to_NYUP,2027,20-week-foresight,MW,214.0,,NYCW,NYUP,319.03239545042265,0.669384
GenX,34.0,NYCW_to_PJME,2027,20-week-foresight,MW,274917.0,,NYCW,PJME,81.02077938846139,3393.17
GenX,35.0,NYUP_to_PJME,2027,20-week-foresight,MW,429.0,,NYUP,PJME,316.61636032760543,1.35349
GenX,36.0,PJMC_to_PJMW,2027,20-week-foresight,MW,1015471.0,,PJMC,PJMW,484.9526117173539,2093.96
GenX,37.0,PJMD_to_PJME,2027,20-week-foresight,MW,228311.0,,PJMD,PJME,139.26433395480618,1639.41
GenX,38.0,PJMD_to_PJMW,2027,20-week-foresight,MW,6.0,,PJMD,PJMW,493.7545177764829,0.0113629
GenX,39.0,PJMD_to_SRCA,2027,20-week-foresight,MW,89.0,,PJMD,SRCA,525.2547915890101,0.169689
GenX,40.0,PJME_to_PJMW,2027,20-week-foresight,MW,44.0,,PJME,PJMW,482.9870637110515,0.0916522
GenX,41.0,PJMW_to_SRCA,2027,20-week-foresight,MW,65.0,,PJMW,SRCA,900.2912298442393,0.0726938
GenX,42.0,PJMW_to_SRCE,2027,20-week-foresight,MW,842.0,,PJMW,SRCE,542.940224506259,1.55081
GenX,43.0,RMRG_to_SPPC,2027,20-week-foresight,MW,1175720.0,,RMRG,SPPC,936.6269837220768,1255.27
GenX,44.0,RMRG_to_SPPN,2027,20-week-foresight,MW,1619795.0,,RMRG,SPPN,780.5713741841813,2075.14
GenX,45.0,RMRG_to_SRSG,2027,20-week-foresight,MW,75624.0,,RMRG,SRSG,1451.9389962866967,52.0845
GenX,46.0,SPPC_to_SPPN,2027,20-week-foresight,MW,462242.0,,SPPC,SPPN,261.19343417595013,1769.73
GenX,47.0,SPPC_to_SPPS,2027,20-week-foresight,MW,2785.0,,SPPC,SPPS,455.0277413171593,6.12013
GenX,48.0,SPPN_to_SPPS,2027,20-week-foresight,MW,648288.0,,SPPN,SPPS,679.4249275747745,954.171
GenX,49.0,SPPS_to_SRSG,2027,20-week-foresight,MW,235445.0,,SPPS,SRSG,1530.6511537017682,153.82
GenX,50.0,SPPS_to_TRE,2027,20-week-foresight,MW,1597241.0,,SPPS,TRE,501.3042951289656,3186.17
GenX,51.0,SPPS_to_TREW,2027,20-week-foresight,MW,2271886.0,,SPPS,TREW,594.5912331781975,3820.92
GenX,52.0,SRCA_to_SRCE,2027,20-week-foresight,MW,2916.0,,SRCA,SRCE,1047.313910703395,2.78474
GenX,53.0,SRCA_to_SRSE,2027,20-week-foresight,MW,486.0,,SRCA,SRSE,750.9564568673488,0.647134
GenX,54.0,SRCE_to_SRSE,2027,20-week-foresight,MW,646.0,,SRCE,SRSE,808.9930595294763,0.79858
GenX,55.0,TREW_to_TRE,2027,20-week-foresight,MW,42.0,,TREW,TRE,694.9819646586291,0.0604619
GenX,56.0,NWPP_to_SPPN,2027,20-week-foresight,MW,203284.0,,NWPP,SPPN,2877.9361274282305,70.6354
GenX,57.0,SRSG_to_TRE,2027,20-week-foresight,MW,365533.0,,SRSG,TRE,1692.23667175099,216.006
GenX,1.0,BASN_to_CANO,2030,20-week-foresight,MW,9192.0,,BASN,CANO,1613.3847128003597,5.69742
GenX,2.0,BASN_to_CASO,2030,20-week-foresight,MW,8100.0,,BASN,CASO,1052.8154002870249,7.69331
GenX,3.0,BASN_to_NWPP,2030,20-week-foresight,MW,13.0,,BASN,NWPP,2143.6820330805017,0.00588749
GenX,4.0,BASN_to_RMRG,2030,20-week-foresight,MW,1507.0,,BASN,RMRG,1478.968739910536,1.01925
GenX,5.0,BASN_to_SRSG,2030,20-week-foresight,MW,81.0,,BASN,SRSG,1196.8856954277987,0.0680658
GenX,6.0,CANO_to_CASO,2030,20-week-foresight,MW,2.0,,CANO,CASO,678.496525078502,0.00356077
GenX,7.0,CANO_to_NWPP,2030,20-week-foresight,MW,346182.0,,CANO,NWPP,1302.6110658309303,265.76
GenX,8.0,CASO_to_NWPP,2030,20-week-foresight,MW,39.0,,CASO,NWPP,1859.1210098249192,0.0208118
GenX,9.0,CASO_to_SRSG,2030,20-week-foresight,MW,5091867.0,,CASO,SRSG,670.4280089248628,7594.95
GenX,10.0,FRCC_to_SRSE,2030,20-week-foresight,MW,2818242.0,,FRCC,SRSE,930.705776696937,3028.07
GenX,11.0,ISNE_to_NYCW,2030,20-week-foresight,MW,40243.0,,ISNE,NYCW,208.76319678780865,192.767
GenX,12.0,ISNE_to_NYUP,2030,20-week-foresight,MW,2381313.0,,ISNE,NYUP,422.4133412443229,5637.4
GenX,13.0,MISC_to_MISE,2030,20-week-foresight,MW,3809245.0,,MISC,MISE,993.3851724175372,3834.61
GenX,14.0,MISC_to_MISS,2030,20-week-foresight,MW,94.0,,MISC,MISS,1432.2313664952487,0.0654882
GenX,15.0,MISC_to_MISW,2030,20-week-foresight,MW,36.0,,MISC,MISW,1370.4981771620598,0.0265911
GenX,16.0,MISC_to_PJMC,2030,20-week-foresight,MW,1.0,,MISC,PJMC,626.2046711986147,0.00115359
GenX,17.0,MISC_to_PJMW,2030,20-week-foresight,MW,5491607.0,,MISC,PJMW,636.7767278564246,8624.07
GenX,18.0,MISC_to_SPPC,2030,20-week-foresight,MW,9928.0,,MISC,SPPC,696.0754685319118,14.2626
GenX,19.0,MISC_to_SPPN,2030,20-week-foresight,MW,4447.0,,MISC,SPPN,919.2234841721058,4.83782
GenX,20.0,MISC_to_SPPS,2030,20-week-foresight,MW,13645485.0,,MISC,SPPS,1164.3004320004338,11719.9
GenX,21.0,MISC_to_SRCE,2030,20-week-foresight,MW,59.0,,MISC,SRCE,807.5788459671032,0.0733056
GenX,22.0,MISE_to_MISW,2030,20-week-foresight,MW,322166.0,,MISE,MISW,1338.0895372438338,240.766
GenX,23.0,MISE_to_PJMW,2030,20-week-foresight,MW,77.0,,MISE,PJMW,672.2944948093907,0.115073
GenX,24.0,MISS_to_SPPC,2030,20-week-foresight,MW,5537336.0,,MISS,SPPC,1264.309793619994,4379.73
GenX,25.0,MISS_to_SPPS,2030,20-week-foresight,MW,18385548.0,,MISS,SPPS,1083.4402589451677,16969.6
GenX,26.0,MISS_to_SRCE,2030,20-week-foresight,MW,16.0,,MISS,SRCE,910.5740119711644,0.0172578
GenX,27.0,MISS_to_SRSE,2030,20-week-foresight,MW,8257074.0,,MISS,SRSE,825.7437764420143,9999.56
GenX,28.0,MISW_to_NWPP,2030,20-week-foresight,MW,8415.0,,MISW,NWPP,14040.700523946523,0.599319
GenX,29.0,MISW_to_PJMC,2030,20-week-foresight,MW,8399738.0,,MISW,PJMC,577.3769837220765,14548.1
GenX,30.0,MISW_to_SPPC,2030,20-week-foresight,MW,44636.0,,MISW,SPPC,1195.0293103479462,37.3518
GenX,31.0,MISW_to_SPPN,2030,20-week-foresight,MW,290.0,,MISW,SPPN,1014.1486283848258,0.286234
GenX,32.0,NWPP_to_RMRG,2030,20-week-foresight,MW,345651.0,,NWPP,RMRG,256.39318164425606,1348.13
GenX,33.0,NYCW_to_NYUP,2030,20-week-foresight,MW,20.0,,NYCW,NYUP,319.03239545042265,0.0626518
GenX,34.0,NYCW_to_PJME,2030,20-week-foresight,MW,278437.0,,NYCW,PJME,81.02077938846139,3436.61
GenX,35.0,NYUP_to_PJME,2030,20-week-foresight,MW,1440256.0,,NYUP,PJME,316.61636032760543,4548.9
GenX,36.0,PJMC_to_PJMW,2030,20-week-foresight,MW,4849502.0,,PJMC,PJMW,484.9526117173539,9999.95
GenX,37.0,PJMD_to_PJME,2030,20-week-foresight,MW,69446.0,,PJMD,PJME,139.26433395480618,498.666
GenX,38.0,PJMD_to_PJMW,2030,20-week-foresight,MW,17.0,,PJMD,PJMW,493.7545177764829,0.0343916
GenX,39.0,PJMD_to_SRCA,2030,20-week-foresight,MW,667.0,,PJMD,SRCA,525.2547915890101,1.27076
GenX,40.0,PJME_to_PJMW,2030,20-week-foresight,MW,6591663.0,,PJME,PJMW,482.9870637110515,13647.7
GenX,41.0,PJMW_to_SRCA,2030,20-week-foresight,MW,61.0,,PJMW,SRCA,900.2912298442393,0.0680723
GenX,42.0,PJMW_to_SRCE,2030,20-week-foresight,MW,62.0,,PJMW,SRCE,542.940224506259,0.113457
GenX,43.0,RMRG_to_SPPC,2030,20-week-foresight,MW,7082998.0,,RMRG,SPPC,936.6269837220768,7562.24
GenX,44.0,RMRG_to_SPPN,2030,20-week-foresight,MW,1204796.0,,RMRG,SPPN,780.5713741841813,1543.48
GenX,45.0,RMRG_to_SRSG,2030,20-week-foresight,MW,9340367.0,,RMRG,SRSG,1451.9389962866967,6433.03
GenX,46.0,SPPC_to_SPPN,2030,20-week-foresight,MW,184.0,,SPPC,SPPN,261.19343417595013,0.703221
GenX,47.0,SPPC_to_SPPS,2030,20-week-foresight,MW,1160.0,,SPPC,SPPS,455.0277413171593,2.54904
