model,zone,planning_year,case,unit,value,agg_zone
GenX,MISC,2035,full-base-200-retire,tons,4556230.0,MISO
GenX,MISE,2035,full-base-200-retire,tons,4488970.0,MISO
GenX,MISS,2035,full-base-200-retire,tons,6626780.0,MISO
GenX,MISW,2035,full-base-200-retire,tons,6101260.0,MISO
GenX,NWPP,2035,full-base-200-retire,tons,409359.0,WECC
GenX,NYCW,2035,full-base-200-retire,tons,1684570.0,NE
GenX,NYUP,2035,full-base-200-retire,tons,2140720.0,NE
GenX,PJMC,2035,full-base-200-retire,tons,2700280.0,PJM
GenX,PJMD,2035,full-base-200-retire,tons,2087780.0,PJM
GenX,PJME,2035,full-base-200-retire,tons,19381600.0,PJM
GenX,PJMW,2035,full-base-200-retire,tons,16676400.0,PJM
GenX,RMRG,2035,full-base-200-retire,tons,361617.0,WECC
GenX,SPPC,2035,full-base-200-retire,tons,385346.0,SPP
GenX,SPPN,2035,full-base-200-retire,tons,80851.0,SPP
GenX,SPPS,2035,full-base-200-retire,tons,2538280.0,SPP
GenX,SRCA,2035,full-base-200-retire,tons,4947460.0,SOU
GenX,SRCE,2035,full-base-200-retire,tons,4883030.0,MISO
GenX,SRSE,2035,full-base-200-retire,tons,6395390.0,SOU
GenX,SRSG,2035,full-base-200-retire,tons,2665150.0,WECC
GenX,TRE,2035,full-base-200-retire,tons,9162620.0,TRE
GenX,TREW,2035,full-base-200-retire,tons,1433300.0,TRE
GenX,BASN,2040,full-base-200-retire,tons,1952090.0,WECC
GenX,CANO,2040,full-base-200-retire,tons,1963810.0,CA
GenX,CASO,2040,full-base-200-retire,tons,2961360.0,CA
GenX,FRCC,2040,full-base-200-retire,tons,7192070.0,SOU
GenX,ISNE,2040,full-base-200-retire,tons,11332900.0,NE
GenX,MISC,2040,full-base-200-retire,tons,3458530.0,MISO
GenX,MISE,2040,full-base-200-retire,tons,3057930.0,MISO
GenX,MISS,2040,full-base-200-retire,tons,4323740.0,MISO
GenX,MISW,2040,full-base-200-retire,tons,4432560.0,MISO
GenX,NWPP,2040,full-base-200-retire,tons,541590.0,WECC
GenX,NYCW,2040,full-base-200-retire,tons,973812.0,NE
GenX,NYUP,2040,full-base-200-retire,tons,1485720.0,NE
GenX,PJMC,2040,full-base-200-retire,tons,1905630.0,PJM
GenX,PJMD,2040,full-base-200-retire,tons,1699110.0,PJM
GenX,PJME,2040,full-base-200-retire,tons,11384900.0,PJM
GenX,PJMW,2040,full-base-200-retire,tons,12411000.0,PJM
GenX,RMRG,2040,full-base-200-retire,tons,340143.0,WECC
GenX,SPPC,2040,full-base-200-retire,tons,290016.0,SPP
GenX,SPPN,2040,full-base-200-retire,tons,49868.0,SPP
GenX,SPPS,2040,full-base-200-retire,tons,1586150.0,SPP
GenX,SRCA,2040,full-base-200-retire,tons,3870260.0,SOU
GenX,SRCE,2040,full-base-200-retire,tons,3380980.0,MISO
GenX,SRSE,2040,full-base-200-retire,tons,5201200.0,SOU
GenX,SRSG,2040,full-base-200-retire,tons,1713450.0,WECC
GenX,TRE,2040,full-base-200-retire,tons,6159610.0,TRE
GenX,TREW,2040,full-base-200-retire,tons,880904.0,TRE
GenX,BASN,2045,full-base-200-retire,tons,1683050.0,WECC
GenX,CANO,2045,full-base-200-retire,tons,2173680.0,CA
GenX,CASO,2045,full-base-200-retire,tons,3201160.0,CA
GenX,FRCC,2045,full-base-200-retire,tons,7399620.0,SOU
GenX,ISNE,2045,full-base-200-retire,tons,11966200.0,NE
GenX,MISC,2045,full-base-200-retire,tons,3491490.0,MISO
GenX,MISE,2045,full-base-200-retire,tons,3014160.0,MISO
GenX,MISS,2045,full-base-200-retire,tons,4430900.0,MISO
GenX,MISW,2045,full-base-200-retire,tons,4221090.0,MISO
GenX,NWPP,2045,full-base-200-retire,tons,802143.0,WECC
GenX,NYCW,2045,full-base-200-retire,tons,1031990.0,NE
GenX,NYUP,2045,full-base-200-retire,tons,1543360.0,NE
GenX,PJMC,2045,full-base-200-retire,tons,1834730.0,PJM
GenX,PJMD,2045,full-base-200-retire,tons,1322260.0,PJM
GenX,PJME,2045,full-base-200-retire,tons,10330600.0,PJM
GenX,PJMW,2045,full-base-200-retire,tons,13268500.0,PJM
GenX,RMRG,2045,full-base-200-retire,tons,335044.0,WECC
GenX,SPPC,2045,full-base-200-retire,tons,280911.0,SPP
GenX,SPPN,2045,full-base-200-retire,tons,75421.0,SPP
GenX,SPPS,2045,full-base-200-retire,tons,1462030.0,SPP
GenX,SRCA,2045,full-base-200-retire,tons,4142640.0,SOU
GenX,SRCE,2045,full-base-200-retire,tons,3144880.0,MISO
GenX,SRSE,2045,full-base-200-retire,tons,5280400.0,SOU
GenX,SRSG,2045,full-base-200-retire,tons,1471540.0,WECC
GenX,TRE,2045,full-base-200-retire,tons,6156650.0,TRE
GenX,TREW,2045,full-base-200-retire,tons,827620.0,TRE
GenX,BASN,2050,full-base-200-retire,tons,1527670.0,WECC
GenX,CANO,2050,full-base-200-retire,tons,2041730.0,CA
GenX,CASO,2050,full-base-200-retire,tons,2962160.0,CA
GenX,FRCC,2050,full-base-200-retire,tons,7094800.0,SOU
GenX,ISNE,2050,full-base-200-retire,tons,11502000.0,NE
GenX,MISC,2050,full-base-200-retire,tons,3509940.0,MISO
GenX,MISE,2050,full-base-200-retire,tons,2922640.0,MISO
GenX,MISS,2050,full-base-200-retire,tons,4258360.0,MISO
GenX,MISW,2050,full-base-200-retire,tons,4068930.0,MISO
GenX,NWPP,2050,full-base-200-retire,tons,853515.0,WECC
GenX,NYCW,2050,full-base-200-retire,tons,975945.0,NE
GenX,NYUP,2050,full-base-200-retire,tons,1445710.0,NE
GenX,PJMC,2050,full-base-200-retire,tons,1727810.0,PJM
GenX,PJMD,2050,full-base-200-retire,tons,1035680.0,PJM
GenX,PJME,2050,full-base-200-retire,tons,10043000.0,PJM
GenX,PJMW,2050,full-base-200-retire,tons,13312700.0,PJM
GenX,RMRG,2050,full-base-200-retire,tons,305411.0,WECC
GenX,SPPC,2050,full-base-200-retire,tons,249179.0,SPP
GenX,SPPN,2050,full-base-200-retire,tons,60906.0,SPP
GenX,SPPS,2050,full-base-200-retire,tons,1327910.0,SPP
GenX,SRCA,2050,full-base-200-retire,tons,4123430.0,SOU
GenX,SRCE,2050,full-base-200-retire,tons,2835150.0,MISO
GenX,SRSE,2050,full-base-200-retire,tons,5041580.0,SOU
GenX,SRSG,2050,full-base-200-retire,tons,1315860.0,WECC
GenX,TRE,2050,full-base-200-retire,tons,5906180.0,TRE
GenX,TREW,2050,full-base-200-retire,tons,758223.0,TRE
SWITCH,BASN,2027,full-base-200-retire,kg,43308579.513,WECC
SWITCH,CANO,2027,full-base-200-retire,kg,19026914.012,CA
SWITCH,CASO,2027,full-base-200-retire,kg,21724398.284,CA
SWITCH,FRCC,2027,full-base-200-retire,kg,75511706.604,SOU
SWITCH,ISNE,2027,full-base-200-retire,kg,32617544.824,NE
SWITCH,MISC,2027,full-base-200-retire,kg,46974172.233,MISO
SWITCH,MISE,2027,full-base-200-retire,kg,26885092.58,MISO
SWITCH,MISS,2027,full-base-200-retire,kg,54197433.948,MISO
SWITCH,MISW,2027,full-base-200-retire,kg,43584363.323,MISO
SWITCH,NWPP,2027,full-base-200-retire,kg,9579692.163,WECC
SWITCH,NYCW,2027,full-base-200-retire,kg,22300696.231,NE
SWITCH,NYUP,2027,full-base-200-retire,kg,13913616.831,NE
SWITCH,PJMC,2027,full-base-200-retire,kg,13498955.17,PJM
SWITCH,PJMD,2027,full-base-200-retire,kg,12794480.43,PJM
SWITCH,PJME,2027,full-base-200-retire,kg,65602050.334,PJM
SWITCH,PJMW,2027,full-base-200-retire,kg,82160135.085,PJM
SWITCH,RMRG,2027,full-base-200-retire,kg,9712115.143,WECC
SWITCH,SPPC,2027,full-base-200-retire,kg,22198675.754,SPP
SWITCH,SPPN,2027,full-base-200-retire,kg,12467979.562,SPP
SWITCH,SPPS,2027,full-base-200-retire,kg,17962937.04,SPP
SWITCH,SRCA,2027,full-base-200-retire,kg,30560402.701,SOU
SWITCH,SRCE,2027,full-base-200-retire,kg,32259075.989,MISO
SWITCH,SRSE,2027,full-base-200-retire,kg,48280375.874,SOU
SWITCH,SRSG,2027,full-base-200-retire,kg,39912984.567,WECC
SWITCH,TRE,2027,full-base-200-retire,kg,68348030.233,TRE
SWITCH,TREW,2027,full-base-200-retire,kg,7617591.573,TRE
SWITCH,BASN,2030,full-base-200-retire,kg,3443719.262,WECC
SWITCH,CANO,2030,full-base-200-retire,kg,3677456.297,CA
SWITCH,CASO,2030,full-base-200-retire,kg,7290990.396,CA
SWITCH,FRCC,2030,full-base-200-retire,kg,9843484.382,SOU
SWITCH,ISNE,2030,full-base-200-retire,kg,9300202.04,NE
SWITCH,MISC,2030,full-base-200-retire,kg,6587106.743,MISO
