case,planning_year,tech_type,agg_zone,end_value
20-week-foresight,2035,Battery,NE,1758.3
20-week-foresight,2035,Battery,PJM,262.0
20-week-foresight,2035,Battery,SOU,919.3
20-week-foresight,2035,Battery,SPP,376.7
20-week-foresight,2035,Battery,TRE,4663.0
20-week-foresight,2035,Battery,WECC,3464.7
20-week-foresight,2035,CCS,CA,11513.7
20-week-foresight,2035,CCS,MISO,40671.7
20-week-foresight,2035,CCS,NE,
20-week-foresight,2035,CCS,PJM,42787.7
20-week-foresight,2035,CCS,SOU,41982.7
20-week-foresight,2035,CCS,SPP,284.0
20-week-foresight,2035,CCS,TRE,18250.3
20-week-foresight,2035,CCS,WECC,130.0
20-week-foresight,2035,Coal,CA,0.0
20-week-foresight,2035,Coal,MISO,41561.0
20-week-foresight,2035,Coal,NE,0.0
20-week-foresight,2035,Coal,PJM,21756.0
20-week-foresight,2035,Coal,SOU,22741.3
20-week-foresight,2035,Coal,SPP,17869.0
20-week-foresight,2035,Coal,TRE,10731.0
20-week-foresight,2035,Coal,WECC,13727.7
20-week-foresight,2035,Distributed Solar,CA,15733.7
20-week-foresight,2035,Distributed Solar,MISO,16445.7
20-week-foresight,2035,Distributed Solar,NE,8651.3
20-week-foresight,2035,Distributed Solar,PJM,20080.7
20-week-foresight,2035,Distributed Solar,SOU,13536.0
20-week-foresight,2035,Distributed Solar,SPP,3750.0
20-week-foresight,2035,Distributed Solar,TRE,8597.3
20-week-foresight,2035,Distributed Solar,WECC,9887.0
20-week-foresight,2035,Geothermal,CA,24.0
20-week-foresight,2035,Geothermal,MISO,
20-week-foresight,2035,Geothermal,NE,
20-week-foresight,2035,Geothermal,PJM,
20-week-foresight,2035,Geothermal,SOU,
20-week-foresight,2035,Geothermal,SPP,
20-week-foresight,2035,Geothermal,TRE,
20-week-foresight,2035,Geothermal,WECC,567.0
20-week-foresight,2035,Hydro,CA,12084.0
20-week-foresight,2035,Hydro,MISO,10083.7
20-week-foresight,2035,Hydro,NE,7822.0
20-week-foresight,2035,Hydro,PJM,7513.7
20-week-foresight,2035,Hydro,SOU,9418.0
20-week-foresight,2035,Hydro,SPP,5130.7
20-week-foresight,2035,Hydro,TRE,492.7
20-week-foresight,2035,Hydro,WECC,39220.0
20-week-foresight,2035,Hydrogen,CA,19.5
20-week-foresight,2035,Hydrogen,MISO,56.0
20-week-foresight,2035,Hydrogen,NE,53.0
20-week-foresight,2035,Hydrogen,PJM,43.0
20-week-foresight,2035,Hydrogen,SOU,36.0
20-week-foresight,2035,Hydrogen,SPP,36.0
20-week-foresight,2035,Hydrogen,TRE,25.0
20-week-foresight,2035,Hydrogen,WECC,51.5
20-week-foresight,2035,Natural Gas CC,CA,21031.3
20-week-foresight,2035,Natural Gas CC,MISO,57421.7
20-week-foresight,2035,Natural Gas CC,NE,36172.0
20-week-foresight,2035,Natural Gas CC,PJM,58661.0
20-week-foresight,2035,Natural Gas CC,SOU,62217.7
20-week-foresight,2035,Natural Gas CC,SPP,11249.3
20-week-foresight,2035,Natural Gas CC,TRE,40238.7
20-week-foresight,2035,Natural Gas CC,WECC,29709.7
20-week-foresight,2035,Natural Gas CT,CA,12552.7
20-week-foresight,2035,Natural Gas CT,MISO,34760.7
20-week-foresight,2035,Natural Gas CT,NE,4061.0
20-week-foresight,2035,Natural Gas CT,PJM,31622.3
20-week-foresight,2035,Natural Gas CT,SOU,31973.0
20-week-foresight,2035,Natural Gas CT,SPP,10769.3
20-week-foresight,2035,Natural Gas CT,TRE,12354.0
20-week-foresight,2035,Natural Gas CT,WECC,9352.7
20-week-foresight,2035,Nuclear,CA,4.5
20-week-foresight,2035,Nuclear,MISO,20327.3
20-week-foresight,2035,Nuclear,NE,6719.3
20-week-foresight,2035,Nuclear,PJM,33769.0
20-week-foresight,2035,Nuclear,SOU,23931.7
20-week-foresight,2035,Nuclear,SPP,2030.0
20-week-foresight,2035,Nuclear,TRE,5123.3
20-week-foresight,2035,Nuclear,WECC,5182.3
20-week-foresight,2035,Solar,CA,48619.3
20-week-foresight,2035,Solar,MISO,87395.0
20-week-foresight,2035,Solar,NE,17402.3
20-week-foresight,2035,Solar,PJM,97989.0
20-week-foresight,2035,Solar,SOU,97337.3
20-week-foresight,2035,Solar,SPP,32018.0
20-week-foresight,2035,Solar,TRE,35417.0
20-week-foresight,2035,Solar,WECC,56845.0
20-week-foresight,2035,Wind,CA,7351.7
20-week-foresight,2035,Wind,MISO,146632.3
20-week-foresight,2035,Wind,NE,43702.3
20-week-foresight,2035,Wind,PJM,45918.7
20-week-foresight,2035,Wind,SOU,28604.3
20-week-foresight,2035,Wind,SPP,112311.0
20-week-foresight,2035,Wind,TRE,99040.3
20-week-foresight,2035,Wind,WECC,133755.3
20-week-foresight,2040,Battery,CA,1640.0
20-week-foresight,2040,Battery,MISO,403.0
20-week-foresight,2040,Battery,NE,7668.0
20-week-foresight,2040,Battery,PJM,2285.3
20-week-foresight,2040,Battery,SOU,349.5
20-week-foresight,2040,Battery,SPP,236.0
20-week-foresight,2040,Battery,TRE,138.5
20-week-foresight,2040,Battery,WECC,678.7
20-week-foresight,2040,CCS,CA,22336.0
20-week-foresight,2040,CCS,MISO,56432.3
20-week-foresight,2040,CCS,NE,
20-week-foresight,2040,CCS,PJM,58763.0
20-week-foresight,2040,CCS,SOU,53735.3
20-week-foresight,2040,CCS,SPP,476.0
20-week-foresight,2040,CCS,TRE,22278.3
