Constraint,CapRes_1,CapRes_2,CapRes_3
t73,3.918497230749146e-12,4.307707336784408e-12,6.276748161182382e-13
t74,4.01237900182262e-12,4.215934058965582e-12,6.032195948827632e-13
t75,3.3657967941107202e-12,4.015529112372061e-12,5.389297028438545e-13
t76,3.242309895280656e-12,4.016594212389022e-12,1.4424868275272213e-13
t77,3.2182379069225387e-12,4.457984787007225e-12,-5.6020780927638034e-12
t78,3.284749203225466e-12,4.597454982678272e-12,5.822620865106761e-13
t79,3.3765778253749855e-12,3.3578274187901255e-12,5.561251820497147e-13
t80,3.6611725360624575e-12,2.9208651495757467e-12,5.408318697730801e-13
t81,3.78077561026784e-12,4.987538097653483e-12,7.252065214086947e-13
t82,3.825986461053166e-12,4.148623986004326e-12,6.509035927121275e-13
t83,4.025705021275791e-12,7.545341764227634e-12,6.78154596492393e-13
t84,4.144349418879121e-12,6.346360259623536e-12,6.784320623558179e-13
t85,4.305179302392703e-12,6.947915922876342e-12,6.701274374022612e-13
t86,4.204115276028526e-12,6.0757392243427695e-12,6.903799719366885e-13
t87,4.250443866459713e-12,5.736429584810301e-12,6.591232524668323e-13
t88,4.252204938431107e-12,5.972162228060256e-12,7.470615457737416e-13
t89,4.2752827057009355e-12,5.99751293630368e-12,7.217092018042397e-13
t90,4.236734433586427e-12,5.552203921329458e-12,7.683569780171342e-13
t91,4.415685162557616e-12,6.2667062112990585e-12,8.299756530242964e-13
t92,4.247875705457533e-12,4.16469883301106e-12,3.3071203322072323e-12
t93,4.1993647999355065e-12,4.896746804706999e-12,4.329786749647733e-12
t94,4.194425532945823e-12,4.8706602731795725e-12,7.438901492831793e-13
t95,4.046129091368605e-12,4.669010165073405e-12,6.976201901769826e-13
t96,3.7364320241041796e-12,4.402611408760692e-12,6.463898926778146e-13
t97,4.746990508053748e-12,6.455892367310228e-12,1.201861842846293e-12
t98,4.596595826185501e-12,6.22096351254227e-12,1.0359474331888794e-12
t99,4.621836770978548e-12,5.9174218671913814e-12,1.0305141336872507e-12
t100,4.5152636540632335e-12,5.608342070157276e-12,1.0690633480009018e-12
t101,4.634600233350458e-12,5.8697888571153785e-12,1.1731539665993819e-12
t102,4.808913639303874e-12,6.184121568490718e-12,1.3240180514798396e-12
t103,4.993847249617603e-12,6.22344686252282e-12,1.4380737791606029e-12
t104,5.277532888211428e-12,6.543424205014139e-12,1.5885909318487181e-12
t105,5.64978233050059e-12,7.72190929474034e-12,1.7011563203897413e-12
t106,5.503014905646661e-12,9.652795961585534e-12,1.370601501275376e-12
t107,5.555396121046508e-12,9.520873485205471e-12,1.0878042344012095e-12
t108,5.6572588951464966e-12,9.641712887640192e-12,1.0563848775191385e-12
t109,5.7589659910889155e-12,9.437203710340245e-12,9.908997083664421e-13
t110,5.194376837364593e-12,1.0083024207464656e-11,9.830679185107863e-13
t111,5.343163834395981e-12,9.27883650916436e-12,9.358373003949877e-13
t112,4.878481231309162e-12,8.89173476096114e-12,9.3520608622084e-13
t113,5.4294616929237295e-12,8.993599081492746e-12,9.82202447581378e-13
t114,6.606044878469891e-12,8.7799838945949e-12,1.6712130572062334e-12
t115,6.867292273874723e-12,9.161594617022618e-12,1.6883731954860082e-12
t116,6.543321846240334e-12,8.492833276169925e-12,1.602334305884803e-12
t117,6.318178402299022e-12,7.350759970687682e-12,1.53659515068611e-12
t118,5.966424576704728e-12,7.911250288028363e-12,2.0590930851059996e-12
t119,5.681146834946132e-12,6.901993923384818e-12,1.4249412112679628e-12
t120,5.397797808876154e-12,6.389238232332098e-12,2.237431186589374e-12
t121,5.015599609813685e-12,5.848733598411895e-12,1.1329035174540224e-12
t122,4.620526934118292e-12,5.5890807938700685e-12,1.0605899515169376e-12
t123,4.709524326757203e-12,5.578308032561971e-12,9.570051245091834e-13
t124,4.616328038072129e-12,5.591232550582361e-12,3.610408047816663e-13
t125,4.59180326721484e-12,5.651873260637472e-12,1.0794521083883291e-12
t126,4.631247903608278e-12,5.768008880771912e-12,1.2168184400131217e-12
t127,4.840581284512381e-12,6.234783256355504e-12,1.4465790016974454e-12
t128,5.183085246366045e-12,7.563203300250463e-12,1.6212407039778026e-12
t129,5.432679028902867e-12,8.514595549609635e-12,1.314474105872868e-12
t130,5.612613413213138e-12,5.4902824869835684e-12,8.388963778006068e-13
t131,5.428368711342122e-12,5.155768996499601e-12,8.278168196171478e-13
t132,5.2659031052371626e-12,5.297825586598956e-12,8.063257431792987e-13
t133,5.139192041094068e-12,5.168107948156348e-12,7.256396473090474e-13
t134,4.970450786758564e-12,5.352707222069116e-12,6.990352817727667e-13
t135,5.040365446352569e-12,4.951346881395751e-12,7.094973758476028e-13
t136,4.8893044634478415e-12,4.5016517645654535e-12,7.136735813051917e-13
t137,5.336990268254759e-12,6.387971825231056e-12,7.371148518133304e-13
t138,5.790291555947536e-12,7.343717197378843e-12,1.0502372033267423e-12
t139,5.962795313975101e-12,7.617965474422867e-12,1.063691202338416e-12
t140,5.667987683878899e-12,7.179242867520599e-12,1.0187573585502716e-12
t141,5.444821131774092e-12,6.495689303095612e-12,1.0031653817567376e-12
t142,5.26144621164499e-12,6.082883275074156e-12,9.731264338756806e-13
t143,5.019226500548408e-12,5.984032210152504e-12,9.305210956367362e-13
t144,4.7036470330073175e-12,5.838826507043521e-12,8.619090363022895e-13
t145,4.648497608514829e-12,5.566821350164016e-12,7.538802145222664e-13
t146,4.542268519063838e-12,4.547939587092134e-12,7.049011469447773e-13
t147,4.550629350507327e-12,3.918209728737055e-12,6.712370807389238e-13
t148,4.5427216450788905e-12,3.7369438516195605e-12,6.626572801188513e-13
t149,4.434570966652404e-12,3.750995575177482e-12,6.729414061447445e-13
t150,4.432049012656151e-12,4.113803351608154e-12,7.272322346153191e-13
t151,4.516443952651078e-12,4.462651352916874e-12,7.880473972154912e-13
t152,4.668947197824501e-12,5.371931194087082e-12,8.970511561495526e-13
t153,4.670362599866128e-12,5.570173630519621e-12,8.832308249791029e-13
t154,4.7981914858740576e-12,4.3448374164687e-12,7.779023903021953e-13
t155,4.9181263993898785e-12,4.378514312236463e-12,7.77160460996717e-13
t156,5.02773490650452e-12,4.395374086467657e-12,7.404356496008533e-13
t157,4.7690659525331256e-12,4.477555285150281e-12,6.898078138799341e-13
t158,4.679499503701451e-12,4.421187690072576e-12,6.580264630497287e-13
t159,4.7394589963700874e-12,4.218978587000177e-12,6.428482526734647e-13
t160,4.750189990829465e-12,4.024472498847901e-12,6.585140100168304e-13
t161,5.019103039453197e-12,4.184137023002342e-12,6.729991970400855e-13
t162,5.126972238035108e-12,5.934589485568052e-12,9.087493361172759e-13
t163,5.484245852621048e-12,7.189853045336996e-12,9.329573006441763e-13
t164,5.418920943864055e-12,6.621733811812205e-12,9.42078633960147e-13
t165,5.347767079069209e-12,6.974802931926612e-12,8.930898725056257e-13
t166,5.093097783252909e-12,6.590555476153648e-12,8.678346228084738e-13
t167,4.990281663233501e-12,5.973332038136871e-12,8.350784960388704e-13
t168,4.6102729006794626e-12,5.192514454054959e-12,7.984928234964176e-13
t169,4.498228754627953e-12,4.586734505931735e-12,7.455569712324588e-13
t170,4.4095038760110614e-12,4.130624448318613e-12,7.163352875026086e-13
t171,4.3838649673411544e-12,3.858979576728892e-12,7.293469490781102e-13
t172,4.395103961731889e-12,4.438025875016102e-12,7.423603006136894e-13
t173,4.484708272212576e-12,4.927711360441339e-12,7.56428958314919e-13
t174,4.541002757867879e-12,4.843659013455259e-12,7.726663019290977e-13
t175,4.640982695431886e-12,4.9748128729862194e-12,-4.611770932525443e-12
t176,4.561377404067432e-12,5.122377019843005e-12,-2.862233617004929e-14
t177,4.734495162593781e-12,4.7161370727207495e-12,8.940500961184768e-13
t178,4.935215513107552e-12,4.03469820574664e-12,7.589574292200471e-13
t179,4.699899968566542e-12,4.3019000427132655e-12,7.211819576558621e-13
t180,4.9651665138402615e-12,4.3155045128652924e-12,7.253648892805686e-13
t181,4.863021467659295e-12,4.450609737801624e-12,7.553879087276554e-13
t182,4.853804240109097e-12,4.4974489251769405e-12,7.434208677569577e-13
t183,4.884511309273113e-12,4.4501169981997815e-12,6.964224904307112e-13
t184,4.767557656093913e-12,4.215488625266817e-12,6.966981106487327e-13
t185,4.877396277266662e-12,6.11094759073465e-12,7.755959742401835e-13
t186,5.31616490191539e-12,7.152001313937577e-12,1.2335694937652732e-12
t187,5.803691751586395e-12,8.095347800407702e-12,1.4462205458111594e-12
t188,5.614973358230625e-12,7.88168910263744e-12,1.4454059211067925e-12
t189,5.5429691370104655e-12,7.871718569160044e-12,1.4294043448433702e-12
t190,5.343399847711529e-12,7.425142423135821e-12,1.3931185826232269e-12
t191,5.039358467086149e-12,6.8868193495972535e-12,1.2516081127008652e-12
t192,4.518713538108827e-12,6.072446862256949e-12,1.0364302781993458e-12
t193,1.4677794988078636e-11,0.0038684785371579603,5.296120924249324e-12
t194,9.935691213408348e-12,2.477604706557196e-11,3.709202559151792e-12
t195,8.66556405723909e-12,1.7454940320820928e-11,-1.5549246986621746e-12
t196,8.41196354900736e-12,1.0492377167004699e-11,-1.5779487003979112e-12
t197,8.636684103614467e-12,1.0262369920101114e-11,4.439195893755979e-12
t198,8.38721849763594e-12,1.2881275250977722e-11,1.4894879501030938e-12
t199,8.022426352571978e-12,9.845969926362639e-12,2.6777197804949797e-12
t200,8.43284667490761e-12,2.1674027706890185e-11,-1.9102102591688455e-12
t201,7.954706937195931e-12,4.3996338797139683e-11,9.450350100048643e-13
t202,8.312084761968203e-12,1.3259161435234455e-10,-1.790467540282828e-12
t203,1.3496610317725426e-11,1.3463784763155027e-10,1.66910456136143e-12
t204,1.755242173955908e-11,2.2827130744017467e-10,2.1024317460973523e-12
t205,2.095570784695229e-11,2.920758403642072e-10,4.174333698532114e-12
t206,2.2096223980633377e-11,2.5512289044633357e-10,8.8133170925852e-12
t207,2.879836324218701e-11,4.835592629693803e-10,2.5610769055339114e-11
t208,3.769128036952156e-11,0.0024821458213197547,1.8740947500216953e-11
t209,1.2025578832273217e-10,0.016085707215259024,3.52194979146992e-11
t210,0.017206059945468866,0.016085708244835215,1.7046688847445878e-11
t211,0.01720606004454439,2.2337817431201113e-8,1.866503312006099e-11
t212,0.017206059851555076,1.1944528602076789e-10,1.0563752984781098e-11
t213,0.017206059863627696,6.480806998488467e-11,2.125612471882869e-11
t214,0.0172060598748681,7.63294403246231e-11,3.9232807347685925e-12
t215,0.017206059433071432,4.400544747190053e-11,2.698705231950382e-12
t216,2.0473486740401528e-10,5.0419180262702e-11,1.4779620172903579e-12
t217,2.005064707127569e-11,1.923666376631464e-11,2.449293310238308e-12
t218,7.7669836907217e-12,1.7450286553350993e-11,-2.3580971267322186e-12
t219,7.142415288454841e-12,1.611803218888299e-11,1.5131241483292584e-12
t220,6.759892309407569e-12,1.7245177376348544e-11,-4.365287093837296e-12
t221,6.780696085967857e-12,1.575386025159756e-11,-4.763515864887021e-12
t222,6.641089509094654e-12,2.0325547147280565e-11,3.315195911596455e-12
t223,5.930940260446012e-12,1.5408726366219433e-11,-5.536455417653e-13
t224,6.335211522361214e-12,3.444159430673187e-11,1.2364887897040503e-13
t225,8.595200332440744e-12,5.909756712567269e-11,3.963391658408704e-12
t226,1.352714400643301e-11,1.3841434896587876e-10,3.214991394621917e-12
t227,1.9207128284336244e-11,8.821385092557381e-10,1.8247175737633627e-12
t228,2.993495582530712e-11,0.005562798752790053,3.5142585797594668e-12
t229,2.9457705040638816e-11,0.005562799903001925,1.0460144041792208e-11
t230,2.991126411505322e-11,0.005562799597484208,9.244913155652062e-12
t231,2.8370358944349642e-11,2.4382518534166452e-9,9.543617234823654e-12
t232,1.924479528963781e-11,2.960530615636842e-10,5.459693767154961e-12
t233,1.493462662973573e-11,1.819501850731408e-10,9.94001630128055e-12
t234,4.047686343106789e-11,0.01294723701348206,2.414577913782232e-11
t235,0.017206059895200188,0.016085695484169594,9.499161423277717e-11
t236,0.017206060000758704,1.2155940482141212e-10,9.234061539793162e-12
t237,0.01720605979277119,1.2258062877355863e-10,1.3241602770838309e-11
t238,0.012121693691973502,4.79742294960911e-10,4.101482194588004e-12
t239,4.71144495762057e-11,2.4269425086110564e-10,2.5841055371536705e-12
