Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Total
t46,0.0,24.21992874789003,15.059952245922144,0.5007280887782101,10.421992991102506,18.923857633328957,23.25805398710739,19.11626699132668,38.66466327785585,54.17997753115591,56.32295881061683,29.314742415821527,39.98556016333878,10.938322807847404,1.728288759172204e-5,17.85214202291658,19.619984068336457,378.37914906623286
t47,0.0,24.219928755425023,15.059960623100077,0.707902332417233,10.421992881652045,18.3455963615217,21.621374036554815,20.046855664478606,33.75611185528952,54.17997736911726,56.32295285189442,24.217749141986808,34.51343197870309,12.267690608164452,1.728136218817016e-5,15.379750306134824,19.61998386924612,360.68127591704825
t48,0.0,24.21992852178289,15.059962510942634,0.7844712440808318,10.421992837921161,18.099788563118967,20.428474431422657,15.436872041880777,25.31236735931153,54.179977056145994,56.32294985007314,15.778888791790745,29.357289606895588,13.9339521263551,1.728787838894113e-5,11.231997103317095,19.619983851899704,330.1889131848172
t49,0.0,22.30054386600961,3.776949192299633e-5,2.3230586657853318e-5,4.774064515439028,6.924140865532115e-5,0.1727216528071837,16.791283343171752,10.265508149235671,44.38688772380095,52.61809217625405,2.2820767407276504e-5,22.108511725700872,8.724390193098692,1.7727672828394597e-5,19.403995859866246,1.754230080810162e-5,201.54618753761235
t50,0.0,17.596419962297364,3.986737868946224e-5,2.645991383054906e-5,4.433776095707079,1.7241199791697208,5.0865960833538365e-5,14.42365043077485,19.680515832449153,32.35085994200157,48.61468415722067,2.5957824497718985e-5,16.528695373407505,7.695388233078683,2.2793294607460565e-5,19.403997114549075,0.4788844240165547,182.9311574890447
t51,0.0,13.366873275048118,3.998916855630167e-5,2.889709907230805e-5,3.9925079433086457,1.982116919164268,4.8153609784778937e-5,13.75857922910155,16.53510116813528,19.526344852622454,16.991934420774765,2.568724757718984e-5,9.575136788278321,6.732907470772416,2.2866867139526153e-5,19.40399685904481,0.5624341381967214,122.42809865843948
t52,0.0,17.893668401696562,4.965052655794116e-5,3.010181654071636e-5,4.1114160720332835,0.00010325826832165993,0.0028205339472800726,12.033312658731417,18.529447221924617,15.172150404720387,19.798608002452934,2.5699498934832396e-5,8.21928399896556,5.842526998483738,2.2943375273210277e-5,19.40399682665233,0.5864960687742508,121.59395884186799
t53,0.0,24.21990612742783,4.729104306669366,4.991786624370095e-5,5.148609674385851,0.00011048155220859344,0.003151843372364713,12.258507712784608,21.8956410977731,20.357372522494252,35.38745682841335,2.590110605917023e-5,11.015977427946746,5.497397879716325,2.2948889836452828e-5,19.40399679354632,0.5786368294784735,160.49596829342295
t54,0.0,24.21992329884633,15.05996055773934,12.689058228161784,6.360532478187785,0.00010706926092315673,4.16302675340276,11.738079525780858,20.86951911496211,40.10673642584584,56.30680352833781,2.8235716839513238e-5,18.389022625424875,8.875302976918624,2.2816433618416682e-5,19.40399708901857,0.440812060555168,238.6229327845932
t55,0.0,24.21992412894565,15.059962006216734,11.101481508785351,10.421998558172557,13.893799230194377,11.651334496785049,11.900059984198988,20.65326753644658,51.77575868938802,56.32298142334684,2.594043221782995e-5,24.49420914070615,8.6756768285888,2.0055191564352075e-5,19.403997512128978,10.4335512184858,290.0080482580136
t56,0.0,24.21990953333153,10.121100748877485,4.436313904289129e-5,8.282881836816875,7.404778851840695e-5,10.452868164879632,12.796005669567082,18.994631672003667,45.15896058160958,0.0030684531003100546,2.5687472146464676e-5,33.336015131478966,4.554830503257087,1.9497668017856936e-5,19.40399745105943,0.000716938647206035,187.32515028069656
t57,0.0,7.728493189412487e-5,3.313199654608894e-5,2.936223022928577e-5,5.8685767015457255,0.000112189061190261,4.0685467208464265,9.844530286164359,1.261122249841419,47.35279792101805,10.574956349888861,3.039848126966725e-5,31.873903481124977,4.30031980206299,2.3486214184146322e-5,19.40399850434889,19.619992853786275,154.16905072354328
t58,0.0,16.99031719958046,9.72130673518916,15.02352506397295,10.421930311177142,25.399996613721534,24.69999826031251,17.69457346465586,55.03670958101316,47.81258562652165,39.382289310207106,44.68630355043693,41.08017453638842,17.94825342680605,1.1528229340559426,13.108597732403602,14.986226691914242,395.1456110383568
t59,0.0,19.93876211129144,10.594505212611152,15.001894106520146,10.421938663010696,25.39999674646102,24.69999834187944,18.936892900810424,56.237709455783886,47.76081897855702,43.4955606494641,44.82418401553372,40.59739681912661,18.8742717840331,1.2087582921184612,13.339996067742286,15.030010065977091,406.36269421092067
t60,0.0,22.918308374294835,13.295988635299118,14.584766229813171,10.421942237043226,25.399996944663844,24.699998485876097,21.17880497754541,57.14999320491362,47.75658125833372,52.665781293629,44.757995213851736,39.8104334044229,20.222604961806827,1.3999965991576728,13.92210308435879,14.151854048825664,424.33714895383565
t61,0.0,24.188395671627827,15.015662954287183,14.585782439278498,10.421942443402942,25.39999701484629,24.699998519594107,21.4218257296086,64.78139696971577,53.357728928930506,56.24610384347846,53.47446632660496,48.351929400885524,20.88284708029057,1.6723375202985478,14.533562732609331,14.051160257163337,463.0851378326224
