Resource,NENG_Rest_hydroelectric_pumped_storage_1,NY_Z_A_hydroelectric_pumped_storage_1,NY_Z_F_hydroelectric_pumped_storage_1,PJM_EMAC_hydroelectric_pumped_storage_1,PJM_Rest_hydroelectric_pumped_storage_1,NENG_Rest_battery_advanced_0,NY_Z_A_battery_advanced_0,NY_Z_B_battery_advanced_0,NY_Z_C&E_battery_advanced_0,NY_Z_D_battery_advanced_0,NY_Z_F_battery_advanced_0,NY_Z_G-I_battery_advanced_0,NY_Z_J_battery_advanced_0,NY_Z_K_battery_advanced_0,PJM_EMAC_battery_advanced_0,PJM_Rest_battery_advanced_0,Total
t34,-4.366500808994602e-5,1.925390190951848e-7,9.915870264106142e-6,0.0010056835286371122,0.0001401036336352666,-0.0004760936946441159,-4.964639820377488e-7,-7.466503589737022e-8,-8.695787169661917e-5,-8.655337867672966e-5,-7.606898714911014e-5,-7.605373236338569e-5,-7.974334885876848e-5,0.00013027641242804606,0.003492795774896079,8.805681883453244e-5,0.003941317427217627
t35,-4.959386406209259e-5,1.2548603059091514e-7,-8.069577881285371e-9,0.0008089856226249487,0.0024117186889301284,-0.0003558459649868257,4.88299536519076e-5,4.870401307015088e-5,-1.4084023497828355e-5,-1.4112676033851564e-5,6.48626523177322e-6,6.048822112981856e-6,-4.7455435898800225e-6,0.0013189549826367695,0.0018232585755692716,0.002129093856644127,0.008163816124754291
t36,-5.821657172251969e-5,9.304529573620732e-8,-1.5470931317673441e-9,0.000677630178968949,0.0013586294807249575,-0.0002865611745789752,0.00029939925420744546,0.0002994933009654532,1.426449079156547e-5,1.4045161612280365e-5,0.00026076293370162724,0.00025699606193163685,0.0006232599580198437,0.0006313384622880177,0.0013210711677055316,0.0008063750794420461,0.006218579282260463
t37,-5.390979381761925e-5,8.784677008450161e-8,3.1094507067747065e-8,0.0005835518461625675,0.001003414500903433,-0.00020159240309369796,0.00013206261381509056,0.00013273347910720262,0.0002417788660387156,0.00024117886029555958,0.00012451762179850772,0.00012313495235589562,0.00032420210585883716,0.00039901164278175627,0.0010464690446216668,0.0005840567240510436,0.004680729002156111
t38,-5.2395941399586326e-5,8.148402784945198e-8,8.742496578902358e-6,0.0005111907543432246,0.0008103738945217203,-0.00016979420809471154,8.310736008903117e-5,8.39463106621328e-5,0.00011877275646218241,0.00011947895995490793,0.0003022526199226606,0.000302617350353235,0.00021506940156824667,0.00029472219440687604,0.0008787618816559947,0.00045675337752953054,0.003963680692582197
t39,-5.145359557884306e-5,6.878095604170707e-8,9.270587348890318e-5,0.0004512200431472935,0.0006819361644224554,-0.00014979957327789637,5.538707408178153e-5,5.584741516040291e-5,4.934252871978173e-5,5.135396253028002e-5,0.00016898681308372292,0.00017006363635270995,0.00013674678569082036,0.0002729968816963323,0.0007570003755213448,0.00037099973025894295,0.003113402896254074
t40,-4.916471482559939e-5,5.5197798486673584e-8,8.115280617820122e-5,0.0004019498767778423,0.0005473056867801083,-0.00013908068207424206,3.74606982466313e-5,3.720800897223082e-5,0.0010909050256006894,0.0011246216328460927,0.00010429835930316755,0.00010495464192275689,8.445413225871975e-5,0.00020009218505053796,0.000665856126199134,0.00026381174833715496,0.004555880729371912
t41,-7.120712732907571e-5,0.0022104730266251397,0.00012341358793908536,0.0003658641628293677,0.0002729247577881583,-8.767221074406777e-5,0.000827278096022357,0.0008007525015372006,0.0005882436903328724,0.0006080563962353383,7.070129146429688e-5,7.068086020987617e-5,5.6466662621921624e-5,0.00018516659245153969,0.0005907357708997096,0.00022544724579309346,0.006837325304676813
t42,-5.072446031406457e-5,0.001100096081082926,9.559916215245993e-5,0.0003473544809382815,0.0002670948860306151,-9.886807188138667e-5,0.0003732511984489174,0.00035764432112760216,0.00031429263101153006,0.0003273015537057704,1.8898233023224862e-5,2.0119196428602105e-5,1.154356267817787e-5,0.00010390715716927688,0.0005507121582298244,0.00019052208838513714,0.003928744178216894
t43,-5.227457946539123e-5,0.0008484109580705403,9.377754749510048e-5,0.0003038658657787771,0.00023968228510669307,-6.349536044995503e-5,0.00024124713551953157,0.00023092343829679636,0.00021683746175710106,0.0002247275945211117,1.7040890620513624e-6,1.2805395195217475e-6,-1.019123347727113e-5,6.58136888138442e-5,0.0004774785270745049,0.00018993524330438702,0.0030097232009273435
t44,-5.289784725688956e-5,0.0006937638790550256,8.4988605531647e-5,0.00027663153687653596,0.00020866593874896506,-3.207848377030927e-5,0.00015737773394131465,0.0001494964302694295,0.00014643342031490445,0.0001549868593776719,-1.5837392397897833e-5,-1.764922164057815e-5,-3.1830402586439044e-5,3.179556143222061e-5,0.00043287114814476505,0.00013866293983505332,0.0023253807058754195
t45,-5.319376450152176e-5,0.0005904107262988813,7.679957191222857e-5,0.0002564701891963665,0.00019128542043609904,-1.872946411983904e-7,9.309139651190841e-5,8.669982234078008e-5,9.065630266174039e-5,9.886199815875541e-5,-3.220976663742508e-5,-3.398154970944081e-5,-5.1798661542265135e-5,-3.540751496652357e-6,0.0003957936018897962,0.00010781595527305029,0.0018129731961511028
t46,-5.382465353922433e-5,0.000510830726612054,6.978784722271267e-5,0.00023617142994980083,0.00016995030073496586,3.099057398294905e-5,4.2406468697519e-5,3.740786308979639e-5,3.873095864181631e-6,7.96507334151416e-6,-4.5625490565751904e-5,-4.7524866496141516e-5,-6.926033597719803e-5,-4.501177028881353e-5,0.00036202768033247293,7.902671772910721e-5,0.0012891906606899445
t47,-5.427256897920174e-5,0.0004510281339033888,6.891587968936451e-5,0.00021687725722694678,0.00015354589970570885,7.061063275516691e-5,-1.970713818159423e-6,-5.6016243972728905e-6,2.040701247277702e-6,4.615077191380245e-6,-5.271525942669586e-5,-5.50522428270023e-5,-7.905268749697569e-5,-6.680281879668832e-5,0.0003326269184867191,5.5133811934485075e-5,0.001039926396398442
t48,-5.555822365867385e-5,0.0004021916474222086,6.549835692871894e-5,0.00019916280787367002,0.00013967344636746178,0.0001302112967101084,-4.4029220261736335e-5,-4.596061326158757e-5,-5.38600423836952e-5,-4.790318172436171e-5,-5.523719937798336e-5,-5.799084339668932e-5,-8.309340392253164e-5,-0.00011006415740710772,0.00030535712455102376,3.778793159485743e-5,0.0007261857260536823
t49,-5.7524618552630394e-5,0.00036612054607092063,6.383358337411347e-5,0.0001822758780523159,0.00013002605532996697,0.0002905450834089726,-9.259765999632901e-5,-9.3891089302598e-5,-4.264691981678574e-5,-3.81901195285055e-5,-4.431234829121355e-5,-4.665519042459323e-5,-6.635327654236703e-5,-8.118434997100664e-5,0.0002767574279096738,-6.8984578724998695e-6,0.0007393045438474344
