region,technology,cluster,spur_miles,max_capacity
NYCW,naturalgas_ccavgcf,,10,-1
NYUP,naturalgas_ccavgcf,,10,-1
PJMC,naturalgas_ccavgcf,,10,-1
PJMD,naturalgas_ccavgcf,,10,-1
PJME,naturalgas_ccavgcf,,10,-1
PJMW,naturalgas_ccavgcf,,10,-1
RMRG,naturalgas_ccavgcf,,10,-1
SPPC,naturalgas_ccavgcf,,10,-1
SPPN,naturalgas_ccavgcf,,10,-1
SPPS,naturalgas_ccavgcf,,10,-1
SRCA,naturalgas_ccavgcf,,10,-1
SRCE,naturalgas_ccavgcf,,10,-1
SRSE,naturalgas_ccavgcf,,10,-1
SRSG,naturalgas_ccavgcf,,10,-1
TRE,naturalgas_ccavgcf,,10,-1
BASN,naturalgas_ccccsavgcf_conservative,,20,-1
CANO,naturalgas_ccccsavgcf_conservative,,20,-1
CASO,naturalgas_ccccsavgcf_conservative,,20,-1
FRCC,naturalgas_ccccsavgcf_conservative,,20,-1
ISNE,naturalgas_ccccsavgcf_conservative,,20,-1
MISC,naturalgas_ccccsavgcf_conservative,,20,-1
MISE,naturalgas_ccccsavgcf_conservative,,20,-1
MISS,naturalgas_ccccsavgcf_conservative,,20,-1
MISW,naturalgas_ccccsavgcf_conservative,,20,-1
NWPP,naturalgas_ccccsavgcf_conservative,,20,-1
NYCW,naturalgas_ccccsavgcf_conservative,,20,-1
NYUP,naturalgas_ccccsavgcf_conservative,,20,-1
PJMC,naturalgas_ccccsavgcf_conservative,,20,-1
PJMD,naturalgas_ccccsavgcf_conservative,,20,-1
PJME,naturalgas_ccccsavgcf_conservative,,20,-1
PJMW,naturalgas_ccccsavgcf_conservative,,20,-1
RMRG,naturalgas_ccccsavgcf_conservative,,20,-1
SPPC,naturalgas_ccccsavgcf_conservative,,20,-1
SPPN,naturalgas_ccccsavgcf_conservative,,20,-1
SPPS,naturalgas_ccccsavgcf_conservative,,20,-1
SRCA,naturalgas_ccccsavgcf_conservative,,20,-1
SRCE,naturalgas_ccccsavgcf_conservative,,20,-1
SRSE,naturalgas_ccccsavgcf_conservative,,20,-1
SRSG,naturalgas_ccccsavgcf_conservative,,20,-1
TRE,naturalgas_ccccsavgcf_conservative,,20,-1
BASN,naturalgas_ccccsavgcf_repowercoal,,0,-1
CANO,naturalgas_ccccsavgcf_repowercoal,,0,-1
CASO,naturalgas_ccccsavgcf_repowercoal,,0,-1
FRCC,naturalgas_ccccsavgcf_repowercoal,,0,-1
ISNE,naturalgas_ccccsavgcf_repowercoal,,0,-1
MISC,naturalgas_ccccsavgcf_repowercoal,,0,-1
MISE,naturalgas_ccccsavgcf_repowercoal,,0,-1
MISS,naturalgas_ccccsavgcf_repowercoal,,0,-1
MISW,naturalgas_ccccsavgcf_repowercoal,,0,-1
NWPP,naturalgas_ccccsavgcf_repowercoal,,0,-1
NYCW,naturalgas_ccccsavgcf_repowercoal,,0,-1
NYUP,naturalgas_ccccsavgcf_repowercoal,,0,-1
PJMC,naturalgas_ccccsavgcf_repowercoal,,0,-1
PJMD,naturalgas_ccccsavgcf_repowercoal,,0,-1
PJME,naturalgas_ccccsavgcf_repowercoal,,0,-1
PJMW,naturalgas_ccccsavgcf_repowercoal,,0,-1
RMRG,naturalgas_ccccsavgcf_repowercoal,,0,-1
SPPC,naturalgas_ccccsavgcf_repowercoal,,0,-1
SPPN,naturalgas_ccccsavgcf_repowercoal,,0,-1
SPPS,naturalgas_ccccsavgcf_repowercoal,,0,-1
SRCA,naturalgas_ccccsavgcf_repowercoal,,0,-1
SRCE,naturalgas_ccccsavgcf_repowercoal,,0,-1
SRSE,naturalgas_ccccsavgcf_repowercoal,,0,-1
SRSG,naturalgas_ccccsavgcf_repowercoal,,0,-1
TRE,naturalgas_ccccsavgcf_repowercoal,,0,-1
BASN,naturalgas_ccccsavgcf_retrofitngcc,,0,-1
