case_id,year,region,ESR_1,ESR_2,ESR_3,ESR_4,ESR_5,ESR_6,ESR_7,ESR_8,ESR_9,ESR_10,ESR_11,ESR_12,ESR_13,ESR_14,ESR_15,ESR_16,CO_2_Cap_Zone_1,CO_2_Max_Mtons_1
all,2040,FRCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,2040,ISNE,0,0.543,0,0,0,0,0,0,0,0.598,0,0,0,0,0,0,1,17.12
all,2040,MISC,0,0,0.118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,2040,MISE,0,0,0.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,2040,MISS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,2040,MISW,0,0,0.194,0,0,0,0,0,0,0,0.29,0,0,0,0,0,0,0
all,2040,NWPP,0.212,0,0,0,0,0,0,0,0.749,0,0,0,0,0,0,0,0,0
all,2040,NYCW,0,0,0,0.7,0,0,0,0,0,0,0,1,0,0,0,0,1,11.12
all,2040,NYUP,0,0,0,0.7,0,0,0,0,0,0,0,1,0,0,0,0,1,8.05
all,2040,PJMC,0,0,0,0,0.388,0,0,0,0,0,0,0,0,0,0,0,0,0
all,2040,PJMD,0,0,0,0,0.447,0,0,0,0,0,0,0,0.646,0,0,0,1,14.51
all,2040,PJME,0,0,0,0,0.341,0,0,0,0,0,0,0,0.001,0,0,0,1,65.58
all,2040,PJMW,0,0,0,0,0.046,0,0,0,0,0,0,0,0.039,0,0,0,0,0
all,2040,RMRG,0.181,0,0,0,0,0,0,0,0.325,0,0,0,0,0,0,0,0,0
all,2040,SPPC,0,0,0,0,0,0.045,0,0,0,0,0,0,0,0,0,0,0,0
all,2040,SPPN,0,0,0,0,0,0.016,0,0,0,0,0,0,0,0.091,0,0,0,0
all,2040,SPPS,0,0,0,0,0,0.064,0,0,0,0,0,0,0,0,0,0,0,0
all,2040,SRCA,0,0,0,0,0,0,0.073,0,0,0,0,0,0,0,0.181,0,0,0
all,2040,SRCE,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0.005,0,0,0
all,2040,SRSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,2040,SRSG,0.159,0,0,0,0,0,0,0,0.029,0,0,0,0,0,0,0,0,0
all,2040,TRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,2040,TREW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,2045,BASN,0.202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,2045,CANO,0.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
all,2045,CASO,0.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
all,2045,FRCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,2045,ISNE,0,0.565,0,0,0,0,0,0,0,0.638,0,0,0,0,0,0,1,17.12
all,2045,MISC,0,0,0.142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,2045,MISE,0,0,0.138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
