case_id,year,flex_resource,ng_price,limitedtransmission,ira,min_cap,existing_clusters,hydrogen_gen,time_reduction,policies,period_years,econ_retirement,wacc,misc_file,carbon_slack,ccs,ccs_credit,alternative_carbon_slack
current_policies_52_week_commit,2030,none,reference,no,yes,base,none,greenfield,52_weeks,existing,five,no,standardize_5,ramp,base,yes,high,none
current_policies_52_week_commit,2035,none,reference,no,yes,base,none,greenfield,52_weeks,existing,five,no,standardize_5,ramp,base,yes,high,none
current_policies_52_week_commit,2040,none,reference,no,yes,base,none,greenfield,52_weeks,existing,five,no,standardize_5,ramp,base,yes,high,none
current_policies_52_week_commit,2045,none,reference,no,no,base,none,greenfield,52_weeks,existing,five,no,standardize_5,ramp,base,yes,high,none
current_policies_52_week_commit,2050,none,reference,no,no,base,none,greenfield,52_weeks,existing,five,no,standardize_5,ramp,base,yes,high,none
current_policies_52_week_retire,2027,none,reference,no,yes,base,none,greenfield,52_weeks,existing,five,yes,standardize_5,no_ramp,base,yes,high,none
current_policies_52_week_retire,2030,none,reference,no,yes,base,none,greenfield,52_weeks,existing,five,yes,standardize_5,no_ramp,base,yes,high,none
current_policies_52_week_retire,2035,none,reference,no,yes,base,none,greenfield,52_weeks,existing,five,yes,standardize_5,no_ramp,base,yes,high,none
current_policies_52_week_retire,2040,none,reference,no,yes,base,none,greenfield,52_weeks,existing,five,yes,standardize_5,no_ramp,base,yes,high,none
current_policies_52_week_retire,2045,none,reference,no,no,base,none,greenfield,52_weeks,existing,five,yes,standardize_5,no_ramp,base,yes,high,none
current_policies_52_week_retire,2050,none,reference,no,no,base,none,greenfield,52_weeks,existing,five,yes,standardize_5,no_ramp,base,yes,high,none
base_52_week_tx_15,2027,none,reference,yes_15,no,none,none,greenfield,52_weeks,yes,five,no,standardize_5,no_ramp,base,yes,none,none
base_52_week_tx_15,2030,none,reference,yes_15,no,none,none,greenfield,52_weeks,yes,five,no,standardize_5,no_ramp,base,yes,none,none
base_52_week_tx_15,2035,none,reference,yes_15,no,none,none,greenfield,52_weeks,yes,five,no,standardize_5,no_ramp,base,yes,none,none
base_52_week_tx_15,2040,none,reference,yes_15,no,none,none,greenfield,52_weeks,yes,five,no,standardize_5,no_ramp,base,yes,none,none
base_52_week_tx_15,2045,none,reference,yes_15,no,none,none,greenfield,52_weeks,yes,five,no,standardize_5,no_ramp,base,yes,none,none
base_52_week_tx_15,2050,none,reference,yes_15,no,none,none,greenfield,52_weeks,yes,five,no,standardize_5,no_ramp,base,yes,none,none
base_52_week_tx_50,2027,none,reference,yes_50,no,none,none,greenfield,52_weeks,yes,five,no,standardize_5,no_ramp,base,yes,none,none
base_52_week_tx_50,2030,none,reference,yes_50,no,none,none,greenfield,52_weeks,yes,five,no,standardize_5,no_ramp,base,yes,none,none
base_52_week_tx_50,2035,none,reference,yes_50,no,none,none,greenfield,52_weeks,yes,five,no,standardize_5,no_ramp,base,yes,none,none
base_52_week_tx_50,2040,none,reference,yes_50,no,none,none,greenfield,52_weeks,yes,five,no,standardize_5,no_ramp,base,yes,none,none
base_52_week_tx_50,2045,none,reference,yes_50,no,none,none,greenfield,52_weeks,yes,five,no,standardize_5,no_ramp,base,yes,none,none
base_52_week_tx_50,2050,none,reference,yes_50,no,none,none,greenfield,52_weeks,yes,five,no,standardize_5,no_ramp,base,yes,none,none
base_52_week_no_ccs,2027,none,reference,no,no,none,none,greenfield,52_weeks,yes,five,no,standardize_5,no_ramp,base,no,none,none
base_52_week_no_ccs,2030,none,reference,no,no,none,none,greenfield,52_weeks,yes,five,no,standardize_5,no_ramp,base,no,none,none
base_52_week_no_ccs,2035,none,reference,no,no,none,none,greenfield,52_weeks,yes,five,no,standardize_5,no_ramp,base,no,none,none
base_52_week_no_ccs,2040,none,reference,no,no,none,none,greenfield,52_weeks,yes,five,no,standardize_5,no_ramp,base,no,none,none
