case_id,year,region,ESR_1,ESR_2,ESR_3,ESR_4,ESR_5,ESR_6,ESR_7,ESR_8,ESR_9,ESR_10,ESR_11,ESR_12,ESR_13,ESR_14,ESR_15,ESR_16,CO_2_Cap_Zone_1,CO_2_Max_Mtons_1,copy_case_id
all,2040,PJMW,0,0,0,0,0.0834,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2040,RMRG,0.1748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2040,SPPC,0,0,0,0,0,0.0686,0,0,0,0,0,0,0,0,0,0,0,0,
all,2040,SPPN,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,
all,2040,SPPS,0,0,0,0,0,0.0334,0,0,0,0,0,0,0,0,0,0,0,0,
all,2040,SRCA,0,0,0,0,0,0,0.0742,0,0,0,0,0,0,0,0,0,0,0,
all,2040,SRCE,0,0,0,0,0,0,0.0056,0,0,0,0,0,0,0,0,0,0,0,
all,2040,SRSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2040,SRSG,0.2832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2040,TRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2040,TREW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2045,BASN,0.1781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2045,CANO,0.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
all,2045,CASO,0.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
all,2045,FRCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2045,ISNE,0,0.5438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17.12,
all,2045,MISC,0,0,0.1193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2045,MISE,0,0,0.1297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2045,MISS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2045,MISW,0,0,0.1238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2045,NWPP,0.219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
