Run Name (copy),Sector || To (Combined) (group),Year,MMT
"IRA, Optimistic",transportation,2024,"1,835.93"
"IRA, Optimistic",transportation,2026,"1,724.52"
"IRA, Optimistic",transportation,2028,"1,607.17"
"IRA, Optimistic",transportation,2030,"1,472.91"
"IRA, Optimistic",transportation,2032,"1,290.59"
"IRA, Optimistic",transportation,2035,"1,046.31"
"IRA, Optimistic",transportation,2040,728.682496
"IRA, Optimistic",transportation,2050,443.1008148
Net-Zero Pathway,transportation,2022,"1,867.96"
Net-Zero Pathway,transportation,2024,"1,858.54"
Net-Zero Pathway,transportation,2026,"1,780.89"
Net-Zero Pathway,transportation,2028,"1,573.30"
Net-Zero Pathway,transportation,2030,"1,484.34"
Net-Zero Pathway,transportation,2032,"1,328.20"
Net-Zero Pathway,transportation,2035,"1,057.85"
Net-Zero Pathway,transportation,2040,613.185849
Net-Zero Pathway,transportation,2050,-46.76500588
