model,zone,planning_year,case,unit,value
USENSYS,SRCA,2035,20-week-foresight-current-policy,tons,63319016
USENSYS,SRCA,2040,20-week-foresight-current-policy,tons,45427335
USENSYS,SRCA,2045,20-week-foresight-current-policy,tons,46732306
USENSYS,SRCA,2050,20-week-foresight-current-policy,tons,48318179
USENSYS,SRCE,2027,20-week-foresight-current-policy,tons,55122623
USENSYS,SRCE,2030,20-week-foresight-current-policy,tons,51130024
USENSYS,SRCE,2035,20-week-foresight-current-policy,tons,45294001
USENSYS,SRCE,2040,20-week-foresight-current-policy,tons,35547768
USENSYS,SRCE,2045,20-week-foresight-current-policy,tons,44437232
USENSYS,SRCE,2050,20-week-foresight-current-policy,tons,41120829
USENSYS,SRSE,2027,20-week-foresight-current-policy,tons,80836898
USENSYS,SRSE,2030,20-week-foresight-current-policy,tons,92394792
USENSYS,SRSE,2035,20-week-foresight-current-policy,tons,87877470
USENSYS,SRSE,2040,20-week-foresight-current-policy,tons,67546432
USENSYS,SRSE,2045,20-week-foresight-current-policy,tons,74740612
USENSYS,SRSE,2050,20-week-foresight-current-policy,tons,64364157
USENSYS,SRSG,2027,20-week-foresight-current-policy,tons,34142361
USENSYS,SRSG,2030,20-week-foresight-current-policy,tons,34468040
USENSYS,SRSG,2035,20-week-foresight-current-policy,tons,20414850
USENSYS,SRSG,2040,20-week-foresight-current-policy,tons,23513837
USENSYS,SRSG,2045,20-week-foresight-current-policy,tons,27717102
USENSYS,SRSG,2050,20-week-foresight-current-policy,tons,29533010
USENSYS,TRE,2027,20-week-foresight-current-policy,tons,82224885
USENSYS,TRE,2030,20-week-foresight-current-policy,tons,71739862
USENSYS,TRE,2035,20-week-foresight-current-policy,tons,80540541
USENSYS,TRE,2040,20-week-foresight-current-policy,tons,85643240
USENSYS,TRE,2045,20-week-foresight-current-policy,tons,90660679
USENSYS,TRE,2050,20-week-foresight-current-policy,tons,91647901
USENSYS,TREW,2027,20-week-foresight-current-policy,tons,3915521
USENSYS,TREW,2030,20-week-foresight-current-policy,tons,4205896
USENSYS,TREW,2035,20-week-foresight-current-policy,tons,4423032
USENSYS,TREW,2040,20-week-foresight-current-policy,tons,4011880
USENSYS,TREW,2045,20-week-foresight-current-policy,tons,3293999
USENSYS,TREW,2050,20-week-foresight-current-policy,tons,2018743
