Constraint,CapRes_1,CapRes_2,CapRes_3
t49,2.0229938753283786e-10,3.139591859436053e-10,3.693018287585073e-11
t50,1.819091843389058e-10,2.9502668007104966e-10,3.396852929639742e-11
t51,1.7734675473752161e-10,3.0325362348802177e-10,3.2620102910697537e-11
t52,1.8303559559814973e-10,3.0823630781164397e-10,3.2039300436391427e-11
t53,1.881331071109251e-10,3.115997529337061e-10,3.228403118558414e-11
t54,1.888485876305421e-10,3.166318387011047e-10,3.4264049426557536e-11
t55,2.0683143191807916e-10,3.051054063069119e-10,3.8010160815322037e-11
t56,2.896184835007476e-10,3.458621907401114e-10,4.274516428193822e-11
t57,2.5619581803704607e-10,4.3278645459700364e-10,4.505538825502322e-11
t58,2.7036705930544436e-10,2.890504427946552e-10,3.3663815787733037e-11
t59,2.394339234209499e-10,2.283508604719646e-10,2.875894399530748e-11
t60,2.414829955965632e-10,2.1290015106969359e-10,2.6216343843236094e-11
t61,2.2336504733182533e-10,2.0980293230437923e-10,2.462043050914433e-11
t62,2.2151865487477634e-10,1.8259894182584187e-10,2.3560023003514352e-11
t63,2.213611263389069e-10,1.7717354423465984e-10,2.3686376190339073e-11
t64,2.0832093993574863e-10,2.175600276048102e-10,2.5064861577981525e-11
t65,2.7814588565151086e-10,2.820017561747644e-10,3.056155605436998e-11
t66,2.474290660654256e-10,3.999908901551732e-10,5.1187276678432895e-11
t67,2.825079746055026e-10,6.508850562982413e-10,7.371460721816686e-11
t68,2.833387216112778e-10,6.074471571936485e-10,7.51090795782797e-11
t69,2.630338752684066e-10,5.43535087431199e-10,6.84339037822126e-11
t70,2.373696123419107e-10,4.920962198080372e-10,6.110664408119261e-11
t71,2.12594252630194e-10,4.416912398664392e-10,5.3520649155603575e-11
t72,1.905750984434922e-10,3.762741614088633e-10,4.68141446344371e-11
t73,1.7174586412006515e-10,3.3176969374549806e-10,4.278050401348776e-11
t74,1.6882207553855027e-10,3.2431432769189694e-10,4.085665871382516e-11
t75,1.7106330227997337e-10,3.015215639602664e-10,4.14439336267698e-11
t76,1.770239863819717e-10,3.048820345221063e-10,4.2676066942589645e-11
