model,zone,planning_year,case,unit,value
USENSYS,SPPC,2045,full-base-200-tx-0,tons,846045
USENSYS,SPPC,2050,full-base-200-tx-0,tons,612106
USENSYS,SPPN,2027,full-base-200-tx-0,tons,8483594
USENSYS,SPPN,2030,full-base-200-tx-0,tons,976451
USENSYS,SPPN,2035,full-base-200-tx-0,tons,738269
USENSYS,SPPN,2040,full-base-200-tx-0,tons,667334
USENSYS,SPPN,2045,full-base-200-tx-0,tons,503739
USENSYS,SPPN,2050,full-base-200-tx-0,tons,636068
USENSYS,SPPS,2027,full-base-200-tx-0,tons,21330156
USENSYS,SPPS,2030,full-base-200-tx-0,tons,6046657
USENSYS,SPPS,2035,full-base-200-tx-0,tons,4004704
USENSYS,SPPS,2040,full-base-200-tx-0,tons,3894906
USENSYS,SPPS,2045,full-base-200-tx-0,tons,3436509
USENSYS,SPPS,2050,full-base-200-tx-0,tons,2723227
USENSYS,SRCA,2027,full-base-200-tx-0,tons,39541251
USENSYS,SRCA,2030,full-base-200-tx-0,tons,5609443
USENSYS,SRCA,2035,full-base-200-tx-0,tons,3764829
USENSYS,SRCA,2040,full-base-200-tx-0,tons,4311462
USENSYS,SRCA,2045,full-base-200-tx-0,tons,5060077
USENSYS,SRCA,2050,full-base-200-tx-0,tons,4271153
USENSYS,SRCE,2027,full-base-200-tx-0,tons,36170592
USENSYS,SRCE,2030,full-base-200-tx-0,tons,6696313
USENSYS,SRCE,2035,full-base-200-tx-0,tons,4268598
USENSYS,SRCE,2040,full-base-200-tx-0,tons,4313698
USENSYS,SRCE,2045,full-base-200-tx-0,tons,4158950
USENSYS,SRCE,2050,full-base-200-tx-0,tons,3291659
USENSYS,SRSE,2027,full-base-200-tx-0,tons,54402052
USENSYS,SRSE,2030,full-base-200-tx-0,tons,8211066
USENSYS,SRSE,2035,full-base-200-tx-0,tons,5870153
USENSYS,SRSE,2040,full-base-200-tx-0,tons,6802249
USENSYS,SRSE,2045,full-base-200-tx-0,tons,8006121
USENSYS,SRSE,2050,full-base-200-tx-0,tons,7727691
USENSYS,SRSG,2027,full-base-200-tx-0,tons,19691168
USENSYS,SRSG,2030,full-base-200-tx-0,tons,4538713
USENSYS,SRSG,2035,full-base-200-tx-0,tons,3515068
USENSYS,SRSG,2040,full-base-200-tx-0,tons,3353029
USENSYS,SRSG,2045,full-base-200-tx-0,tons,3282905
USENSYS,SRSG,2050,full-base-200-tx-0,tons,3061136
USENSYS,TRE,2027,full-base-200-tx-0,tons,68821053
USENSYS,TRE,2030,full-base-200-tx-0,tons,15035182
USENSYS,TRE,2035,full-base-200-tx-0,tons,8844592
USENSYS,TRE,2040,full-base-200-tx-0,tons,9560206
USENSYS,TRE,2045,full-base-200-tx-0,tons,9139997
USENSYS,TRE,2050,full-base-200-tx-0,tons,7967574
USENSYS,TREW,2027,full-base-200-tx-0,tons,7668313
USENSYS,TREW,2030,full-base-200-tx-0,tons,3535539
USENSYS,TREW,2035,full-base-200-tx-0,tons,2231051
USENSYS,TREW,2040,full-base-200-tx-0,tons,2099909
USENSYS,TREW,2045,full-base-200-tx-0,tons,1786371
USENSYS,TREW,2050,full-base-200-tx-0,tons,1495676
