Resource,Zone,New_Build,Can_Retire,Existing_Cap_MW,region,technology,cluster,Cap_Size,minimum_load_mw,Heat_Rate_MMBTU_per_MWh,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,fixed_o_m_mw_std,Min_Power,num_units,capacity_factor,unmodified_cap_size,unmodified_existing_cap_mw,Start_Fuel_MMBTU_per_MW,Fuel,Start_Cost_per_MW,cost_case,tech_detail,basis_year,capex_mw,Inv_Cost_per_MWyr,Max_Cap_MW,regional_cost_multiplier,spur_miles,spur_capex,spur_inv_mwyr,plant_inv_cost_mwyr,Max_Share_percent,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,co2_o_m_mw,co2_pipeline_annuity_mw,co2_pipeline_capex_mw,storage_cost_tonne,capture_rate,extra_ccs_cost_tonne,tonne_co2_captured_mwh,co2_cost_mwh,Power_uprate_cost_per_MWyr,Max_Uprate_MW,Unnamed: 21,Model
PJM_EMAC_natural_gas_fired_combustion_turbine_2,10,0,1,2932.1,PJM_EMAC,Natural Gas Fired Combustion Turbine,2,86.24,56.912,11.71,11711,5.97,1.546,1.373,996.111,0.66,34.0,0.258,86.238,2932.092,3.5,middle_atlantic_naturalgas,135.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.78,3.78,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
PJM_EMAC_natural_gas_steam_turbine_1,10,0,1,1526.6,PJM_EMAC,Natural Gas Steam Turbine,1,254.43,41.0,14.85,36122,1.19,2.789,3.762,12784.392,0.161,6.0,0.083,254.433,1526.598,13.7,middle_atlantic_naturalgas,99.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.57,0.57,24,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1
PJM_EMAC_nuclear_1,10,1,1,7347.7,PJM_EMAC,Nuclear,1,1224.62,437.967,10.34,218549,0.0,0.0,0.0,0.0,0.5,6.0,-0.0,1224.617,7347.702,0.0,middle_atlantic_uranium,280.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,24,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
PJM_EMAC_nuclear_2,10,1,1,1172.0,PJM_EMAC,Nuclear,2,1172.0,1172.0,10.34,311155,0.0,0.0,0.0,0.0,0.5,1.0,-0.0,1172.0,1172.0,0.0,middle_atlantic_uranium,280.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,24,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
PJM_Rest_conventional_steam_coal_1,11,0,1,29603.6,PJM_Rest,Conventional Steam Coal,1,510.41,224.509,10.74,71404,2.12,2.351,3.738,7290.508,0.44,58.0,0.218,510.407,29603.606,16.5,east_north_central_coal,140.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.57,24,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
PJM_Rest_natural_gas_fired_combined_cycle_1,11,0,1,2133.9,PJM_Rest,Natural Gas Fired Combined Cycle,1,133.37,61.8,9.86,18649,5.15,2.847,3.197,0.0,0.463,16.0,0.475,133.369,2133.904,2.0,east_north_central_naturalgas,104.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.64,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
PJM_Rest_natural_gas_fired_combined_cycle_2,11,0,1,24246.8,PJM_Rest,Natural Gas Fired Combined Cycle,2,713.14,286.012,7.02,12331,4.06,0.658,0.489,1443.78,0.401,34.0,0.475,713.141,24246.794,2.0,east_north_central_naturalgas,104.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.64,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
PJM_Rest_natural_gas_fired_combustion_turbine_1,11,0,1,614.8,PJM_Rest,Natural Gas Fired Combustion Turbine,1,18.63,5.009,11.18,15769,5.97,2.467,1.178,0.0,0.269,33.0,0.068,18.63,614.79,3.5,east_north_central_naturalgas,135.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.78,3.78,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
PJM_Rest_natural_gas_fired_combustion_turbine_2,11,0,1,24327.8,PJM_Rest,Natural Gas Fired Combustion Turbine,2,114.22,57.761,11.72,11085,5.97,2.171,1.513,657.149,0.506,213.0,0.068,114.215,24327.795,3.5,east_north_central_naturalgas,135.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.78,3.78,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
PJM_Rest_natural_gas_fired_combustion_turbine_3,11,0,1,834.5,PJM_Rest,Natural Gas Fired Combustion Turbine,3,55.63,22.8,27.65,12283,5.97,7.366,3.402,1494.725,0.41,15.0,0.068,55.633,834.495,3.5,east_north_central_naturalgas,135.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.78,3.78,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
