region,Resource,zone,Cluster,R_ID,ESR_1,ESR_2,ESR_3,ESR_4,ESR_5,ESR_6,Total
PJM_Rest,PJM_Rest_nuclear_nuclear_moderate_0,11,0,102,0.0,0.0,0.0,2.804890594864637e-15,0.0,0.0,2.804890594864637e-15
PJM_Rest,PJM_Rest_naturalgas_ccs100_moderate_0,11,0,103,0.0,0.0,0.0,3.710272766605794e-15,0.0,0.0,3.710272766605794e-15
NENG_Rest,NENG_Rest_offshore_wind_turbine_1,1,1,104,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENG_Rest,NENG_Rest_onshore_wind_turbine_1,1,1,105,1.540797917899472e-5,56240.168587350854,0.0,0.0,0.0,0.0,56240.16860275884
NENG_Rest,NENG_Rest_solar_photovoltaic_1,1,1,106,2.9991037867907106e-13,0.0010946932146041273,0.0,0.0,0.0,0.0,0.0010946932149040378
NY_Z_A,NY_Z_A_onshore_wind_turbine_1,2,1,107,0.0,0.0,0.0,0.0,0.003659851977267542,1.1673492789375929e-14,0.0036598519772792154
NY_Z_A,NY_Z_A_solar_photovoltaic_1,2,1,108,0.0,0.0,0.0,0.0,634.9732652793822,2.0253157449333364e-9,634.9732652814075
NY_Z_B,NY_Z_B_onshore_wind_turbine_1,3,1,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY_Z_B,NY_Z_B_solar_photovoltaic_1,3,1,110,0.0,0.0,0.0,0.0,0.0006030852524526841,1.9236054872201525e-15,0.0006030852524546077
NY_Z_C&E,NY_Z_C&E_onshore_wind_turbine_1,4,1,111,0.0,0.0,0.0,0.0,0.001750062009469391,5.582011615604819e-15,0.0017500620094749728
NY_Z_C&E,NY_Z_C&E_solar_photovoltaic_1,4,1,112,0.0,0.0,0.0,0.0,0.003940232528861224,1.2567796812500313e-14,0.003940232528873792
NY_Z_D,NY_Z_D_onshore_wind_turbine_1,5,1,113,0.0,0.0,0.0,0.0,0.001784272801234652,5.69113062737665e-15,0.0017842728012403431
NY_Z_D,NY_Z_D_solar_photovoltaic_1,5,1,114,0.0,0.0,0.0,0.0,0.001274972761929579,4.066663197167782e-15,0.0012749727619336456
NY_Z_F,NY_Z_F_solar_photovoltaic_1,6,1,115,0.0,0.0,0.0,0.0,0.0019274891082621504,6.14793449206594e-15,0.0019274891082682983
NY_Z_G-I,NY_Z_G-I_solar_photovoltaic_1,7,1,116,0.0,0.0,0.0,0.0,1249.769649034523,3.9862751491052695e-9,1249.7696490385092
