Resource,NENG_Rest_hydroelectric_pumped_storage_1,NY_Z_A_hydroelectric_pumped_storage_1,NY_Z_F_hydroelectric_pumped_storage_1,PJM_EMAC_hydroelectric_pumped_storage_1,PJM_Rest_hydroelectric_pumped_storage_1,NENG_Rest_battery_moderate_0,NY_Z_A_battery_moderate_0,NY_Z_B_battery_moderate_0,NY_Z_C&E_battery_moderate_0,NY_Z_D_battery_moderate_0,NY_Z_F_battery_moderate_0,NY_Z_G-I_battery_moderate_0,NY_Z_J_battery_moderate_0,NY_Z_K_battery_moderate_0,PJM_EMAC_battery_moderate_0,PJM_Rest_battery_moderate_0,NENG_Rest_conventional_hydroelectric_1,NY_Z_A_conventional_hydroelectric_1,NY_Z_B_conventional_hydroelectric_1,NY_Z_C&E_conventional_hydroelectric_1,NY_Z_D_conventional_hydroelectric_1,NY_Z_F_conventional_hydroelectric_1,PJM_EMAC_conventional_hydroelectric_1,PJM_Rest_conventional_hydroelectric_1,NY_Z_A_res_water_heat_1,NY_Z_B_res_water_heat_1,NY_Z_C&E_res_water_heat_1,NY_Z_D_res_water_heat_1,NY_Z_F_res_water_heat_1,NY_Z_G-I_res_water_heat_1,NY_Z_J_res_water_heat_1,NY_Z_K_res_water_heat_1,PJM_EMAC_res_water_heat_1,PJM_Rest_res_water_heat_1,NENG_Rest_res_water_heat_1,NY_Z_A_trans_light_duty_1,NY_Z_B_trans_light_duty_1,NY_Z_C&E_trans_light_duty_1,NY_Z_D_trans_light_duty_1,NY_Z_F_trans_light_duty_1,NY_Z_G-I_trans_light_duty_1,NY_Z_J_trans_light_duty_1,NY_Z_K_trans_light_duty_1,PJM_EMAC_trans_light_duty_1,PJM_Rest_trans_light_duty_1,NENG_Rest_trans_light_duty_1,Total
t177,1400.4287903321515,410.1966627279972,8538.784178773227,10637.12220479984,38696.33803368582,0.00045734620052393087,0.053534690255269406,1266.5271644864333,0.001865895248708137,304.4823913959779,1422.5779121290034,275.5659440364542,0.002892648382186753,0.0020033095253289934,4768.4501406068875,284.6330989734928,1065.6965787671468,1689.3836759178002,0.0,33.63219794896109,757.4927145623539,151.40954345083742,551.07966171524,1024.6958231777342,7.1480368245814185,5.379546113266114,15.879069274856345,1.2359970490390797,9.425460313522255,17.935479231554897,65.8378787208189,3.2691259978695726e-5,58.37652229996103,292.34654054006626,1.4800838888470285e-5,68.30088405096213,51.23073111071978,124.2860071128987,11.95619150191737,73.1981448296611,142.27280062351116,666.397445979843,3.149281703684868e-5,359.36203403986565,1279.122969363961,1.4178694060738304e-5,76528.24930352156
t178,1400.428777902016,567.0398804586882,9548.870760511409,10637.122200395164,38696.33807760096,0.00044814790146891143,0.06681766085018029,1932.8500829307354,0.0019536461264494064,544.3852508707945,2958.1786122340395,552.1351049519507,0.0031976351109541746,0.001995007180177979,4768.450145248473,326.13631016635384,1065.6964998194676,1804.2668683171635,0.0,43.90187060391452,812.3671763681059,197.8281395584377,571.756290720649,1311.4797105530695,4.691634032965655,3.541105678003864,7.8847105840372596,0.8023893167506616,4.815953021528664,8.730952837061897,29.67860886375638,6.410842438544548e-5,6.564092743835774e-5,52.51773751705432,20.54656783909832,76.06129661358553,57.506170815091366,66.88200598135904,13.338847992504617,47.634892151259216,69.14393976638401,94.37504939505962,6.257621474991654e-5,8.007818871560689e-5,58.66634336871593,597.295999707165,78953.42064919368
t179,1400.428765706806,713.2701018877456,10558.964994573422,10637.122195401309,38696.33810935233,0.0004406776316371449,0.07768894176187231,2673.7286359128398,0.002034005287919241,761.8615135560171,3791.9931020371587,803.428270641944,0.0035483900921171574,0.001987171983213305,4768.450147480363,346.2940729849979,995.0432448581237,1898.850648801875,0.0,53.763371508111106,871.1235735054952,244.66106944618932,571.756344493874,1472.5384303661172,3.658474344940855,2.7594011419255535,4.024732414620869,0.6148120815355298,2.571145898286954,4.296575097128064,11.259260439634918,1.2637657324762915e-5,8.588212592356465e-6,0.00013100960251699047,19.469379945699774,82.90136733081927,63.58545323137467,20.427239417417795,14.944190858537922,19.41992937021489,17.77448760446409,15.387188355860832,1.303395798130862e-5,7.940291410521043e-6,0.0002794190552603988,918.0411532443279,82460.83753510704
t180,1400.4282827895256,849.6924409041751,11569.083233133997,10551.254594671142,38696.3381319164,0.00041239656678608317,0.08711839899932414,3709.5388883554433,0.002116913046409058,998.507504973997,3838.5302865675326,855.1170765482747,0.004177887428846407,0.0019194972922106112,4687.553006189162,346.2941402163439,835.4023115690392,1982.7937493923398,0.0,59.539782548700764,934.9026002225721,269.9853246722244,539.8440189809323,1507.7998390610683,3.3693468404686358,2.513893598704342,0.35771392153231135,0.5516650183462736,0.35343582995899553,8.912867220556748e-6,2.9998625581086347e-6,3.713198100317172,27.186156508542496,45.32728860145994,65.1451702774602,99.8754598005542,76.28771669459138,0.35676918561798443,17.35602031198433,0.35456676452628794,8.938718143897002e-6,2.85415009188891e-6,63.114978622916595,76.03582450374724,168.52794204377003,2004.3950222755211,86287.52315041183
t181,1400.4282698304528,978.9560514159335,12498.621123247434,10242.100542424925,38696.33814942743,0.0004062465203893359,0.09506414269948141,5017.419213344433,0.0022592654234075524,1247.1192226078579,3838.951416800782,855.1170750423094,0.004015658183133364,0.0018682129369939878,4462.9171727082285,346.29418579196124,763.9951985175879,2090.284930748755,0.0,60.62072233193478,1007.4151029414136,273.1366644184691,510.3933520725932,1442.0539478868604,2.7050582321896632,1.9613209163080225,2.0158044084085236,0.4150853486405551,1.2431823807576474,2.1791653705385063,7.784019570873291,4.600322811215373,34.007613121230854,87.88996118142775,41.80185654738957,114.56148141746479,87.83889880024458,65.38947173324476,19.278655592911917,41.51923182268475,41.17018156524817,214.1789844811618,127.55286564184912,770.0430822064095,1548.5966001514767,2463.4961860432627,91412.49498443006
t182,1400.4282575331797,1097.0771505183902,13172.316227519586,9710.207052811504,38696.33818157381,0.0004002785051445784,0.10268115501834131,6724.3296308557565,0.002415249332144478,1426.9626828177666,3839.453392978432,855.1170784020228,0.00393480801213938,0.0018286130613750843,4148.66536800796,346.29421525742566,780.8288728944601,2243.970317368945,0.0,58.41383316726878,1088.5750926410897,260.2768474859717,493.8450525365794,1364.9553240273233,2.3184679831479613,1.6085328351091555,2.8053863791960056,0.3686906967367302,1.730250160380934,2.8727669410354872,8.61613911564103,4.296391098067163,32.99046299299188,92.78230716898202,29.290520970893223,115.12799013415635,89.17294436521026,96.07890955134854,19.008504590083422,61.025518926083485,25.867309308205336,120.78226734322406,153.20734513477547,1711.7282062146642,3329.7901284864924,1970.5782577883158,95580.21313668617
t183,1400.428244667431,1204.4837323596355,13722.575976242813,9096.079638982346,38696.338208249195,0.0003944900400858829,0.11029938901146154,8483.167104847951,0.00257656525636383,1614.3797403846454,3840.0550272456017,855.1170882614299,0.0038747351572707292,0.0017950167016404634,3789.1137894604867,346.2942661849638,885.8963153435362,2440.8699589489074,0.0,57.73427541097452,1176.1936321002836,255.26878077772813,487.4717164636699,1341.2133615474763,2.092308999637769,1.5448846706626267,2.7429050834710003,0.3298376709587938,1.7014540686745332,2.4964855232123986,0.0002047159664196156,3.3322276999632745,31.551293524939517,132.44201354211782,21.78172913391749,107.28995421864744,83.19706847521962,89.97427963201241,16.748683008497867,57.80686231662293,23.334086791343832,0.00018305184972278087,128.31637917033248,2802.4489897558233,6864.863704965901,1026.3077208807285,101093.10305457571
t184,1400.4282319326492,1299.3872590532376,13949.369953621092,8244.357587472161,38696.338226700806,0.00038918060828373896,0.11809426440301768,10157.634141791108,0.002766402755050844,1806.7680123208938,3840.883127457025,855.1171135673728,0.003805495439500443,0.001766565051466471,3319.5935701891885,346.29431666176174,1020.290284025386,2669.748362489118,0.0,59.84839968305305,1258.2617106843059,262.74666662820204,485.36844281887477,1390.2155483403003,1.7855672811536663,1.3667146662543728,1.596846063300965,0.24361194387807664,1.0853282972296225,5.410059994290958e-6,5.494373031892614,0.000206454395154604,27.938668790998996,121.20295881935562,2.4670187491516774e-5,97.01114996102805,75.9211309550977,7.148894606783521,11.936603127942766,8.358834781221852,5.084945090350523e-6,216.77482874389435,0.0001703414064065498,4644.324803242018,4995.532666952985,2.4317134959651857e-5,101280.50119488795
t185,1400.4282089785775,1374.3405948325908,13957.483568255704,7218.632388677129,38696.33824122287,0.0003784340849294797,0.12580485761599242,11488.28736722543,0.0029773107156465055,1891.5986538713746,3842.1713251744804,855.1170772571205,0.0037434194587834726,0.0017339433290512634,2621.4813598183346,346.294366041155,1065.696567208523,2895.2245914617315,0.0,63.29995824958032,1309.3115914840998,274.599982821144,481.1428815308974,1485.375189965003,1.7303055438060941,1.365348310241201,1.7589577391225388e-5,1.0186886876014965e-6,2.8835494153283936e-6,2.6436512511506096e-5,7.689365812043765,0.00013799419653133738,29.262056115644434,113.62733866887022,2.514084706223101e-5,74.41399932982056,59.00380111007012,3.454950201319944e-5,2.1090032223690663e-6,2.811102868101425e-6,2.1435765817356992e-5,253.2836037691959,0.0001230482922346766,7190.074805255376,1358.53539932676,2.1578812375408977e-5,100355.94499187864
t186,1357.2309049911555,1427.3039933059047,13839.58237107446,6323.891229707222,38696.33825527024,0.00034993381805567845,0.13462982388371322,12367.874143543611,0.0029847413857211074,1891.598616799199,3842.1712764317135,855.1169661379953,0.003687580890729179,0.0016899808621625369,2011.876755780532,346.2944128157488,1022.1152837475762,3047.9348828472534,0.0,63.299931065574285,1309.3115439615908,274.5999502976496,470.50232730566273,1507.7999590851052,1.270633742072826,1.064741774542345,1.6465597012062065,0.21164564206173447,2.0674782660400396e-5,6.111693966053755e-5,6.047830009928577e-5,6.029985327592551e-5,30.694317215119774,104.23745274218601,15.281758827049671,8.154736063445439,8.659268482397845,102.23431921524482,16.751042846661637,2.344216394092266e-5,6.0589240556559304e-5,5.989112006762997e-5,5.99110747588144e-5,10079.297766168655,2059.158931069993,489.4874730690323,103573.13719919219
