Resource,NENG_Rest_hydroelectric_pumped_storage_1,NY_Z_A_hydroelectric_pumped_storage_1,NY_Z_F_hydroelectric_pumped_storage_1,PJM_EMAC_hydroelectric_pumped_storage_1,PJM_Rest_hydroelectric_pumped_storage_1,NENG_Rest_battery_advanced_0,NY_Z_A_battery_advanced_0,NY_Z_B_battery_advanced_0,NY_Z_C&E_battery_advanced_0,NY_Z_D_battery_advanced_0,NY_Z_F_battery_advanced_0,NY_Z_G-I_battery_advanced_0,NY_Z_J_battery_advanced_0,NY_Z_K_battery_advanced_0,PJM_EMAC_battery_advanced_0,PJM_Rest_battery_advanced_0,Total
t40,-1.0480862871055783e-5,6.280071886065066e-9,-3.050925984965246e-7,-9.265428539069251e-6,-7.099949774853542e-7,-5.875025556893222e-6,-6.1061742648967274e-6,-5.887061888910774e-6,-6.066591993954593e-6,-6.224098744520627e-6,-5.681303582004276e-6,-5.934206665597337e-6,-6.3828902972560845e-6,-1.1694718610751925e-5,-1.4145487503715238e-5,-6.931450923970474e-6,-0.00010168410894669212
t41,-1.2901609847763173e-5,-2.81867229082511e-5,-1.2189298615778024e-5,-8.90760197407002e-6,-2.1621293338390453e-7,-7.4234649615969215e-6,-1.1909723459588383e-5,-1.1684610662658653e-5,-1.2263335022047745e-5,-1.2607304082787379e-5,-1.1793914329856321e-5,-1.1796148839142983e-5,-1.218993985988942e-5,-1.5148509383497467e-5,-1.9455953280389108e-5,-1.3210405389453716e-5,-0.00020188475555015434
t42,-1.3660692600494692e-5,-9.715075119569274e-6,-1.0947403678822293e-5,-8.927970285204102e-6,4.2156303797211486e-7,-9.766013357209811e-6,-1.8066546785106202e-5,-1.810340593535061e-5,-1.8494190553509223e-5,-1.9131346253895477e-5,-1.8095452873981224e-5,-1.8004947298404123e-5,-1.7654083478700024e-5,-1.8824396425075215e-5,-2.5938996463567782e-5,-2.0560854288004168e-5,-0.0002454698123589221
t43,-1.4361716638465174e-5,-7.102121884743855e-6,-7.808028465207073e-6,-9.27916866079559e-6,-0.00010392573985833115,-1.3040190136057954e-5,-2.6494881362281278e-5,-2.6592264548854064e-5,-2.6950651066857363e-5,-2.7926503999365872e-5,-2.6487968339560693e-5,-2.625118020667361e-5,-2.555596185625789e-5,-2.4741336534575725e-5,-3.763110055308336e-5,-3.295484482330696e-5,-0.00043710365893441766
t44,-1.2609670896180049e-5,-3.756606790993524e-6,-4.105516905776762e-6,-1.053998868844789e-5,-0.00012823921398155458,-1.7571919597453302e-5,-3.841284716518671e-5,-3.862037005808539e-5,-3.8890379206032184e-5,-4.041344488771496e-5,-3.840727104680221e-5,-3.794629385005571e-5,-3.664717195335809e-5,-3.360641863052738e-5,-5.095389053424667e-5,-4.666046756300194e-5,-0.0005773814717554174
t45,-4.5593162048806995e-7,-3.9450933497326444e-7,-4.398704634740428e-7,-4.212929214902284e-7,-3.07888334180118e-7,-8.84645399876055e-6,-5.810829786250096e-5,-5.8236204895085195e-5,-5.831222194116923e-5,-6.092240966901833e-5,-5.736493202141832e-5,-5.6996335812003064e-5,-5.4605389421325796e-5,-4.8139933225670096e-5,-7.37851588710501e-5,-1.5059020347820933e-6,-0.0005388427324273895
t46,-5.047523927221414e-7,-3.909232674690482e-7,-4.398760166502055e-7,-4.465382896521334e-7,-4.737608007535761e-7,-1.340061436054846e-5,-0.0001451495094737712,-0.00014478364575313215,-0.00014645178579601395,-0.00015508116042754408,-0.00014504020808970522,-0.0001432135650938277,-0.00013004512399892603,-9.057278329183439e-5,-0.0001632519000135574,-0.0001689143965291156,-0.001448160543595223
t47,-1.0556571110768033e-6,-7.60672325333719e-7,-8.201466829850194e-7,-1.0611006117604342e-5,-9.236071652250949e-7,-4.361379888449504e-6,-3.168573606206068e-6,-3.142895156621825e-6,-2.7700555861820888e-6,-2.853437399065931e-6,-2.6934762966808363e-6,-2.714718075467662e-6,-2.8521955327490324e-6,-2.654896257688664e-6,-1.09362199512583e-6,-3.1443772583724016e-6,-4.562071645483482e-5
t48,-1.7532847929411324e-5,-6.5604942219202685e-6,-5.742284424057407e-6,-8.705854243977542e-6,-2.7251582436622485e-5,1.4385964278720832e-6,-3.2417023403135666e-7,-3.6088996943073684e-7,-2.774600998425371e-7,-2.1722673100010788e-7,-2.3606902669460242e-7,-2.7697519020963764e-7,-3.080180069585917e-7,-1.8802529842824886e-7,3.1689081281160006e-5,2.499092622232353e-7,-3.460431084132952e-5
t49,-1.8754828108260523e-5,-6.579172031946679e-6,-5.743292938111463e-6,-1.066939686764762e-5,-3.270280398846045e-5,9.019715440607066e-6,2.3769649002214254e-5,2.356297756448624e-5,2.3364657111644525e-5,2.3956094136514504e-5,2.3160193799430478e-5,2.319409269551562e-5,2.264287501757876e-5,2.0215801612941755e-5,7.764387977755797e-6,2.6854449962334906e-5,0.00015305540038659717
t50,-1.6018007608254865e-5,-7.550613702326062e-6,-6.271212647505673e-6,-8.73171152115032e-6,-3.272385518919148e-5,4.526427502394257e-6,8.112135469677229e-6,8.176026503714184e-6,8.105110643332039e-6,8.261997503528888e-6,8.103886450784623e-6,7.995328982560402e-6,7.781970785370782e-6,7.227507043252681e-6,2.234566197086389e-6,1.1780410017175415e-5,1.1009966430448481e-5
t51,-1.6242186688041136e-5,-1.2695248538512705e-5,-8.153782477829375e-6,-8.843690720509051e-6,-0.00018183718805734318,3.789196478077391e-6,8.811077996941659e-7,8.374604178066747e-7,5.798616244786878e-7,5.579014566557996e-7,6.520164881039567e-7,6.497418199910591e-7,2.8705790018561746e-7,3.5307726993433036e-7,-3.957392530850271e-6,2.9477148327899054e-6,-0.00022019435292536813
t52,-2.108980684770906e-5,-1.2775056435141735e-5,-7.333419522083409e-6,-9.75871561255734e-6,-0.00020330695481651206,-2.543376613865965e-6,-4.402393100200939e-6,-4.263833349784421e-6,-4.619956403049719e-6,-4.754404794741713e-6,-4.5095398138857424e-6,-4.489317393555085e-6,-4.375468797481693e-6,-4.4302018498824014e-6,-3.210509266898368e-6,2.2933841753258106e-6,-0.00029356957044202384
t53,-1.760703183352964e-5,-1.576024223735857e-5,-9.63032595019566e-6,-1.0668111075430724e-5,-0.0007495148110861975,-9.436502218086659e-7,-1.1370941880982611e-5,-1.1327152544054637e-5,-1.1569060057680053e-5,-1.1823374101951076e-5,-1.1575037975370083e-5,-1.1373167229973524e-5,-1.10544086053842e-5,-1.0236860611462957e-5,-1.6853766623153084e-5,-1.6892150789294608e-5,-0.0009282000928238275
t54,-1.8537607908222563e-5,-7.4890225481835985e-6,-5.7022711593819124e-6,-1.0642268648221149e-5,-1.3432198033795821e-5,-2.6496176108485578e-6,-3.359632005519645e-5,-3.3533038243620475e-5,-3.393293529890258e-5,-3.454552003716012e-5,-3.429123935780806e-5,-3.325224689555089e-5,-3.257565898073415e-5,-2.835554909888404e-5,-3.111175489108322e-5,-4.3925182343569074e-5,-0.00039757243111116267
