Resource,NENG_Rest_hydroelectric_pumped_storage_1,NY_Z_A_hydroelectric_pumped_storage_1,NY_Z_F_hydroelectric_pumped_storage_1,PJM_EMAC_hydroelectric_pumped_storage_1,PJM_Rest_hydroelectric_pumped_storage_1,NENG_Rest_battery_moderate_0,NY_Z_A_battery_moderate_0,NY_Z_B_battery_moderate_0,NY_Z_C&E_battery_moderate_0,NY_Z_D_battery_moderate_0,NY_Z_F_battery_moderate_0,NY_Z_G-I_battery_moderate_0,NY_Z_J_battery_moderate_0,NY_Z_K_battery_moderate_0,PJM_EMAC_battery_moderate_0,PJM_Rest_battery_moderate_0,NY_Z_A_res_water_heat_1,NY_Z_B_res_water_heat_1,NY_Z_C&E_res_water_heat_1,NY_Z_D_res_water_heat_1,NY_Z_F_res_water_heat_1,NY_Z_G-I_res_water_heat_1,NY_Z_J_res_water_heat_1,NY_Z_K_res_water_heat_1,PJM_EMAC_res_water_heat_1,PJM_Rest_res_water_heat_1,NENG_Rest_res_water_heat_1,NY_Z_A_trans_light_duty_1,NY_Z_B_trans_light_duty_1,NY_Z_C&E_trans_light_duty_1,NY_Z_D_trans_light_duty_1,NY_Z_F_trans_light_duty_1,NY_Z_G-I_trans_light_duty_1,NY_Z_J_trans_light_duty_1,NY_Z_K_trans_light_duty_1,PJM_EMAC_trans_light_duty_1,PJM_Rest_trans_light_duty_1,NENG_Rest_trans_light_duty_1,Total
t281,2.682578343835143e-7,1.4315276205056124e-7,1.2496589781519656e-7,3.039497119196025e-7,3.053288981046302e-7,2.8353769166109057e-6,2.5146058914613012e-6,2.6142775934736642e-6,4.07636788975997e-6,3.824051664900988e-6,3.023706821142535e-6,1.8478157547348755e-6,1.717269059572319e-6,2.460449955015377e-6,2.8800236620385294e-6,2.068553139229545e-6,1.7340781213622254,1.3110793848071085,2.002580659700798,0.23416109705134464,1.1491799722433997,3.051641804536215,10.956533749777263,3.731751256580802,23.028279795591068,101.79267000671838,21.287375932247922,136.90074266696044,104.36813725860597,31.997347054040073,11.82775123070239,111.77539776788271,313.17712452523045,1121.88476021293,382.31912720368354,3322.8282311074177,7467.60838342038,2359.8087152657044,15534.775080502308
t282,2.918552307622119e-7,1.5724308173413876e-7,1.4644935814967662e-7,2.9824683682107094e-7,2.97541449071217e-7,2.6829294456713157e-6,2.264322121840385e-6,2.374760176325542e-6,2.360752337722637e-6,8.515833247065649e-6,2.3585548138417975e-6,2.043134530213721e-6,1.8735701684145213e-6,2.2835216221145253e-6,2.483385074150329e-6,2.1104410300958766e-6,1.4973250970539684,1.13836378199157,2.3719971207125448,0.267777199174666,1.4726221847762264,3.62172440931484,13.003335762355517,4.428901171965551,27.336701654183187,113.38644165978481,25.290585669378725,158.3640210036086,118.67937865865404,251.1811941674796,9.21201324524348,143.9131868893664,365.3823197052866,1308.8978218321222,446.0499782743338,3905.124803278923,8646.575069217319,2714.8766008349576,18262.072195360524
t283,2.034009983462257e-7,1.7282357551271305e-7,1.7037522144985197e-7,2.971994030330092e-7,3.0029640936368546e-7,2.430511211358506e-6,2.210678384679858e-6,2.257232694616681e-6,2.2237013703455506e-6,2.42557992833975e-6,2.518725108062259e-6,2.5765978140690077e-6,2.4236067209067354e-6,2.6094434636750956e-6,2.9001373220027326e-6,2.8300023982200384e-6,1.6975439510383254,1.288170605757955,2.5441932819621424,0.3114721757082142,1.6859961505928909,3.750579492607932,13.465949178049586,4.586554431512549,28.39488115340762,114.29205357922471,26.22421423992689,165.72557066218957,125.57054004987755,248.5194140624027,23.458211889928855,151.85761448525122,280.9471285396181,1006.4282465852905,342.97352271951644,3164.4506241436775,8294.380962371848,2808.101156973564,16810.654629273267
t284,1.6900395471271556e-7,1.282271187113005e-7,1.6257408195121357e-7,1.6795697471301043e-7,2.8317872761908454e-7,2.1131294787985472e-6,1.6422324899933235e-6,1.5916641874713437e-6,1.5165509482247212e-6,2.3254202713587885e-6,1.614809849267906e-6,2.7649616386530363e-6,2.7446941142444556e-6,2.4360282692854044e-6,2.4443670475279517e-6,1.656558926039186e-6,2.363487826447063,1.784674144675184,3.545234358434949,0.28737123885276805,2.170550271630845,4.003462346540927,14.37388841390368,4.895801450837235,30.484003493967506,128.30079264359279,27.527420824095447,90.67813091959546,68.7069928040547,135.9794480121034,11.588211802645224,83.09016072413479,153.7224639277026,550.6752512717677,187.6607004006872,1742.813877522238,5812.641591042136,1529.0445754554416,10586.338114656843
t285,4.445968936727484e-7,3.1810205305682215e-7,2.9818696897260337e-7,3.000771749573678e-7,2.397746666684446e-7,7.908177241762199e-6,2.7669263168453693e-6,2.843758129835518e-6,2.794428536145573e-6,2.7747640118694117e-6,2.95641102733156e-6,4.850136854131941e-6,4.608811764088081e-6,4.6877316667069205e-6,6.375035096759188e-6,1.5368223997598344e-6,3.1673559415611137,2.391632427595144,4.751163152710626,0.4251037983749967,2.908786034130398,5.365278956266286,19.26409645098994,6.5602604927256865,44.226263434868244,218.23934063119987,36.78148090142828,71.91324838914589,54.48878134272129,107.83992735929138,12.454505729217459,65.89549041183099,121.91123423261243,436.7190575079672,148.82633388593626,1390.5690989259142,4318.415527542061,1180.2690918674925,8253.383105119781
t286,8.846550795414152e-6,2.5621131791210276e-7,2.4532076723218995e-7,2.9349380606580626e-7,1.775344521719503e-7,3.6478345050288606e-5,2.576701764083758e-6,2.6471192420483547e-6,2.630383752569694e-6,2.963201558917905e-6,2.6826268363174136e-6,3.410666571903045e-6,3.3238281636861776e-6,3.490630548695619e-6,3.96065740279455e-6,2.4428986764739584e-6,3.558272918132741,2.6868478863237413,5.337442930920813,0.6172127126816938,3.267799104641898,6.027321517438122,21.640463084931415,7.370777342170853,58.19046135901005,244.9697583380146,52.971173596600806,57.055811502379555,43.23128327159603,85.55997966356081,9.881407600813363,52.2813572989408,96.72412004234945,346.49194144245877,118.07849689902416,1089.5540454169786,3381.7093222755857,941.4683795989231,6628.673752229648
t287,1.5680909734131576e-5,1.6820690828852096e-5,1.546717972180952e-5,6.914945078521425e-6,5.321187629902349e-6,2.649379172364262e-5,3.602616148391348e-5,3.6748007759179605e-5,2.9494344023396548e-5,2.8906135941870005e-5,4.154375486698081e-5,0.00011923100960868507,0.00011740167251773651,0.00011384144230792286,2.108318000326282e-5,1.9889989538063823e-5,3.188072562940902,2.4073064982786945,4.78214654324755,0.5529865795460962,2.9278183464042975,5.400253217808165,19.389088769804463,6.603959813018608,51.554143773309754,219.5322845598829,48.3728186207432,38.50514328562915,29.175406730818178,57.74170276349437,6.668636850023062,35.283014481297414,65.27602995659844,233.83642860736373,79.68742811808373,726.6774017575262,2286.511797137376,647.5052205967052,4571.579740434303
t288,3.001946725813195e-5,2.8854337342994696e-5,2.6991082182286587e-5,98.08803731491192,3.965329930118333e-6,5.992977958744636e-5,5.086155967981643e-5,5.169993233783939e-5,3.615265882105415e-5,3.5006326143575495e-5,6.2393515708757e-5,0.0003471060680797752,0.0003339213069951371,0.00032779738857871473,223.79009365689268,1.4625213987949503e-5,2.6951779211357834,2.035105716898394,4.042654688368989,0.46739694383837166,2.475032853499456,4.565189841384626,16.39120532471561,5.582830218503692,32.74836422540612,183.72431496241305,40.399965753995104,27.63716854461211,20.9407166588164,41.444272184480894,4.786411974933677,25.324472191869127,46.85206508203767,167.83688032349428,57.19589920941389,482.46015518760316,1611.0562298712475,459.07096230967574,3561.6120122841153
t289,0.001619836016658162,0.0005797372253238258,0.0007054472320240542,0.0015034488338123925,2536.855295664025,0.00029526805444461343,0.0013910246087728043,0.0015704457270560252,0.0016625927576750486,0.0010778306107888922,0.0005762797395233494,0.0006281484572502583,0.0005118306841339905,0.00042996423685467337,0.028219465010976618,0.01849194554844565,2.375911073701601,1.77686778192083,3.507227260312148,0.4159381659903295,2.150713543125728,3.952255789333583,14.150252068316915,4.887826928899534,36.92568729254347,156.9041154468054,30.510609634646453,24.826143222095343,16.23289497447648,31.95716045426335,3.7214218648959956,19.300589628883856,36.80009546287817,140.71082900656893,50.895034877282455,450.20013203091554,1385.3468354037675,370.2825991432745,5324.745699983667
t290,0.0015655542649227407,0.0004451712649956137,0.0006761344592375181,0.0014865870202957654,1472.3674672190534,0.00027884451090317,0.0011703005285281076,0.0012775055451936623,0.0016560543271972106,0.0011022003508613354,0.0005096417439554266,0.0005649030071889939,0.0004603095065475048,0.0003945059312435029,0.00983966848588591,0.005577720717151204,1.4686392041075509,1.0315838297678677,2.0228193902656684,0.24831241072453428,1.2386833800267196,2.2810011655065865,8.11666907193122,2.788767949733972,22.770893242345455,101.85966430417767,18.88000088743072,11.421908290421605,6.095549979442118,11.161670442982281,1.333984255808533,6.807689039797549,12.927373809877317,47.079207439732,15.61453821596814,164.94601838729702,581.763592420959,131.01187979574578,2625.264919234767
t291,0.0015209473421444522,0.0004916643258323417,0.0005913856225448663,0.00133751237522406,806.5351544030877,0.00027056107895670543,0.0009526064691970957,0.0010536261233420475,0.0014833449043925606,0.0010599049516830932,0.0004532980387063889,0.0004901060949358285,0.0004074611231016732,0.00035070233788590815,0.00645454570898881,0.003505354554875205,0.5995546069282633,0.41422517335799913,0.7994433103024954,0.10143869725101692,0.48678673401770317,0.8857291282968462,3.14773394833762,1.0803385009257742,9.179030213543873,44.26436267517146,7.471645659175937,9.296808762300126,7.042653353459877,10.202411195004265,1.2167985298491197,6.202644133328874,11.620774900204559,42.72063024152672,13.264180527237235,139.06522021136553,442.47030790101184,105.45244652261559,1663.5407423493527
t292,0.001544029945456343,0.0004780123920421924,0.0005646926240818052,0.001453946185283042,580.3126938031384,0.0002703559686970876,0.0008768492338375288,0.0009627745875545988,0.001390042334239435,0.0010465727273665537,0.0004310661389999054,0.0004603228022285642,0.0003867170437566911,0.00033526294526462457,0.005209575183590725,0.002611843939762282,0.7142349893036534,0.54030881469652,1.0773280088561372,0.12167179439312092,0.6695074927903514,1.2312529179677398,4.363618224544784,1.49793419646757,10.813227959925332,46.85530668394718,8.751184802317857,6.341049437001137,4.803360240250654,9.498337569761313,1.0893765619825309,5.799643167469482,10.739700106313268,38.50721716835703,12.087441319201595,98.58861148686965,377.16453494310554,70.91814825006186,1292.5037120027748
t293,0.0014977441810852582,0.00045892994118794183,0.000546454903491464,0.001430761407732001,459.1560985448358,0.0002555879384560697,0.0007583194528424372,0.0008310417157019485,0.001250424566039965,0.0010284932408700486,0.00039339475434268915,0.00041930979735218995,0.00035372202170261567,0.00030919984001601645,0.003989205217007886,0.0019359401787418368,0.6172372876877609,0.3911031952581776,0.7360079257235574,0.0854717592614431,0.4539174397105661,0.8309697472002274,2.943688530335876,0.9902961621317341,7.612894278345969,35.37832802729966,6.020451118745561,1.155753775072365,0.8756656918353273,1.7332402614161857,0.20002361945787359,1.0589041107155999,1.9591629483505066,7.019506231115418,2.391739379112576,21.899633909031184,99.14999809775486,10.554475456049712,663.2300260256045
t294,0.0015286616581254803,0.0004629363128477386,0.0005994347173321331,0.0014463782280790833,375.87894995899535,0.0002632120895047749,0.0007040623433685145,0.000770678271371286,0.0011382447900925054,0.001003490635904709,0.00039126940420581305,0.00041034373646399127,0.00034472726860367453,0.00030304770160765395,0.0034568978113530065,0.0016150135514673084,0.8958598543736982,0.6754657097233969,1.1417538512593084,0.13236625941177604,0.7001440425308326,1.286802572487152,4.573239025281648,1.4281584886533658,11.643241062802392,54.587429193269024,8.718778057401497,3.477337790121043,2.634726461200231,5.214663852172623,0.6020815631626601,3.1862021053865512,5.894814757199895,21.118332222374907,7.196303013787091,67.49690499668853,203.61862409374098,37.749871939823436,819.8664892703678
t295,0.0015446788460937706,0.0003890620072044109,0.0005226631541182814,0.0014586560971247167,318.2428820058651,0.0002747868499883635,0.000700631844376238,0.000720806534777526,0.0010813723374829916,0.0010109084580017206,0.00039632030025124615,0.0004306298218461783,0.0003599044215116049,0.00032369359546042365,0.0030655914469924976,0.0013314316178794855,2.3039952063540916,1.7393327688197162,3.4490978914391404,0.3914554091865579,2.108639038569357,3.896096440003617,14.0128363458547,4.035750941474649,33.71951510510584,164.0242893234368,23.36557700575763,7.044933925619046,5.337903944613693,10.56459445719257,1.21994270651542,6.455258788510942,11.942841311718745,42.78396299798353,14.5795582129806,139.79859867602005,425.8317694505313,86.27153241768215,1323.1339755085685
t296,0.0007314545485561621,0.0004210992359552623,0.0005014444787415148,0.0014273206846622543,274.3896219271682,0.00024069875525623946,0.0006375409675715701,0.00067704719629802,0.000992735030629772,0.0009781537745345036,0.00038032183306676003,0.0004024083297699252,0.0003392940549469672,0.000308186728945039,0.002712936809284165,0.0011797130614577913,5.098133556333202,3.849562449019559,7.64732602519604,0.8842326752756065,4.681840396529543,8.635487826987434,31.00588357260696,10.56031098108469,87.99534746160006,378.8828956279866,68.11163946468554,12.319465616426532,9.334423965753524,18.474242931938456,2.1334249930342155,11.288422229017401,20.884698799183457,74.81586172470642,25.495373850717996,242.42601181858544,764.2628823638603,190.4918406162552,2253.680861229442
t297,0.0007602533535210911,0.0003903266129818686,0.000516158626642494,0.0013640655568672659,3686.319113163257,0.0002270800483709376,0.0005302419901124695,0.0005491684578651766,0.000896251870384466,0.0009314223109725551,0.0003346612229920565,0.00037159969796460063,0.00031520722864071586,0.00028307855986310935,0.0023085369198140534,0.000900799761228855,7.721392438089609,5.8303839563664175,11.582225693104643,1.3392740031376877,7.0909532337097945,13.078965890163625,46.959705013921855,15.994233135147647,132.95207569755843,577.3073564409266,103.025075367638,22.35427038761899,16.937806355700683,33.522287348264975,3.8713219629348017,20.483658119762502,37.89644052927104,135.7560885439035,46.26269700722691,438.4971375355386,1382.1671802284293,345.69796226548056,7092.658283169371
t298,0.00167690318630176,239.9960044637125,295.1353060373427,115.21466283118602,3692.998924052153,0.0002495080016307302,0.0015207114032964697,0.0017810980572834187,393.86163751079863,467.5695052122761,0.000484126082865722,0.0004897512603586123,0.0003981781919658054,0.0003470971431224034,82.47008227968793,2585.497310008692,4.786250719594242,4.251381010004311,8.487860238284108,0.8207106667360642,4.6656117697149835,12.827107524133138,46.094737037437056,10.001425913112719,101.40212547276994,394.6000550069391,60.906328092163136,30.775413776624745,30.027210289871924,59.43704277568864,5.311556698773032,36.3253886206808,67.20557096057516,240.7498927171696,65.07559177238522,742.611880108315,2199.2770558985726,494.5974540472437,12492.988030885965
t299,0.0017501559123174306,239.99600370051232,297.74257188087375,1367.909137157308,3692.9991410274492,0.0002525121623181189,0.0011888476489997487,0.0013915899836860592,801.1292056890713,2531.846011309195,0.00044674114415468543,0.0004379594887804067,0.00035961235507444005,0.00032730141338499307,51.1286125901852,8111.960024911902,4.914309561011058,5.177729854942116,10.291818832575268,0.8522927434934415,4.895545712531414,11.630978011408901,41.76233407366511,10.309960454039718,85.9603209555674,350.00835397154316,65.07789654631458,43.358396528867246,41.63563178401435,82.41169560804225,7.518029517599402,50.363967723332365,93.17793574716352,333.7898811396292,93.50161850089546,982.9188965436465,2731.2505751057283,712.5770146009346,22858.102046503554
t300,0.0017256259865848654,239.99579149267868,290.7954368403408,1408.1762427570895,3692.999137731168,0.0002597788782669748,0.0011102216974811403,0.0012750700938069471,930.8560462678771,3800.784740221097,0.000434431980747046,0.0004156385167663264,0.0003402612791796685,0.00032685477085390833,45.85324951371915,8625.475386483204,4.578931916042491,4.684029102868409,9.31085891046815,0.7965385745057744,5.705280438058832,10.523776072180999,37.78529770482087,9.522078461474464,73.1374158189517,318.04491756892156,60.91934192532398,57.470057657614,55.48906742223374,109.82957752086351,9.968724779575236,67.11794933396963,124.17386497078583,444.82565207361307,122.97017631279589,1096.1508676132246,3117.1086779883804,936.6257263152105,25711.68072767226
t301,0.001497184491677866,239.9951610478043,616.5016869323242,1411.1394585674911,3692.9991367464218,0.0002321835642957141,0.0010014039090840625,0.0011632047516597706,1089.520889139877,4292.152213611034,0.0003778353689886039,0.0004218283068896778,0.00035088746607591753,0.0003107899101645846,30.206708264065682,8350.790974775988,4.303249145176699,1.2971662132629889,2.4821085951646134,0.7474281765624132,5.337313850999366,9.844826449580758,35.34814848822912,8.870099634394217,67.82102460840304,296.8857192638587,57.371340949973636,74.13014736966772,22.20446642054935,35.63759908726224,12.767216187095398,86.77272930723522,160.53618556908143,575.0859963618936,143.00783733729793,1238.5238177416277,3967.741816485655,1196.132009723893,27726.159831369638
t302,0.001500635500049725,239.9949690888728,1166.6975492235986,1409.4527339257704,3692.999129445725,0.00022773927443659308,0.0009847757146640367,0.0011142840227644005,1089.520330802849,4444.028130463753,0.00046641348030417024,0.0005289446164578765,0.0004271759000479456,0.00030073165031973544,24.902295313004164,7884.411584250036,5.014760157412053,1.6885231712318702,3.5129097369838433,0.8697001002656509,3.7565149315630846,6.727265203541127,20.181285777359903,10.369221095038014,77.49273925167883,332.4381131991448,66.88043277978986,74.61722777627058,53.452133099751975,106.7252336978368,12.657288547851339,48.03355589774305,86.75433970256766,268.44773294963386,149.0483053292674,1274.2450020863128,4096.073502886466,1252.6749069829552,27903.672967574435
t303,0.0015394571188068356,239.99495136930236,1166.6975382275723,1406.0285363919713,3692.999106283941,0.0002529618577460913,0.000990973563373462,0.0010624810706858486,499.8942123987903,1817.0400783429673,0.00045671648132904517,0.0005216242174209399,0.0004254543327852357,0.0003077970806878715,20.934569279960208,5922.572471114651,3.18656635683256,2.785334345207158,5.4985662454204745,0.5542384698890845,2.6069970029086447,4.692417860475866,15.001131751180594,6.611030533765694,48.31008606337761,224.49710318715324,42.49573598360986,76.93352961981664,60.548470866093126,117.09869285179913,12.622970375992207,53.14628859347019,96.17902412780252,369.33112038903863,158.44207956333287,1328.1468339783494,4354.221542233811,1345.994875315605,23095.07165658981
t304,0.0015168274414855225,239.99558084817917,1166.6974479103555,1032.033319779544,3692.999063247028,0.00028287251507071794,0.001247422091080321,0.0013197402095928802,28.878972034683553,19.298070978023464,0.00047766749403302573,0.0005399127954761156,0.00043747428866788883,0.0003164237776732319,16.123667068917012,832.6900077327922,2.7197685011837964,2.1632631074762037,4.050407087842797,0.44655733434634415,2.2971638639493066,4.298781618127992,16.342152986450298,5.206460834443947,41.84315475651238,179.478962698336,39.72009134158062,71.2827977976912,61.69587855139574,122.33869569937198,13.213525778358262,78.39060430575108,143.6034196740864,517.6683405680822,164.83606102256908,1516.6733352169927,4741.714757050749,1444.4717145560367,16203.17816229147
t305,0.0012047838767946125,0.0005966598404300203,0.0009851567593200793,0.0013897426937443274,3692.9974101128355,0.0002530481893314539,0.0006017952576637561,0.0006420993077118932,0.0010477242538398177,0.0011083194264041093,0.00033980927835227244,0.0003554812926097965,0.0003049266177157884,0.00029900048205241226,0.0020181519808789698,0.0017192288167876305,4.719096812402627,3.5628520784400193,5.468929976837905,0.6688654149920952,3.3964142914750832,6.120929721386611,21.004168981259394,7.431912758104332,64.44216403453004,245.00569938250155,60.528126290408274,121.07318888500745,91.7364310049417,140.83378568943263,17.91668315373522,100.72444059093404,174.50768800147873,606.6645591397403,211.30285976633328,1994.6718381083608,5452.363351053581,1798.4145348450922,14825.568796021886
