model,zone,planning_year,case,unit,value
SWITCH,SRSE,2030,base_short_tx_100,kg,9620158406.200825
SWITCH,SRSG,2030,base_short_tx_100,kg,3964155682.511447
SWITCH,TRE,2030,base_short_tx_100,kg,12542077416.636316
SWITCH,TREW,2030,base_short_tx_100,kg,3704077853.16838
SWITCH,BASN,2035,base_short_tx_100,kg,2582590386.245562
SWITCH,CANO,2035,base_short_tx_100,kg,1612675654.0900996
SWITCH,CASO,2035,base_short_tx_100,kg,3787156505.569495
SWITCH,FRCC,2035,base_short_tx_100,kg,8667439659.75132
SWITCH,ISNE,2035,base_short_tx_100,kg,14999650191.785215
SWITCH,MISC,2035,base_short_tx_100,kg,4077835160.382856
SWITCH,MISE,2035,base_short_tx_100,kg,3548478201.6897993
SWITCH,MISS,2035,base_short_tx_100,kg,5141475265.590269
SWITCH,MISW,2035,base_short_tx_100,kg,4679720559.118714
SWITCH,NWPP,2035,base_short_tx_100,kg,1454170666.40198
SWITCH,NYCW,2035,base_short_tx_100,kg,7707563818.328214
SWITCH,NYUP,2035,base_short_tx_100,kg,3363107841.855842
SWITCH,PJMC,2035,base_short_tx_100,kg,3191802607.7852125
SWITCH,PJMD,2035,base_short_tx_100,kg,3723598675.7167926
SWITCH,PJME,2035,base_short_tx_100,kg,28137310342.48094
SWITCH,PJMW,2035,base_short_tx_100,kg,9257218179.881279
SWITCH,RMRG,2035,base_short_tx_100,kg,510956712.7652771
SWITCH,SPPC,2035,base_short_tx_100,kg,516397479.16366583
SWITCH,SPPN,2035,base_short_tx_100,kg,226460905.50200582
SWITCH,SPPS,2035,base_short_tx_100,kg,3211372478.7747235
SWITCH,SRCA,2035,base_short_tx_100,kg,4471859793.03017
SWITCH,SRCE,2035,base_short_tx_100,kg,4115854930.9816694
SWITCH,SRSE,2035,base_short_tx_100,kg,6120993984.348622
SWITCH,SRSG,2035,base_short_tx_100,kg,3598934664.788718
SWITCH,TRE,2035,base_short_tx_100,kg,6780179494.461609
SWITCH,TREW,2035,base_short_tx_100,kg,2015593120.2475524
SWITCH,BASN,2040,base_short_tx_100,kg,3424687988.2057834
SWITCH,CANO,2040,base_short_tx_100,kg,3647232869.993154
SWITCH,CASO,2040,base_short_tx_100,kg,5079843665.049863
SWITCH,FRCC,2040,base_short_tx_100,kg,9919737729.82884
SWITCH,ISNE,2040,base_short_tx_100,kg,16717351532.563578
SWITCH,MISC,2040,base_short_tx_100,kg,4189703467.682622
SWITCH,MISE,2040,base_short_tx_100,kg,3528099406.9614153
SWITCH,MISS,2040,base_short_tx_100,kg,6015709313.920528
