Zone,1,2,3,4,5,6,7,8,9,10,11
t41,-2.661515883309525e-17,-1.4561513726215412e-16,-1.7872172750721163e-16,-1.0598632092185514e-16,-6.124951886850338e-16,-1.5423077868843128e-16,-9.833623632321955e-17,-3.45745569416101e-17,-8.579136404113464e-17,-1.399129391251675e-17,-4.960656516739913e-18
t42,-2.6557354994909683e-17,-1.6706208584518485e-16,-2.0880459768177362e-16,-1.2177202653636312e-16,-6.59791300958382e-16,-1.7747905977368779e-16,-1.133675812148962e-16,-4.047575408908143e-17,-9.946818445464491e-17,-1.3962629931904085e-17,-4.9872481599348706e-18
t43,-2.6681026891769506e-17,-1.7065332223241093e-16,-2.1352470875362115e-16,-1.2433834146211182e-16,-6.757695872365085e-16,-1.8137530100953617e-16,-1.157849944446185e-16,-4.1325636989739456e-17,-1.0152446394598052e-16,-1.9186671024756606e-17,-6.943865519152003e-18
t44,-1.979294908499896e-17,-1.738760647740242e-16,-2.1742091675453416e-16,-1.2654016580560682e-16,-6.89765091767223e-16,-1.8471553881028839e-16,-1.1787446393487775e-16,-4.2041515205985245e-17,-1.0340027628446864e-16,-2.2957795803819228e-17,-7.219993526344302e-18
t45,-1.990023622798261e-17,-1.7210742806261784e-16,-2.1535480828495396e-16,-1.2519557988865238e-16,-6.877393141686184e-16,-1.829836203323877e-16,-1.165415214159184e-16,-4.1698676976377966e-17,-1.0224005768618179e-16,-2.2701241005473586e-17,-7.428692181553574e-18
t46,-2.6908752576302564e-17,-1.7545999417799061e-16,-2.1948707946168248e-16,-1.2756853469922973e-16,-7.0194840855036e-16,-1.8647297984905413e-16,-1.1877502144543663e-16,-4.2428766704847035e-17,-1.0417727782231451e-16,-2.3275884926246837e-17,-7.292675417517502e-18
t47,-2.84326547999195e-17,-1.8717944487571407e-16,-2.333483060833506e-16,-1.3563415460949232e-16,-7.551240197127786e-16,-1.9893082984572147e-16,-1.264071950681105e-16,-4.5011936774205837e-17,-1.1077795057414767e-16,-2.4744925062165888e-17,-7.895140645964238e-18
t48,-3.073620883975619e-17,-2.0462023175943382e-16,-2.5478974863002993e-16,-1.482461143781103e-16,-8.204739262197785e-16,-2.1749161470903441e-16,-1.3810111978915605e-16,-4.901871056178227e-17,-1.2108301349736018e-16,-1.675085523052744e-17,-5.967644107799111e-18
t49,-3.360308756127455e-17,-2.1600385218294054e-16,-2.6813014319466643e-16,-1.5616753792063454e-16,-8.811491238769997e-16,-2.2907235524980874e-16,-1.454473533915004e-16,-5.143041933220338e-17,-1.2739537754732734e-16,-2.833399474798198e-17,-9.408024814878538e-18
t50,-2.670930743874073e-17,-2.277411856300105e-16,-2.8316459169846675e-16,-1.6502684842999573e-16,-9.253282981100955e-16,-2.4170743123149535e-16,-1.5363173257319564e-16,-5.420178678110817e-17,-1.3465987049555259e-16,-2.1570502882457048e-17,-7.843375500323126e-18
t51,-2.3904903797692406e-17,-1.994111355918939e-16,-2.47812979194931e-16,-1.4819370221578687e-16,-9.189094328714356e-16,-2.1112708771259912e-16,-1.380787938520739e-16,-4.8208663585441506e-17,-1.2126063246240985e-16,-2.2076660489427132e-17,-8.016978180669932e-18
t52,-3.757132474894624e-17,-1.789307266212381e-16,-2.271757286098802e-16,-1.2886908017251057e-16,-9.35409891774638e-16,-1.9093289248889296e-16,-1.2008466719792526e-16,-4.226563140921325e-17,-1.0553781424640334e-16,-1.9145790770491105e-17,-6.7839882958693e-18
t53,-2.4569230396986594e-17,-2.3661106300242006e-16,-2.927177867267157e-16,-1.7124350747537221e-16,-9.699388876531143e-16,-2.5069682387779694e-16,-1.598238173842748e-16,-5.631578866195799e-17,-1.3988048506080304e-16,-3.0007641854090396e-17,-1.024893829167418e-17
t54,-2.401223868416084e-17,-2.271520375016699e-16,-2.821170824363126e-16,-1.6433370705810978e-16,-9.197120091074514e-16,-2.408136388535808e-16,-1.5304197289896525e-16,-5.404237833341477e-17,-1.3407240435497707e-16,-2.85479302365665e-17,-9.631661057461328e-18
t55,-2.2486483096488605e-17,-2.0976916789343233e-16,-2.6050486134358834e-16,-1.5175282375424706e-16,-8.432241882153669e-16,-2.2272061008638233e-16,-1.411894297869545e-16,-5.0155883265430516e-17,-1.2363302897223335e-16,-2.6312230192808583e-17,-8.822934640406482e-18
t56,-2.3292385803333228e-17,-1.9119595053320846e-16,-2.3878971913402053e-16,-1.3894105970881734e-16,-7.650395504993217e-16,-2.0353642203152702e-16,-1.2921431032502923e-16,-4.609333646731555e-17,-1.1322036870753754e-16,-2.4541449868463356e-17,-8.197419403343899e-18
t57,-2.4657252124994903e-17,-1.810706480127118e-16,-2.263365748810779e-16,-1.316867203564516e-16,-7.174352113426908e-16,-1.9232422779678763e-16,-1.2263161091082116e-16,-4.373591294209115e-17,-1.0754551603299888e-16,-2.3845263215804177e-17,-7.891403159671087e-18
t58,-2.790917905380148e-17,-1.752352992656813e-16,-2.1927688460545854e-16,-1.2762560533781432e-16,-6.961391843781204e-16,-1.8622353310326185e-16,-1.1896768122666523e-16,-4.2385726742355876e-17,-1.0443549010920035e-16,-2.338308397357206e-17,-7.680400188205279e-18
t59,-2.0177379555236674e-17,-1.713149334595946e-16,-2.1439685544895621e-16,-1.2483735263767916e-16,-6.790249547831449e-16,-1.8206390588198961e-16,-1.162945434488254e-16,-4.1467907577614237e-17,-1.0208299782904482e-16,-2.2965000982009098e-17,-7.755915625917865e-18
t60,-2.2904418530131677e-17,-1.6750902505491955e-16,-2.0946764329645422e-16,-1.2190607251633648e-16,-6.684594624912829e-16,-1.779083716122422e-16,-1.1361938851812964e-16,-4.0645743888177764e-17,-9.970617305258684e-17,-2.266136875064065e-17,-7.56640275599059e-18
t61,-2.667557380051648e-17,-1.6850881285043476e-16,-2.108617677770567e-16,-1.2288073802423892e-16,-6.652708001371039e-16,-1.7913579108819911e-16,-1.1448447105872176e-16,-4.0810873441489807e-17,-1.0045056504888646e-16,-1.908506282056739e-17,-7.192422047583745e-18
t62,-2.659728470983003e-17,-1.6547748350301757e-16,-2.0707239691464102e-16,-1.2047652418756016e-16,-6.593416308986349e-16,-1.758657845680636e-16,-1.1223184510863725e-16,-4.014979103059476e-17,-9.851201189180955e-17,-2.24071099987649e-17,-7.044570297113366e-18
