model,zone,resource_name,tech_type,planning_year,case,unit,value
USENSYS,SRSE,SRSE_small_hydroelectric_1,Hydro,2027,20-week-myopic-current-policy,MWh,69888
USENSYS,SRSE,SRSE_small_hydroelectric_1,Hydro,2030,20-week-myopic-current-policy,MWh,26208
USENSYS,SRSE,SRSE_small_hydroelectric_1,Hydro,2035,20-week-myopic-current-policy,MWh,26208
USENSYS,SRSE,SRSE_small_hydroelectric_1,Hydro,2040,20-week-myopic-current-policy,MWh,26208
USENSYS,SRSE,SRSE_small_hydroelectric_1,Hydro,2045,20-week-myopic-current-policy,MWh,26208
USENSYS,SRSE,SRSE_small_hydroelectric_1,Hydro,2050,20-week-myopic-current-policy,MWh,17472
USENSYS,SRSE,SRSE_solar_photovoltaic_1,Solar,2027,20-week-myopic-current-policy,MWh,14133110
USENSYS,SRSE,SRSE_solar_photovoltaic_1,Solar,2030,20-week-myopic-current-policy,MWh,14133110
USENSYS,SRSE,SRSE_solar_photovoltaic_1,Solar,2035,20-week-myopic-current-policy,MWh,14124329
USENSYS,SRSE,SRSE_solar_photovoltaic_1,Solar,2040,20-week-myopic-current-policy,MWh,14124329
USENSYS,SRSE,SRSE_solar_photovoltaic_1,Solar,2045,20-week-myopic-current-policy,MWh,13630842
USENSYS,SRSE,SRSE_solar_photovoltaic_1,Solar,2050,20-week-myopic-current-policy,MWh,9009103
USENSYS,SRSE,SRSE_utilitypv_class1_moderate_0_anyQual_0,Solar,2035,20-week-myopic-current-policy,MWh,37452437
USENSYS,SRSE,SRSE_utilitypv_class1_moderate_0_anyQual_0,Solar,2040,20-week-myopic-current-policy,MWh,37452437
USENSYS,SRSE,SRSE_utilitypv_class1_moderate_0_anyQual_0,Solar,2045,20-week-myopic-current-policy,MWh,37335188
USENSYS,SRSE,SRSE_utilitypv_class1_moderate_0_anyQual_0,Solar,2050,20-week-myopic-current-policy,MWh,37335601
USENSYS,SRSE,SRSE_utilitypv_class1_moderate_1_anyQual_0,Solar,2035,20-week-myopic-current-policy,MWh,2204689
USENSYS,SRSE,SRSE_utilitypv_class1_moderate_1_anyQual_0,Solar,2040,20-week-myopic-current-policy,MWh,18813368
USENSYS,SRSE,SRSE_utilitypv_class1_moderate_1_anyQual_0,Solar,2045,20-week-myopic-current-policy,MWh,18756878
USENSYS,SRSE,SRSE_utilitypv_class1_moderate_1_anyQual_0,Solar,2050,20-week-myopic-current-policy,MWh,18757098
USENSYS,SRSE,SRSE_utilitypv_class1_moderate_2_anyQual_1,Solar,2035,20-week-myopic-current-policy,MWh,9469939
USENSYS,SRSE,SRSE_utilitypv_class1_moderate_2_anyQual_1,Solar,2040,20-week-myopic-current-policy,MWh,9469939
USENSYS,SRSE,SRSE_utilitypv_class1_moderate_2_anyQual_1,Solar,2045,20-week-myopic-current-policy,MWh,9438847
USENSYS,SRSE,SRSE_utilitypv_class1_moderate_2_anyQual_1,Solar,2050,20-week-myopic-current-policy,MWh,9439961
USENSYS,SRSE,SRSE_utilitypv_class1_moderate_5_anyQual_1,Solar,2040,20-week-myopic-current-policy,MWh,11227564
USENSYS,SRSE,SRSE_utilitypv_class1_moderate_5_anyQual_1,Solar,2045,20-week-myopic-current-policy,MWh,11190749
USENSYS,SRSE,SRSE_utilitypv_class1_moderate_5_anyQual_1,Solar,2050,20-week-myopic-current-policy,MWh,11190749
USENSYS,SRSG,SRSG_batteries_1,Battery,2027,20-week-myopic-current-policy,MWh,823570
USENSYS,SRSG,SRSG_batteries_1,Battery,2030,20-week-myopic-current-policy,MWh,903476
USENSYS,SRSG,SRSG_batteries_1,Battery,2035,20-week-myopic-current-policy,MWh,1211479
USENSYS,SRSG,SRSG_battery_moderate_0,Battery,2040,20-week-myopic-current-policy,MWh,2042084
USENSYS,SRSG,SRSG_battery_moderate_0,Battery,2045,20-week-myopic-current-policy,MWh,2013611
USENSYS,SRSG,SRSG_battery_moderate_0,Battery,2050,20-week-myopic-current-policy,MWh,1997815
USENSYS,SRSG,SRSG_biomass_1,Other,2027,20-week-myopic-current-policy,MWh,85090
USENSYS,SRSG,SRSG_biomass_1,Other,2030,20-week-myopic-current-policy,MWh,84350
USENSYS,SRSG,SRSG_biomass_1,Other,2035,20-week-myopic-current-policy,MWh,79970
USENSYS,SRSG,SRSG_biomass_1,Other,2040,20-week-myopic-current-policy,MWh,22239
USENSYS,SRSG,SRSG_biomass_1,Other,2045,20-week-myopic-current-policy,MWh,25393
USENSYS,SRSG,SRSG_biomass_1,Other,2050,20-week-myopic-current-policy,MWh,16850
USENSYS,SRSG,SRSG_biomass_2,Other,2027,20-week-myopic-current-policy,MWh,177503
USENSYS,SRSG,SRSG_biomass_2,Other,2030,20-week-myopic-current-policy,MWh,172786
USENSYS,SRSG,SRSG_biomass_2,Other,2035,20-week-myopic-current-policy,MWh,183612
USENSYS,SRSG,SRSG_biomass_2,Other,2040,20-week-myopic-current-policy,MWh,171938
USENSYS,SRSG,SRSG_biomass_2,Other,2045,20-week-myopic-current-policy,MWh,62312
USENSYS,SRSG,SRSG_biomass_2,Other,2050,20-week-myopic-current-policy,MWh,54688
USENSYS,SRSG,SRSG_conventional_hydroelectric_1,Hydro,2027,20-week-myopic-current-policy,MWh,7262318
USENSYS,SRSG,SRSG_conventional_hydroelectric_1,Hydro,2030,20-week-myopic-current-policy,MWh,7208990
USENSYS,SRSG,SRSG_conventional_hydroelectric_1,Hydro,2035,20-week-myopic-current-policy,MWh,7266212
USENSYS,SRSG,SRSG_conventional_hydroelectric_1,Hydro,2040,20-week-myopic-current-policy,MWh,6318830
USENSYS,SRSG,SRSG_conventional_hydroelectric_1,Hydro,2045,20-week-myopic-current-policy,MWh,5125439
USENSYS,SRSG,SRSG_conventional_hydroelectric_1,Hydro,2050,20-week-myopic-current-policy,MWh,5116274
USENSYS,SRSG,SRSG_conventional_steam_coal_1,Coal,2027,20-week-myopic-current-policy,MWh,28208036
USENSYS,SRSG,SRSG_conventional_steam_coal_1,Coal,2030,20-week-myopic-current-policy,MWh,27964801
USENSYS,SRSG,SRSG_conventional_steam_coal_1,Coal,2035,20-week-myopic-current-policy,MWh,6364270
USENSYS,SRSG,SRSG_conventional_steam_coal_1,Coal,2040,20-week-myopic-current-policy,MWh,6010737
USENSYS,SRSG,SRSG_conventional_steam_coal_1,Coal,2045,20-week-myopic-current-policy,MWh,6963415
USENSYS,SRSG,SRSG_conventional_steam_coal_1,Coal,2050,20-week-myopic-current-policy,MWh,6959542
USENSYS,SRSG,SRSG_conventional_steam_coal_2,Coal,2027,20-week-myopic-current-policy,MWh,3738144
USENSYS,SRSG,SRSG_conventional_steam_coal_2,Coal,2030,20-week-myopic-current-policy,MWh,3686175
USENSYS,SRSG,SRSG_conventional_steam_coal_2,Coal,2035,20-week-myopic-current-policy,MWh,3505432
USENSYS,SRSG,SRSG_conventional_steam_coal_2,Coal,2040,20-week-myopic-current-policy,MWh,3327503
USENSYS,SRSG,SRSG_distributed_generation_1,Distributed Solar,2027,20-week-myopic-current-policy,MWh,4688909
USENSYS,SRSG,SRSG_distributed_generation_1,Distributed Solar,2030,20-week-myopic-current-policy,MWh,6044371
USENSYS,SRSG,SRSG_distributed_generation_1,Distributed Solar,2035,20-week-myopic-current-policy,MWh,7340023
USENSYS,SRSG,SRSG_distributed_generation_1,Distributed Solar,2040,20-week-myopic-current-policy,MWh,7422140
USENSYS,SRSG,SRSG_distributed_generation_1,Distributed Solar,2045,20-week-myopic-current-policy,MWh,6920541
USENSYS,SRSG,SRSG_distributed_generation_1,Distributed Solar,2050,20-week-myopic-current-policy,MWh,7035176
USENSYS,SRSG,SRSG_geothermal_1,Geothermal,2027,20-week-myopic-current-policy,MWh,1467648
USENSYS,SRSG,SRSG_geothermal_1,Geothermal,2030,20-week-myopic-current-policy,MWh,1240512
USENSYS,SRSG,SRSG_geothermal_1,Geothermal,2035,20-week-myopic-current-policy,MWh,1144416
USENSYS,SRSG,SRSG_geothermal_1,Geothermal,2040,20-week-myopic-current-policy,MWh,567840
USENSYS,SRSG,SRSG_geothermal_1,Geothermal,2045,20-week-myopic-current-policy,MWh,358176
USENSYS,SRSG,SRSG_geothermal_1,Geothermal,2050,20-week-myopic-current-policy,MWh,174720
