Resource,Fuel,Zone,AnnualSumCosts
NY_Z_K_naturalgas_ccs100_moderate_0,middle_atlantic_naturalgas_ccs100,9,4.256747584315179
PJM_EMAC_naturalgas_ccavgcf_moderate_0,middle_atlantic_naturalgas,10,2.303685532595059e9
PJM_EMAC_naturalgas_ctavgcf_moderate_0,middle_atlantic_naturalgas,10,9.051423303240993
PJM_EMAC_nuclear_nuclear_moderate_0,middle_atlantic_uranium,10,0.8144422911057784
PJM_EMAC_naturalgas_ccs100_moderate_0,middle_atlantic_naturalgas_ccs100,10,3.2807665313368375
PJM_Rest_naturalgas_ccccsavgcf_moderate_0,east_north_central_naturalgas_ccs90,11,3.153069255101345
PJM_Rest_naturalgas_ccavgcf_moderate_0,east_north_central_naturalgas,11,7.377169344058913e7
PJM_Rest_naturalgas_ctavgcf_moderate_0,east_north_central_naturalgas,11,5.326864444342049
PJM_Rest_nuclear_nuclear_moderate_0,east_north_central_uranium,11,1.2763380788974152
PJM_Rest_naturalgas_ccs100_moderate_0,east_north_central_naturalgas_ccs100,11,3.5543741307339083
