Region,Resource,Zone,Cluster,CapRes_1,CapRes_2,CapRes_3,AnnualSum
NY_Z_G-I,NY_Z_G-I_naturalgas_ccavgcf_moderate_0,7,0,0.0,1.2443397400285872e6,0.0,1.2443397400285872e6
NY_Z_G-I,NY_Z_G-I_naturalgas_ctavgcf_moderate_0,7,0,0.0,0.4533549559265388,0.0,0.4533549559265388
NY_Z_G-I,NY_Z_G-I_nuclear_nuclear_moderate_0,7,0,0.0,0.06105570039987959,0.0,0.06105570039987959
NY_Z_G-I,NY_Z_G-I_naturalgas_ccs100_moderate_0,7,0,0.0,0.0770808886733891,0.0,0.0770808886733891
NY_Z_J,NY_Z_J_naturalgas_ccavgcf_moderate_0,8,0,0.0,0.2787205755245565,0.0,0.2787205755245565
NY_Z_J,NY_Z_J_naturalgas_ctavgcf_moderate_0,8,0,0.0,0.24474184259018397,0.0,0.24474184259018397
NY_Z_J,NY_Z_J_nuclear_nuclear_moderate_0,8,0,0.0,0.047934539778549785,0.0,0.047934539778549785
NY_Z_J,NY_Z_J_naturalgas_ccs100_moderate_0,8,0,0.0,0.07397000451463723,0.0,0.07397000451463723
NY_Z_K,NY_Z_K_naturalgas_ccavgcf_moderate_0,9,0,0.0,0.23185680580128387,0.0,0.23185680580128387
NY_Z_K,NY_Z_K_naturalgas_ctavgcf_moderate_0,9,0,0.0,0.1555035626535138,0.0,0.1555035626535138
NY_Z_K,NY_Z_K_nuclear_nuclear_moderate_0,9,0,0.0,0.04724525180856991,0.0,0.04724525180856991
NY_Z_K,NY_Z_K_naturalgas_ccs100_moderate_0,9,0,0.0,0.08368926877904556,0.0,0.08368926877904556
PJM_EMAC,PJM_EMAC_naturalgas_ccavgcf_moderate_0,10,0,0.0,0.0,0.5531916827122437,0.5531916827122437
PJM_EMAC,PJM_EMAC_naturalgas_ctavgcf_moderate_0,10,0,0.0,0.0,0.758727969042333,0.758727969042333
PJM_EMAC,PJM_EMAC_nuclear_nuclear_moderate_0,10,0,0.0,0.0,0.09085455542919951,0.09085455542919951
PJM_EMAC,PJM_EMAC_naturalgas_ccs100_moderate_0,10,0,0.0,0.0,0.1723705026659844,0.1723705026659844
PJM_Rest,PJM_Rest_naturalgas_ccccsavgcf_moderate_0,11,0,0.0,0.0,0.15056504797241962,0.15056504797241962
PJM_Rest,PJM_Rest_naturalgas_ccavgcf_moderate_0,11,0,0.0,0.0,1.693339396228019e6,1.693339396228019e6
PJM_Rest,PJM_Rest_naturalgas_ctavgcf_moderate_0,11,0,0.0,0.0,3.7084926566729574e6,3.7084926566729574e6
PJM_Rest,PJM_Rest_nuclear_nuclear_moderate_0,11,0,0.0,0.0,0.10143490949657596,0.10143490949657596
PJM_Rest,PJM_Rest_naturalgas_ccs100_moderate_0,11,0,0.0,0.0,0.13334517708440258,0.13334517708440258
NENG_Rest,NENG_Rest_offshore_wind_turbine_1,1,1,8842.885246918468,0.0,0.0,8842.885246918468
NENG_Rest,NENG_Rest_onshore_wind_turbine_1,1,1,54979.23828715554,0.0,0.0,54979.23828715554
NENG_Rest,NENG_Rest_solar_photovoltaic_1,1,1,4549.00984501841,0.0,0.0,4549.00984501841
NY_Z_A,NY_Z_A_onshore_wind_turbine_1,2,1,0.0,2228.0631267004187,0.0,2228.0631267004187
NY_Z_A,NY_Z_A_solar_photovoltaic_1,2,1,0.0,37.04636538417474,0.0,37.04636538417474
NY_Z_B,NY_Z_B_onshore_wind_turbine_1,3,1,0.0,0.0,0.0,0.0
NY_Z_B,NY_Z_B_solar_photovoltaic_1,3,1,0.0,18.513984047436868,0.0,18.513984047436868
NY_Z_C&E,NY_Z_C&E_onshore_wind_turbine_1,4,1,0.0,8757.829170630685,0.0,8757.829170630685
NY_Z_C&E,NY_Z_C&E_solar_photovoltaic_1,4,1,0.0,324.9932814135877,0.0,324.9932814135877
NY_Z_D,NY_Z_D_onshore_wind_turbine_1,5,1,0.0,6253.012203459743,0.0,6253.012203459743
NY_Z_D,NY_Z_D_solar_photovoltaic_1,5,1,0.0,6.904322520231395,0.0,6.904322520231395
NY_Z_F,NY_Z_F_solar_photovoltaic_1,6,1,0.0,61.98568042433806,0.0,61.98568042433806
NY_Z_G-I,NY_Z_G-I_solar_photovoltaic_1,7,1,0.0,34.799125477261256,0.0,34.799125477261256
PJM_EMAC,PJM_EMAC_solar_photovoltaic_1,10,1,0.0,0.0,8516.18571001004,8516.18571001004
